angelina-ank-01
Date:,2012/07/12
Time:,14:57:20
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:LTRO,,,Patient1:L5,,,Patient1:RTRO,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:LASI,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:C7,,,Patient1:RTOE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:LTOE,,,Patient1:BALAVG,,,Patient1:BHD,,,Patient1:BALARG,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:RBHD,,,Patient1:LBHD
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,24.728731,-7.012332,613.751892,139.584976,-70.390518,655.181702,236.466339,-29.354820,623.202148,15.547990,-28.398096,350.933197,238.874664,-31.114239,352.629791,58.507492,-42.441372,691.744385,203.542984,-44.920979,693.921997,131.765488,-60.236599,761.072449,131.638596,-70.538963,826.487610,249.710739,-47.687489,126.271309,-9.016315,-43.911243,119.770920,213.187454,-73.139023,95.352501,30.719206,-67.513878,95.233284,137.976410,-54.040615,918.544312,291.666962,20.580172,96.718170,8.158562,-3.173585,908.543152,243.708755,13.705600,912.030701,-56.532200,18.877451,93.612183,350.039063,-163.443909,89.727707,132.237518,-58.513733,983.362305,-136.054871,-162.276855,86.990540,357.818848,164.920929,85.159401,-135.880035,165.078110,83.527626,209.420074,-2.792840,1015.521729,50.808926,-5.137192,1026.679321
2,24.788708,-7.138514,613.802124,139.582825,-70.378410,655.191040,236.420258,-29.302452,623.213501,15.574864,-28.388893,350.928864,238.876755,-31.082762,352.664673,58.499863,-42.404301,691.744995,203.522995,-44.926395,693.905884,131.736389,-60.227177,761.071106,131.645172,-70.543289,826.502380,249.736450,-47.646244,126.320259,-9.147626,-43.663647,119.764351,213.223694,-73.090973,95.375427,30.628153,-67.368874,95.263824,137.883514,-54.147202,918.607605,291.668304,20.618237,96.707825,8.309722,-3.046456,908.343994,243.657333,13.698839,912.036316,-56.523800,18.898636,93.568016,350.090210,-163.456406,89.811714,132.166077,-58.444504,983.416016,-136.060486,-162.214218,87.140526,357.808594,164.985596,85.071152,-135.869034,165.115631,83.441780,209.454788,-2.719660,1015.534302,50.779259,-4.892934,1026.717407
3,24.757381,-7.184684,613.815063,139.564133,-70.360741,655.189575,236.381073,-29.267164,623.233093,15.537512,-28.290846,350.944458,238.949936,-31.080294,352.687531,58.465446,-42.362694,691.751587,203.499680,-44.922901,693.919861,131.725433,-60.218254,761.070496,131.659897,-70.553665,826.512207,249.791245,-47.583824,126.349152,-9.122855,-43.541134,119.780495,213.234512,-73.020897,95.407738,30.609755,-67.267891,95.294823,137.887085,-54.163395,918.659668,291.667297,20.723724,96.686493,8.337646,-3.100768,908.404480,243.634094,13.680795,912.050476,-56.515644,18.940607,93.520256,350.079590,-163.389603,89.883621,132.104599,-58.369835,983.489990,-136.119888,-162.107971,87.262344,357.797577,165.031509,84.959854,-135.839111,165.146881,83.360916,209.477585,-2.670048,1015.530884,50.819035,-4.757324,1026.762207
4,24.728361,-7.168892,613.832031,139.526947,-70.354919,655.185791,236.327469,-29.249210,623.240845,15.445251,-28.156248,350.958679,239.028320,-31.062151,352.704529,58.439453,-42.352051,691.764343,203.461288,-44.923664,693.918213,131.722412,-60.221249,761.071289,131.661926,-70.554550,826.514893,249.830444,-47.506275,126.378952,-9.085794,-43.498737,119.811523,213.238541,-72.962486,95.470978,30.607626,-67.204353,95.316895,137.910583,-54.153072,918.707642,291.686768,20.812971,96.673737,8.304243,-3.146524,908.522888,243.612244,13.647498,912.067566,-56.562660,19.027493,93.511009,350.101501,-163.339493,89.972839,132.088974,-58.339432,983.594299,-136.142609,-162.029953,87.340912,357.789734,165.082565,84.833305,-135.822723,165.197449,83.267097,209.502838,-2.641890,1015.503113,50.918770,-4.727450,1026.828979
5,24.712269,-7.138996,613.855286,139.479645,-70.351860,655.189026,236.281784,-29.224773,623.232849,15.357446,-27.999743,350.988464,239.041779,-31.009504,352.719391,58.423038,-42.356689,691.774719,203.422745,-44.906048,693.905762,131.688110,-60.224033,761.068359,131.650925,-70.554863,826.508484,249.800491,-47.410385,126.394890,-9.099497,-43.449173,119.848434,213.242783,-72.905838,95.545135,30.599272,-67.142693,95.346207,137.892014,-54.182922,918.770569,291.732269,20.858719,96.672287,8.242376,-3.156038,908.589111,243.564880,13.606995,912.085632,-56.671959,19.196613,93.510971,350.194702,-163.357910,90.077446,132.167130,-58.401283,983.707031,-136.071091,-162.034409,87.404968,357.788849,165.144943,84.715897,-135.821869,165.249405,83.154007,209.515533,-2.603467,1015.471008,51.040176,-4.750813,1026.944580
6,24.695414,-7.151624,613.888123,139.433578,-70.337852,655.184204,236.232025,-29.184326,623.229065,15.262855,-27.798061,351.044556,239.036713,-30.934126,352.745087,58.413467,-42.363243,691.772217,203.388397,-44.890194,693.898621,131.641052,-60.212936,761.057556,131.633560,-70.590248,826.505432,249.747375,-47.296677,126.388847,-9.140202,-43.342846,119.895401,213.230072,-72.830215,95.611526,30.598560,-67.069000,95.399193,137.885239,-54.214306,918.835266,291.753632,20.914854,96.682030,8.164762,-3.220211,908.605835,243.525726,13.596424,912.085510,-56.748081,19.369974,93.494812,350.256317,-163.356827,90.162132,132.243744,-58.445774,983.809448,-136.022385,-162.022018,87.493629,357.801178,165.202225,84.610107,-135.813644,165.295853,83.025314,209.517044,-2.552695,1015.457642,51.128891,-4.683586,1027.039063
7,24.695898,-7.198646,613.932068,139.402161,-70.307930,655.166870,236.189911,-29.127771,623.223755,15.200717,-27.664202,351.083099,239.037277,-30.829750,352.783417,58.433983,-42.384968,691.772034,203.353333,-44.899624,693.885620,131.623734,-60.214520,761.059814,131.609940,-70.642220,826.517395,249.723083,-47.171467,126.390282,-9.251537,-43.122208,119.901878,213.152664,-72.695351,95.658936,30.599194,-67.000549,95.446396,137.850220,-54.239265,918.902222,291.748077,20.975695,96.682816,8.139841,-3.248595,908.618530,243.527267,13.593331,912.062683,-56.741871,19.469275,93.474609,350.239288,-163.295212,90.256531,132.254974,-58.417362,983.906189,-135.998764,-161.977966,87.626114,357.824768,165.266037,84.504730,-135.788910,165.356766,82.901215,209.542526,-2.520746,1015.441467,51.137825,-4.490849,1027.064941
8,24.678909,-7.231341,613.954163,139.366776,-70.278748,655.156738,236.149353,-29.069391,623.225830,15.217808,-27.586670,351.084717,239.019791,-30.699970,352.837555,58.422760,-42.390018,691.775757,203.323288,-44.913155,693.875183,131.622589,-60.248283,761.078491,131.598145,-70.663582,826.526245,249.720200,-47.062065,126.416908,-9.329914,-42.955334,119.897476,213.047348,-72.512794,95.676834,30.624195,-66.974411,95.478348,137.795090,-54.285381,918.975769,291.738922,21.060791,96.648941,8.235445,-3.206434,908.673340,243.537857,13.582147,912.028503,-56.726837,19.523336,93.453346,350.190338,-163.198807,90.386383,132.221893,-58.378304,984.005371,-136.023346,-161.886627,87.763069,357.809906,165.331100,84.409004,-135.752609,165.427063,82.780342,209.597641,-2.512326,1015.428223,51.164524,-4.388350,1027.127197
9,24.610704,-7.215105,613.946960,139.329803,-70.272263,655.156311,236.093170,-29.033600,623.245178,15.228120,-27.442648,351.071411,239.010483,-30.530355,352.909332,58.382965,-42.403404,691.787964,203.298401,-44.923073,693.866577,131.609329,-60.277611,761.082031,131.566620,-70.657143,826.518677,249.735779,-47.005589,126.466148,-9.329304,-42.880955,119.921089,213.016495,-72.391335,95.702049,30.641953,-66.957016,95.507195,137.796814,-54.340954,919.043457,291.729736,21.145851,96.615082,8.388049,-3.180171,908.658081,243.539108,13.563419,911.999146,-56.733093,19.594725,93.437019,350.159454,-163.114853,90.491714,132.189728,-58.373909,984.102478,-136.109497,-161.752777,87.876144,357.762085,165.384827,84.334984,-135.733093,165.491974,82.665627,209.629257,-2.484254,1015.426086,51.245998,-4.370673,1027.230835
10,24.528727,-7.191673,613.939758,139.316574,-70.274963,655.156799,236.063675,-29.007833,623.253296,15.217591,-27.284775,351.069885,239.019760,-30.325850,352.962921,58.369209,-42.436172,691.805359,203.272629,-44.930729,693.857361,131.594513,-60.282013,761.074036,131.531174,-70.674095,826.513550,249.744980,-46.951591,126.498924,-9.289444,-42.852310,119.950264,213.025589,-72.348045,95.752205,30.601074,-66.906044,95.523483,137.793732,-54.388321,919.100525,291.724213,21.206673,96.615891,8.452347,-3.138472,908.543152,243.551926,13.512194,911.984741,-56.738014,19.663610,93.439400,350.176239,-163.088776,90.567696,132.166718,-58.375748,984.188477,-136.109344,-161.700211,87.982559,357.745056,165.423141,84.273544,-135.790894,165.559052,82.598633,209.641724,-2.467390,1015.411255,51.282211,-4.307806,1027.281494
