angelina-kne-03
Date:,2012/07/12
Time:,14:49:46
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:RTRO,,,Patient1:L5,,,Patient1:LTRO,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RSHO,,,Patient1:RHEE,,,Patient1:C7,,,Patient1:LHEE,,,Patient1:LSHO,,,Patient1:RTOE,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,214.901398,-18.612404,626.058838,119.120026,-54.757202,663.421936,3.285944,11.377183,618.513000,212.133484,-25.517384,353.780396,6.180604,-24.814112,352.722778,183.186951,-28.514957,699.640320,36.631298,-20.143435,697.644104,109.340111,-38.583176,766.413025,111.504189,-45.983517,831.876282,217.993118,-41.117279,127.639732,-11.694629,-30.508335,121.992111,230.476913,45.471916,902.375610,179.245346,-63.004810,98.749878,116.222504,-26.125813,931.176514,29.864285,-56.583458,98.533981,-2.520309,46.486279,913.111450,267.865112,20.641649,95.923790,121.881531,-37.749920,965.957031,198.385422,8.792781,1012.071045,40.539257,-3.512010,1026.246704,326.284210,-274.285461,104.797676,-151.118240,-254.224411,102.815086,354.160950,236.003891,71.468407,-131.795670,258.034851,69.649384,,,
2,214.754486,-18.961252,626.075378,118.950157,-54.992126,663.472534,3.215676,11.180694,618.616943,212.110382,-25.461912,353.815613,6.149125,-24.873219,352.803589,183.066208,-28.806820,699.722778,36.507019,-20.390905,697.681335,109.285965,-38.764462,766.487976,111.509865,-46.139458,831.951416,218.078506,-41.009308,127.690422,-11.718939,-30.388113,122.013893,230.346603,45.524231,902.372009,179.389221,-62.974812,98.851082,116.252747,-26.189014,931.259399,29.920206,-56.456753,98.614532,-2.561143,46.310734,913.127869,267.837646,20.759905,95.915794,121.818474,-37.711838,966.016296,198.323334,8.833346,1012.176819,40.472813,-3.666366,1026.231567,326.319000,-274.142242,105.186981,-151.085846,-254.099762,103.141953,354.159882,236.115021,71.085709,-131.743607,258.160431,69.343491,,,
3,214.598526,-19.248117,626.065735,118.729950,-55.202221,663.495422,3.200006,10.910460,618.713013,212.086761,-25.324211,353.866455,6.025907,-24.846283,352.845184,182.943542,-29.049339,699.756775,36.563244,-20.639477,697.732117,109.290482,-38.989162,766.556396,111.503304,-46.301380,832.009583,218.153030,-40.898186,127.738541,-11.721777,-30.239550,122.020912,230.211792,45.540878,902.385498,179.432037,-62.865387,98.956528,116.253868,-26.293974,931.348999,29.933094,-56.347374,98.703400,-2.527378,46.017239,913.137695,267.843201,20.860941,95.906288,121.818954,-37.754501,966.107178,198.266922,8.906009,1012.273926,40.403442,-3.867045,1026.244873,326.310699,-273.976135,105.514290,-151.107712,-253.904800,103.503830,354.159119,236.208984,70.736198,-131.676300,258.221985,69.064903,,,
4,214.480286,-19.475269,626.041077,118.512756,-55.354748,663.512512,3.168764,10.661205,618.808899,212.153076,-25.188032,353.899536,5.919466,-24.807575,352.888733,182.789276,-29.237604,699.782349,36.689186,-20.907375,697.799744,109.343719,-39.233490,766.612488,111.473610,-46.463383,832.052856,218.204376,-40.774601,127.807541,-11.686522,-30.115385,122.013130,230.064789,45.478096,902.412720,179.432892,-62.705845,99.047844,116.242989,-26.447014,931.428528,29.881908,-56.223034,98.800888,-2.535301,45.778530,913.115601,267.864380,20.950645,95.879990,121.852173,-37.834587,966.226807,198.209579,8.948657,1012.366638,40.371609,-4.118613,1026.313354,326.313232,-273.843292,105.819046,-151.132294,-253.724060,103.833847,354.152985,236.308868,70.448036,-131.645782,258.277252,68.793541,,,
5,214.394196,-19.663067,626.031982,118.399399,-55.502823,663.530090,3.130808,10.439670,618.864380,212.273148,-25.076151,353.905975,5.793057,-24.717709,352.918915,182.658218,-29.435253,699.819824,36.432320,-21.208567,697.849548,109.315437,-39.434727,766.645325,111.432213,-46.655430,832.090820,218.299576,-40.679832,127.877678,-11.633321,-30.155735,122.075508,229.918198,45.349415,902.436462,179.427887,-62.552601,99.115982,116.228638,-26.626965,931.475647,29.862501,-56.116184,98.879395,-2.661080,45.664303,913.088989,267.890259,21.029385,95.861145,121.822670,-37.934525,966.372253,198.159637,8.974045,1012.461304,40.358360,-4.362936,1026.440918,326.320221,-273.748962,106.096710,-151.139252,-253.596817,104.155441,354.158661,236.384445,70.199341,-131.671692,258.377167,68.531044,,,
6,214.308746,-19.808231,626.044189,118.360855,-55.680099,663.533752,3.108722,10.224917,618.889160,212.340790,-24.898266,353.937683,5.635576,-24.578800,352.923126,182.541077,-29.641560,699.858765,35.855003,-21.527746,697.884216,109.236328,-39.622303,766.666687,111.371964,-46.880348,832.100281,218.386780,-40.589687,127.916161,-11.579256,-30.409634,122.226524,229.792725,45.186619,902.453308,179.406723,-62.436783,99.166840,116.177620,-26.869770,931.496643,29.891602,-56.028519,98.943817,-2.760540,45.423100,913.085083,267.876160,21.126244,95.862236,121.737869,-38.069157,966.551880,198.113937,9.009605,1012.555969,40.301605,-4.523170,1026.573853,326.303833,-273.659454,106.305534,-151.149002,-253.485199,104.437851,354.168335,236.452515,70.000435,-131.684113,258.481873,68.294037,-45.690262,39.874783,92.883911
7,214.237625,-19.881355,626.052734,118.311127,-55.807095,663.511963,3.067617,10.098554,618.923889,212.376923,-24.631798,353.995209,5.560906,-24.523802,352.919006,182.408661,-29.829739,699.874512,35.534698,-21.740625,697.892395,109.163200,-39.786472,766.664734,111.277405,-47.118748,832.067566,218.416840,-40.484016,127.948158,-11.563617,-30.554993,122.308586,229.699631,44.986023,902.496216,179.429123,-62.402611,99.218620,116.106987,-27.192822,931.509033,29.870275,-55.931973,98.990440,-2.863259,45.079502,913.082458,267.844086,21.219433,95.858185,121.695671,-38.238876,966.768616,198.070557,9.001245,1012.639160,40.200741,-4.601020,1026.699219,326.251953,-273.539490,106.455620,-151.162933,-253.409149,104.617706,354.178833,236.518219,69.854744,-131.636871,258.536957,68.116020,-45.905338,40.029331,92.742882
8,214.195358,-19.910345,626.061707,118.232765,-55.891502,663.466248,2.986023,10.099909,618.963623,212.368088,-24.315332,354.005737,5.531641,-24.518179,352.915375,182.304367,-29.979994,699.866455,35.455429,-21.845469,697.860840,109.050453,-39.923958,766.619873,111.226990,-47.401485,832.015564,218.357086,-40.376122,127.959068,-11.633810,-30.448303,122.297241,229.607758,44.748138,902.552429,179.459488,-62.399811,99.271942,116.040634,-27.527620,931.523376,29.813505,-55.855999,99.015678,-3.043321,44.784340,913.072144,267.851959,21.251499,95.841499,121.691231,-38.477047,967.028198,198.040253,8.965900,1012.688599,40.088676,-4.651885,1026.898315,326.207031,-273.422943,106.570404,-151.149246,-253.392853,104.723213,354.201538,236.543182,69.735443,-131.598495,258.545410,68.012642,-45.972988,40.120777,92.671860
9,214.169037,-19.940100,626.071899,118.126831,-55.955112,663.412781,2.848167,10.172444,618.991760,212.344009,-24.023798,353.972748,5.490153,-24.447720,352.923828,182.225693,-30.086649,699.842651,35.385532,-21.938614,697.827881,108.948479,-40.079350,766.548828,111.237305,-47.702332,831.953796,218.272186,-40.308346,127.970634,-11.679467,-30.371496,122.289246,229.486526,44.451851,902.584961,179.451279,-62.367107,99.299141,115.949272,-27.842957,931.519653,29.760851,-55.786030,99.037285,-3.203637,44.453964,913.050537,267.858276,21.285315,95.827621,121.699730,-38.793716,967.306641,197.999802,8.919621,1012.711426,40.013851,-4.739717,1027.161987,326.228149,-273.401306,106.645134,-151.120453,-253.377228,104.774651,354.202271,236.548508,69.669281,-131.591339,258.540039,67.959023,-45.931381,40.162697,92.622162
10,214.128876,-19.950403,626.042725,118.034874,-55.984291,663.347839,2.746556,10.183752,618.985657,212.419571,-23.788143,353.936035,5.440558,-24.305729,352.893280,182.145920,-30.170446,699.786987,35.367237,-22.072132,697.789368,108.896637,-40.270798,766.469238,111.167648,-47.942524,831.871765,218.280014,-40.260468,128.023254,-11.615409,-30.446295,122.311966,229.335327,44.084908,902.615540,179.435303,-62.328243,99.303391,115.800797,-28.187719,931.484619,29.760784,-55.767078,99.031738,-3.343165,44.084820,913.003479,267.828949,21.342260,95.845352,121.666115,-39.081020,967.550171,197.955597,8.835633,1012.725281,40.036209,-4.940016,1027.433960,326.266022,-273.426758,106.662720,-151.130325,-253.358551,104.758904,354.171906,236.542435,69.675041,-131.590256,258.537476,67.946526,-45.903397,40.175526,92.596954
