angelina-std-01
Date:,2012/07/12
Time:,14:24:07
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LTRO,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,131.052643,-135.822586,569.091125,226.092056,-94.690407,541.675903,192.675858,-119.414658,607.822998,14.371662,-63.249245,537.546143,48.921505,-109.842285,608.420654,121.784134,-140.935272,678.420959,121.864693,-153.990723,746.826111,207.846970,-96.145699,272.044189,15.906787,-94.751801,272.861206,-2.903868,-74.627739,816.004272,240.437378,-79.831276,824.302368,120.744720,-130.475510,853.581116,126.436302,-142.899033,906.222534,203.271927,-84.988762,937.709839,44.290726,-87.172119,946.548950,199.901077,-111.571152,45.705139,5.236642,-95.300652,40.590500,161.710373,-137.342819,15.273587,36.730591,-128.799088,16.024240,239.691574,-44.189110,17.198378,,,
2,131.050827,-135.887512,569.061096,226.151306,-94.805016,541.665222,192.809464,-119.601547,607.866882,14.408400,-63.317574,537.552795,49.152767,-110.160591,607.909790,121.841919,-141.028534,678.422058,121.830757,-154.067474,746.844055,207.897568,-96.223373,272.063782,15.959827,-94.696274,272.836212,-2.904882,-74.627663,815.979004,240.565125,-80.159081,824.354431,120.679855,-130.514450,853.541199,126.363968,-142.967499,906.194092,203.273407,-85.146416,937.728577,44.319206,-87.272644,946.515137,199.921219,-111.584671,45.725227,5.218733,-95.243340,40.611389,161.667099,-137.341431,15.257139,36.730591,-128.799088,16.024240,239.703217,-44.159309,17.200405,,,
3,131.063782,-135.930389,569.024292,226.238647,-94.955467,541.647522,192.843903,-119.724030,607.880981,14.488783,-63.317795,537.545044,49.134682,-110.049568,608.157288,121.895332,-141.142181,678.429138,121.835175,-154.152542,746.848267,207.954666,-96.320595,272.094849,15.992911,-94.631783,272.822998,-2.907924,-74.627411,815.903198,240.548264,-80.279625,824.331604,120.637497,-130.558426,853.541382,126.343300,-143.057922,906.187195,203.268646,-85.298920,937.746460,44.372494,-87.379433,946.476929,199.930099,-111.588219,45.711994,5.233708,-95.224716,40.618263,161.663239,-137.343979,15.251087,36.718964,-128.785446,16.030394,239.707993,-44.148266,17.196648,,,
4,131.112167,-136.029556,569.016052,226.342484,-95.105339,541.633118,192.818619,-119.810959,607.871277,14.593833,-63.321102,537.530579,49.048725,-109.863480,608.364807,121.963364,-141.278351,678.449951,121.850540,-154.257034,746.846985,207.951370,-96.387131,272.089386,16.042645,-94.597275,272.834808,-2.348514,-76.268959,816.417908,240.507385,-80.358673,824.346069,120.595238,-130.626953,853.560730,126.383926,-143.206985,906.176331,203.276993,-85.445068,937.764282,44.399654,-87.489395,946.447754,199.930847,-111.590515,45.689762,5.234205,-95.194847,40.644012,161.667816,-137.354874,15.240262,36.700684,-128.759064,16.050011,239.709854,-44.148380,17.178875,,,
5,131.156631,-136.133209,569.007263,226.431793,-95.251610,541.637329,192.866302,-119.949577,607.835083,14.708179,-63.369583,537.509338,49.030388,-109.824097,608.312805,121.984459,-141.380844,678.477661,121.844162,-154.361069,746.851379,207.970734,-96.447601,272.060547,16.117098,-94.578552,272.835541,-2.806243,-74.611473,815.848572,240.522125,-80.524490,824.401611,120.548759,-130.690475,853.568665,126.450340,-143.407837,906.159302,203.295731,-85.569557,937.780090,44.377113,-87.589882,946.442444,199.929550,-111.606590,45.682266,5.237203,-95.194504,40.638420,161.676468,-137.356476,15.226550,36.710625,-128.760864,16.064629,239.710419,-44.149113,17.170872,,,
6,131.203003,-136.250366,568.972717,226.516708,-95.406578,541.656128,192.984726,-120.140831,607.791931,14.797858,-63.414986,537.494873,49.138195,-109.924538,608.316772,121.984200,-141.477951,678.476563,121.838341,-154.462189,746.859314,208.016525,-96.506157,272.042999,16.189796,-94.584816,272.813965,-2.570724,-74.673241,815.949707,240.511658,-80.659111,824.392212,120.501129,-130.734543,853.562561,126.497169,-143.584747,906.167725,203.307831,-85.681610,937.780212,44.380791,-87.707672,946.442932,199.924988,-111.631371,45.679611,5.270685,-95.232201,40.605270,161.709717,-137.355576,15.237744,36.738842,-128.789047,16.059631,239.711700,-44.148495,17.161104,-16.161797,-18.599106,14.787644
7,131.261292,-136.389496,568.924072,226.588257,-95.531204,541.673462,193.024078,-120.290253,607.753601,14.837120,-63.422100,537.492249,49.252491,-110.025726,608.316284,122.031487,-141.592499,678.446411,121.859383,-154.577774,746.853027,208.068802,-96.593475,272.016083,16.276052,-94.621086,272.785706,-2.451821,-74.732414,815.955200,240.495941,-80.786652,824.328918,120.484070,-130.839264,853.559204,126.508942,-143.708572,906.172302,203.329681,-85.818405,937.774963,44.448067,-87.874458,946.438416,199.926376,-111.631630,45.673977,5.300948,-95.250069,40.594322,161.727173,-137.363556,15.264961,36.745499,-128.801788,16.046169,239.712982,-44.147873,17.151337,-16.137835,-18.584974,14.723454
8,131.306335,-136.486511,568.872620,226.657990,-95.629784,541.671143,192.990738,-120.398064,607.706299,14.894713,-63.433350,537.484924,49.424313,-110.206772,608.267639,122.096146,-141.717667,678.423645,121.875313,-154.690933,746.840515,208.139908,-96.700073,271.979187,16.372242,-94.658546,272.768280,-2.392828,-74.748619,815.903442,240.564011,-81.038246,824.290039,120.481606,-130.987289,853.552490,126.456505,-143.782669,906.156555,203.374832,-85.968391,937.784180,44.500923,-88.007698,946.439392,199.929565,-111.629631,45.678524,5.284018,-95.220856,40.601364,161.719482,-137.382309,15.267653,36.735558,-128.799988,16.031549,239.708908,-44.157562,17.153328,-16.075516,-18.561504,14.691558
9,131.344528,-136.572510,568.835327,226.734421,-95.715988,541.667114,192.994049,-120.512291,607.658813,14.984961,-63.468761,537.499023,49.518005,-110.337143,608.198242,122.157051,-141.873184,678.411072,121.897095,-154.812881,746.821411,208.204468,-96.765205,271.952576,16.449238,-94.690369,272.768036,-2.353271,-74.769188,815.850891,240.628891,-81.300713,824.290894,120.456467,-131.077423,853.532593,126.373383,-143.845230,906.161560,203.421677,-86.093880,937.780457,44.497276,-88.070473,946.435974,199.927261,-111.637131,45.673775,5.257340,-95.190468,40.622910,161.713028,-137.407516,15.246156,36.740429,-128.794342,16.029778,239.703506,-44.170414,17.145163,-16.044313,-18.551146,14.726629
10,131.373459,-136.670181,568.808105,226.792770,-95.814674,541.670410,193.015915,-120.642235,607.630310,15.065656,-63.500618,537.517334,49.486202,-110.310722,608.155029,122.195541,-142.019012,678.394592,121.953186,-154.950790,746.789429,208.248520,-96.806648,271.935242,16.500910,-94.696251,272.776031,-2.309439,-74.834900,815.802124,240.608185,-81.450684,824.315491,120.440475,-131.162155,853.526855,126.335854,-143.941711,906.173401,203.440613,-86.212486,937.765381,44.481808,-88.149475,946.421387,199.950607,-111.628662,45.650097,5.259098,-95.192429,40.646137,161.702011,-137.397079,15.233696,36.750271,-128.789581,16.035315,239.732025,-44.170998,17.132322,-16.032997,-18.554131,14.754794
