angelina-std-02
Date:,2012/07/12
Time:,14:34:29
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LTRO,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:RANK,,,Patient1:LBHD,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LSHO,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,106.519470,-155.977905,565.418945,207.367157,-124.938087,540.840820,169.276566,-143.925079,601.604187,-7.788661,-76.068665,538.328247,26.269743,-128.463165,605.252686,96.711151,-165.988480,673.339539,191.518494,-134.435150,271.738190,-0.224679,-111.659546,271.433472,95.239761,-180.533554,742.230164,216.747559,-114.697350,820.630737,92.741585,-157.707001,849.584351,90.780823,-169.547546,903.899414,180.952454,-131.815018,931.509583,199.927307,-114.343506,45.238354,26.101145,-95.249115,946.961304,2.970502,-95.583817,38.814026,161.978317,-137.972076,14.105035,35.111046,-129.944717,14.834256,239.417374,-44.799030,17.583719,,,,,,
2,106.829750,-156.073608,565.459106,207.500320,-124.947853,540.742188,169.433243,-143.807648,601.532471,-7.588961,-75.977173,538.344177,26.486794,-128.403229,605.202026,96.992157,-165.988708,673.316284,191.536728,-134.944855,271.644928,-0.122242,-111.605194,271.388367,95.516396,-180.513046,742.185486,216.934616,-114.628883,820.578735,92.955627,-157.659668,849.572205,90.756996,-169.335007,903.899292,180.991119,-131.669647,931.505981,199.929123,-114.300507,45.202755,26.165737,-95.118141,946.808533,3.051081,-95.620399,38.868515,161.985947,-137.986740,14.102184,35.111198,-129.955643,14.832511,239.412735,-44.807976,17.593714,,,,,,
3,107.061562,-156.064636,565.439026,207.672455,-124.940826,540.640869,169.605316,-143.744644,601.468384,-7.376707,-75.858261,538.368774,26.530863,-128.122879,605.154053,97.299278,-165.982285,673.281738,191.571320,-135.370163,271.611816,-0.024292,-111.553581,271.393829,95.781090,-180.468307,742.118469,217.148315,-114.539711,820.519531,93.125046,-157.579514,849.511597,90.814774,-169.216965,903.874329,181.057007,-131.517685,931.510803,199.962830,-114.369804,45.175697,26.211803,-94.970741,946.681091,3.125674,-95.674477,38.893570,162.014206,-138.019638,14.067018,35.120937,-129.941528,14.821625,239.378860,-44.820225,17.598398,,,,,,
4,107.256584,-156.013107,565.416809,207.873260,-124.930641,540.544250,169.846542,-143.718201,601.403442,-7.144546,-75.714294,538.390564,26.587805,-127.824631,605.117310,97.580910,-165.947983,673.226685,191.546082,-135.675476,271.559204,0.083370,-111.505875,271.416595,96.027328,-180.391113,742.051758,217.394226,-114.490692,820.478638,93.256859,-157.487213,849.437988,90.950974,-169.131210,903.843628,181.110916,-131.368134,931.514160,199.965805,-114.432007,45.120621,26.237955,-94.845932,946.586609,3.083802,-95.618538,38.891186,162.023422,-138.034714,14.047663,35.126846,-129.931244,14.820046,239.328476,-44.807472,17.583792,,,,,,
5,107.378860,-155.733551,565.321350,208.086121,-124.928650,540.461853,170.120758,-143.674988,601.321960,-6.891425,-75.535896,538.424011,27.041327,-127.941269,605.120911,97.859940,-165.877197,673.173828,191.522629,-136.000168,271.489807,0.179595,-111.443596,271.420441,96.212669,-180.313919,742.004944,217.586746,-114.388527,820.488464,93.453835,-157.410156,849.399536,91.085030,-169.009918,903.825256,181.141754,-131.199219,931.509949,199.958984,-114.431366,45.071709,26.277706,-94.780083,946.514771,3.082302,-95.619843,38.882088,162.020279,-138.035568,14.044518,35.111931,-129.943253,14.831179,239.310837,-44.781002,17.580509,,,,,,
6,107.425537,-155.199081,565.128113,204.892792,-117.743362,537.582092,170.382050,-143.616669,601.234802,-6.624244,-75.375511,538.456482,27.539337,-128.080078,605.130188,98.191757,-165.807281,673.150513,191.495300,-136.347534,271.404694,0.253455,-111.331932,271.412506,96.343697,-180.226944,741.962708,217.752380,-114.281029,820.524353,93.644073,-157.307358,849.354431,91.197227,-168.882309,903.796387,181.186172,-131.039780,931.514099,199.969650,-114.450661,45.053780,26.326527,-94.747566,946.442322,3.182391,-95.736206,38.887505,162.027023,-138.053391,14.041996,35.097401,-129.959488,14.834777,239.339508,-44.776970,17.593824,-23.731440,-93.038742,811.813538,-13.557237,-18.856020,16.326778
7,107.521301,-154.873184,565.012939,205.108734,-117.477249,537.545654,170.651764,-143.559158,601.163147,-6.408600,-75.240196,538.486816,27.863682,-128.024551,605.141296,98.581810,-165.749863,673.136230,191.510773,-136.754623,271.324585,0.329777,-111.238373,271.409790,96.489731,-180.126999,741.912231,217.945663,-114.200546,820.540649,93.753708,-157.163467,849.292664,91.312492,-168.759430,903.756531,181.241608,-130.913742,931.540894,199.965240,-114.491737,45.029713,26.353279,-94.644783,946.359192,3.209921,-95.764442,38.900784,162.026443,-138.085098,14.037477,35.088646,-129.962311,14.836653,239.361206,-44.793758,17.595116,-23.633492,-92.948112,811.660950,-13.530876,-18.861233,16.319469
8,107.675598,-154.758896,564.971008,205.362839,-117.402931,537.477661,170.908112,-143.486481,601.085449,-6.255203,-75.104813,538.521484,28.140520,-127.950462,605.152649,98.961685,-165.648438,673.108459,191.607956,-137.250061,271.283325,0.442916,-111.182922,271.401672,96.681686,-180.035522,741.869751,218.133453,-114.128212,820.552368,93.890839,-157.046829,849.239563,91.432983,-168.629410,903.737366,181.278152,-130.795532,931.589600,199.992050,-114.579750,45.014191,26.375048,-94.515686,946.263733,3.174685,-95.686729,38.906609,162.038818,-138.099854,14.031423,35.082890,-129.957458,14.855581,239.349609,-44.785172,17.581659,-23.510328,-92.899529,811.524597,-13.596769,-18.848228,16.337748
9,107.896019,-154.675888,564.945862,205.619690,-117.414001,537.390259,171.161423,-143.406311,601.007019,-6.097828,-75.007393,538.557251,28.348345,-127.844398,605.162231,99.272530,-165.527679,673.064697,191.672989,-137.707306,271.247040,0.596622,-111.106148,271.407288,96.920166,-179.932602,741.821533,218.288681,-114.075981,820.573730,94.033363,-156.934494,849.175293,91.555244,-168.505737,903.742615,181.313141,-130.674759,931.632080,199.989273,-114.611099,45.009399,26.384680,-94.420662,946.143494,3.173230,-95.617264,38.909660,162.075912,-138.088501,14.030708,35.089161,-129.955093,14.875705,239.370743,-44.762871,17.579527,-23.351704,-92.838142,811.369873,-13.662663,-18.835222,16.356026
10,108.152756,-154.612427,564.946899,205.853348,-117.389626,537.300171,171.451813,-143.339935,600.933167,-5.965178,-74.930542,538.605103,28.534779,-127.739548,605.188293,99.518906,-165.436722,673.021362,191.621307,-138.012848,271.170135,0.737651,-111.033226,271.429535,97.198730,-179.809967,741.748047,218.424408,-113.999374,820.617554,94.133675,-156.793350,849.115173,91.669441,-168.387558,903.749451,181.366394,-130.544693,931.665466,199.929977,-114.555923,44.976788,26.371511,-94.273903,946.003296,3.194653,-95.596176,38.937439,162.105713,-138.074005,14.030802,35.112972,-129.951218,14.885852,239.401138,-44.761032,17.568840,-23.181427,-92.723671,811.191956,-13.613071,-18.844791,16.349430
