arthur-ank-01
Date:,2012/07/09
Time:,14:50:45
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:LKNE,,,Patient1:L5,,,Patient1:RKNE,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:LSHO,,,Patient1:RTOE,,,Patient1:LHEE,,,Patient1:RHEE,,,Patient1:C7,,,Patient1:LTOE,,,Patient1:RSHO,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:BHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:LASI,,,Patient1:RTRO,,,Patient1:LTRO
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1308,-10.884907,89.274872,363.439514,139.336273,147.339432,659.530457,154.804413,251.674530,356.208679,157.413300,238.157364,666.126465,131.442917,141.230042,772.753906,119.171104,141.348465,844.177307,-3.991117,72.326935,127.557922,175.172012,206.036484,119.362007,-13.703654,87.782181,889.186096,162.618622,270.605682,96.887474,43.946949,86.126999,98.517220,166.063309,150.440567,98.512947,81.069695,166.483902,929.803162,-83.375000,76.758415,102.228600,123.831429,274.999420,891.257629,162.530151,450.298462,84.176445,-235.996994,171.156052,87.197304,104.768074,175.460953,1009.247009,350.874634,182.343414,81.322929,-53.456570,-101.162766,83.555115,86.339600,274.831024,1019.359741,4.364002,138.029633,1042.783569,38.372650,98.740021,661.830200,162.255707,251.099899,607.865784,42.451153,88.062767,589.458923
1309,-10.961152,89.444458,363.460052,139.105072,147.495941,659.543579,154.779602,251.714188,356.286743,157.176361,238.359100,666.163452,131.172852,141.373047,772.715881,119.088913,141.410248,844.134827,-4.100191,72.398621,127.600914,175.033844,206.159180,119.388451,-13.714162,87.633522,889.247253,162.520462,270.706512,96.853081,43.906971,86.188637,98.600746,165.890976,150.595688,98.591095,81.024200,166.439148,929.828430,-83.472771,76.862190,102.221443,123.677284,275.053925,891.328308,162.509888,450.381439,83.965759,-236.081436,171.239609,86.958260,104.868942,175.349640,1009.240112,350.822693,182.419861,81.506317,-53.487503,-101.082657,83.763832,86.488533,274.689728,1019.423401,4.505507,137.908295,1042.950928,38.143673,98.945023,661.852112,161.976028,251.259888,607.911865,42.165558,88.286163,589.489746
1310,-11.069517,89.636086,363.480133,138.939117,147.640594,659.572571,154.700485,251.736359,356.319000,156.946365,238.546249,666.212708,130.975067,141.524277,772.693970,119.017616,141.482727,844.126831,-4.201118,72.498093,127.660660,174.913818,206.267166,119.417061,-13.705548,87.509575,889.292969,162.430496,270.833801,96.801308,43.821781,86.265671,98.690338,165.760330,150.734695,98.662819,81.013412,166.409897,929.850830,-83.550316,76.944794,102.208870,123.497864,275.118073,891.401062,162.483780,450.447876,83.762650,-236.176971,171.353134,86.732857,105.060730,175.190948,1009.232056,350.777161,182.536133,81.706345,-53.527847,-101.015495,83.961067,86.628113,274.565643,1019.507202,4.546777,137.839523,1043.079468,37.918739,99.178207,661.907654,161.695648,251.419281,607.952698,41.894043,88.493599,589.524048
1311,-11.194633,89.830330,363.492279,138.741135,147.793106,659.603027,154.568741,251.780518,356.342285,156.733856,238.738159,666.244141,130.830750,141.646698,772.669861,118.968269,141.538467,844.128418,-4.269783,72.547783,127.709305,174.826416,206.366043,119.464088,-13.703514,87.401871,889.354004,162.389618,270.934692,96.769638,43.632568,86.388077,98.785255,165.691833,150.853378,98.744965,80.996712,166.386169,929.883301,-83.599556,77.066429,102.191429,123.303490,275.173553,891.455139,162.436646,450.511902,83.547836,-236.264725,171.443695,86.505493,105.289566,175.058380,1009.209473,350.737091,182.641983,81.950119,-53.579285,-100.948120,84.166214,86.755592,274.457336,1019.595032,4.650698,137.752762,1043.226196,37.690979,99.377914,661.974365,161.429092,251.591873,607.966797,41.639637,88.667542,589.573486
1312,-11.310848,90.008141,363.508392,138.384689,147.995270,659.616272,154.468094,251.829544,356.417236,156.529953,238.921204,666.273438,130.596924,141.756241,772.629211,118.864853,141.604050,844.125244,-4.357450,72.678116,127.678101,174.769348,206.485870,119.523941,-13.703094,87.263901,889.433289,162.362259,271.028381,96.741783,43.527332,86.491745,98.880608,165.640320,150.957321,98.869255,80.920586,166.363007,929.923950,-83.605354,77.147392,102.188354,123.070198,275.231476,891.500610,162.428833,450.595093,83.324554,-236.348907,171.504745,86.258415,105.316544,174.986404,1009.174438,350.676697,182.686783,82.205818,-53.627930,-100.864883,84.381546,86.848503,274.334656,1019.660278,4.844332,137.621140,1043.384277,37.437466,99.571335,662.025391,161.177490,251.756393,607.989441,41.360680,88.839539,589.634827
1313,-11.492466,90.163513,363.535980,138.010086,148.186539,659.639893,154.356628,251.881470,356.498627,156.300507,239.084595,666.316040,130.401901,141.865585,772.594543,118.743713,141.693756,844.122742,-4.431710,72.855789,127.662422,174.698242,206.593506,119.583130,-13.708884,87.126442,889.498474,162.324661,271.137299,96.720665,43.561554,86.576454,98.984016,165.587204,151.054962,98.986946,80.879799,166.351669,929.958740,-83.628944,77.215744,102.200203,122.828224,275.299530,891.557617,162.432831,450.699219,83.115082,-236.406586,171.586182,86.016762,105.223091,174.898621,1009.133789,350.594391,182.746704,82.418892,-53.667217,-100.788773,84.610817,86.924400,274.190094,1019.720520,4.979721,137.500366,1043.528931,37.137661,99.793236,662.077026,160.940903,251.913437,608.031799,41.073299,89.047966,589.701721
1314,-11.735718,90.325218,363.563446,137.762985,148.349030,659.686890,154.220734,251.941406,356.558319,156.031540,239.251419,666.367188,130.306946,141.969971,772.585815,118.582268,141.806564,844.106995,-4.471621,72.901161,127.717148,174.586411,206.703903,119.640533,-13.732876,87.053001,889.563660,162.255142,271.242188,96.719887,43.557545,86.677704,99.081680,165.520630,151.160309,99.076210,80.803253,166.370300,929.992981,-83.774567,77.378990,102.195755,122.585403,275.360260,891.626221,162.345078,450.798492,82.902306,-236.460571,171.682266,85.791809,105.222664,174.774582,1009.097900,350.484528,182.854828,82.610794,-53.723534,-100.735916,84.852806,87.024384,274.075165,1019.801453,4.970854,137.430450,1043.678223,36.826809,100.010414,662.137634,160.659744,252.074738,608.082886,40.787136,89.240280,589.750488
1315,-11.906887,90.486481,363.587433,137.569305,148.501678,659.759705,154.077972,252.008743,356.605438,155.764389,239.419144,666.418030,130.146393,142.080902,772.603943,118.324997,141.942978,844.077637,-4.531149,72.960335,127.763145,174.464050,206.840622,119.707756,-13.751365,87.004814,889.631653,162.132141,271.366394,96.693382,43.482235,86.771927,99.155777,165.423508,151.288910,99.166046,80.587349,166.404785,930.031311,-83.848961,77.524399,102.188446,122.316376,275.422455,891.693420,162.225067,450.880432,82.666847,-236.521194,171.759766,85.557159,105.272224,174.664719,1009.061951,350.384888,182.959122,82.812553,-53.761162,-100.681305,85.106636,87.128235,273.990601,1019.880066,5.015334,137.338486,1043.823486,36.534824,100.221382,662.193054,160.334045,252.239700,608.131531,40.506008,89.397942,589.785522
1316,-11.981689,90.612015,363.609161,137.331390,148.645889,659.848389,153.964371,252.074509,356.679169,155.521454,239.578979,666.467529,129.924194,142.210938,772.641785,118.056587,142.069061,844.072266,-4.642503,73.185738,127.767097,174.367996,206.979492,119.776718,-13.767550,86.914719,889.701233,162.017151,271.517761,96.642647,43.421009,86.868797,99.240196,165.332199,151.428406,99.296188,80.352371,166.439423,930.086914,-83.863991,77.635277,102.182556,122.052536,275.500854,891.768372,162.177338,450.947357,82.444260,-236.565979,171.821487,85.297226,105.286278,174.592667,1009.021118,350.335724,183.058868,83.037163,-53.817150,-100.548088,85.339630,87.212425,273.907654,1019.946533,5.142967,137.226608,1043.962158,36.267895,100.392578,662.261902,160.062912,252.385345,608.174866,40.223270,89.555832,589.825562
1317,-12.048700,90.707413,363.638977,137.013535,148.796677,659.923279,153.833801,252.143341,356.763855,155.262726,239.729828,666.516541,129.745575,142.345627,772.691711,117.912346,142.161209,844.100098,-4.805236,73.461876,127.744133,174.269943,207.126785,119.808487,-13.777086,86.818520,889.786926,161.954117,271.654022,96.614174,43.348038,86.986694,99.353218,165.248672,151.543228,99.444038,80.205772,166.466675,930.136597,-83.950706,77.772156,102.177124,121.759224,275.611145,891.847107,162.136398,451.041046,82.229462,-236.610870,171.904541,85.051109,105.273552,174.536804,1008.978760,350.279175,183.168167,83.282700,-53.911728,-100.387878,85.549408,87.231140,273.856079,1019.985413,5.272473,137.139053,1044.104614,36.022556,100.516670,662.333435,159.875107,252.518478,608.228210,39.929665,89.712494,589.885071
1318,-12.167804,90.794884,363.679321,136.659836,148.956696,659.973328,153.644165,252.240952,356.816254,155.010712,239.856018,666.570129,129.577118,142.474380,772.731506,117.903900,142.240479,844.139160,-4.981612,73.706306,127.745071,174.123764,207.291168,119.811546,-13.795799,86.756691,889.880920,161.874649,271.777985,96.593140,43.245995,87.121925,99.477486,165.213913,151.665237,99.571884,80.085983,166.504074,930.164917,-84.097824,77.943123,102.163933,121.415283,275.728729,891.902588,162.056335,451.183350,81.959549,-236.677612,172.014862,84.835602,105.265511,174.470169,1008.930847,350.167572,183.288666,83.531296,-53.992931,-100.243393,85.759193,87.224457,273.803741,1020.011963,5.398783,137.071442,1044.256592,35.801720,100.633873,662.393433,159.700836,252.642822,608.290894,39.664757,89.868477,589.950134
1319,-12.300917,90.895691,363.706909,136.379166,149.102692,660.021545,153.484116,252.343384,356.879272,154.758499,239.983368,666.638245,129.261780,142.636353,772.764893,117.876320,142.341782,844.167297,-5.175115,73.975349,127.797585,173.972107,207.469208,119.846527,-13.849759,86.714317,889.965149,161.757706,271.930450,96.559097,43.037857,87.286842,99.604378,165.184692,151.823929,99.709503,79.950890,166.555008,930.200745,-84.381157,78.198425,102.123344,121.078186,275.830383,891.956421,162.096893,451.310455,81.677193,-236.781296,172.121765,84.601028,105.263954,174.404785,1008.886169,350.025208,183.410721,83.780396,-54.100368,-100.110954,86.012802,87.257454,273.743195,1020.051697,5.476482,137.003647,1044.404053,35.554020,100.749290,662.460815,159.481812,252.747787,608.364746,39.405914,89.989273,590.021851
1320,-12.459333,91.014435,363.725555,136.156815,149.212875,660.093201,153.350220,252.434799,356.954803,154.484039,240.126953,666.705505,128.827438,142.797134,772.810425,117.690384,142.487808,844.187256,-5.367254,74.143761,127.899315,173.845367,207.643616,119.916931,-13.901183,86.671165,890.046204,161.635452,272.101318,96.514488,42.743088,87.477226,99.709824,165.038193,151.998398,99.853859,79.856728,166.588684,930.245728,-84.626938,78.408043,102.099060,120.753441,275.956604,892.028076,162.132553,451.405365,81.400314,-236.833252,172.232697,84.348854,105.238342,174.369095,1008.835144,349.911133,183.525436,84.039886,-54.227589,-100.044609,86.306519,87.265244,273.706848,1020.088074,5.528624,136.945999,1044.531616,35.301018,100.830696,662.528564,159.218948,252.857086,608.441406,39.161087,90.078629,590.111816
1321,-12.660612,91.128021,363.755737,135.954605,149.311295,660.167847,153.164291,252.560379,356.993561,154.218231,240.252670,666.743103,128.539612,142.916153,772.874817,117.415688,142.667618,844.235718,-5.508996,74.197571,127.987587,173.714752,207.824661,119.977112,-13.942089,86.638527,890.131897,161.514633,272.274445,96.444756,42.550903,87.648384,99.795975,164.907227,152.184570,99.990891,79.793198,166.634842,930.284058,-84.749847,78.555496,102.106155,120.406876,276.090424,892.086975,161.975677,451.510040,81.079391,-236.891602,172.384506,84.082298,105.189369,174.340012,1008.776062,349.818481,183.648422,84.342453,-54.341183,-99.919083,86.544273,87.244507,273.665344,1020.134460,5.587135,136.909027,1044.662109,35.101227,100.898773,662.594177,158.985596,252.970779,608.512024,38.939629,90.153496,590.190735
