arthur-ank-02
Date:,2012/07/09
Time:,14:55:41
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:L5,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RTOE,,,Patient1:LSHO,,,Patient1:LTOE,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BALAVG,,,Patient1:BALAVD,,,Patient1:BALARG,,,Patient1:BALARD,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:LASI
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,25.418039,71.691521,589.502136,153.764267,227.589890,597.420105,122.658012,132.154419,652.117188,12.508361,50.146214,355.646606,143.612350,220.404663,345.292297,148.133041,218.313660,656.967346,118.566574,124.206177,762.549988,109.600204,119.628242,834.647217,166.823624,171.226791,108.350288,12.714561,38.147404,115.376167,136.148560,237.437973,104.820351,-25.218824,75.638390,882.993286,-62.614353,73.997551,101.446442,162.972336,117.626205,79.940094,57.802998,36.456997,79.649254,122.460777,248.342621,901.930908,71.327812,140.520950,926.037292,-225.315369,154.557831,123.867165,168.009628,440.792999,121.170586,-43.076092,-108.052979,50.441116,355.955597,182.789886,48.655975,80.429153,148.168411,1013.706055,75.933975,251.718307,1019.225037,-29.123575,132.558517,1032.927856,,,
2,26.950970,70.468735,590.301697,153.401794,228.260178,597.327820,123.494629,132.185974,652.123291,12.572565,50.323235,355.694122,143.576202,220.577805,345.198944,147.949722,219.044846,656.882874,118.569855,124.690422,762.296936,109.831581,119.853424,834.369812,166.796997,171.222229,108.365547,12.776360,38.178371,115.433968,136.200470,237.452515,104.842339,-24.830437,75.393379,882.780640,-62.555984,73.938126,101.478172,163.007065,117.639618,79.947983,57.724525,36.505737,79.648552,122.882820,248.286133,902.158630,71.700920,140.361450,925.967224,-225.329437,154.566879,123.863441,168.007126,440.813934,121.136429,-43.066147,-108.049553,50.404682,355.973572,182.810989,48.667759,80.595139,147.618942,1013.874329,76.510010,251.344604,1019.405457,-28.887230,132.358337,1033.058472,,,
3,26.647579,71.221375,590.176147,153.124084,228.954178,597.256592,125.863503,131.187866,652.132080,12.623210,50.529835,355.711090,143.619904,220.774536,345.148865,147.739349,219.735184,656.825317,118.553780,125.174217,762.035522,110.043854,120.139587,834.086853,166.770630,171.243851,108.359459,12.810669,38.230904,115.490471,136.165421,237.487274,104.830551,-24.404266,75.127510,882.565369,-62.427921,73.887032,101.523438,163.012329,117.647522,79.978722,57.724319,36.538464,79.680962,123.084335,248.246857,902.355591,72.059921,140.178833,925.927368,-225.329865,154.588257,123.792793,167.968491,440.820984,121.103088,-43.046574,-108.028427,50.431709,355.986572,182.815689,48.707211,80.692299,147.114822,1014.054443,78.353355,250.222214,1019.433350,-28.740875,132.292450,1033.102295,,,
4,26.531603,71.798203,590.128845,152.845108,229.652512,597.217102,123.563454,133.485611,652.097717,12.630132,50.729282,355.747070,143.645584,221.035873,345.114258,147.469833,220.460129,656.775085,118.696465,125.707001,761.785645,110.312202,120.427704,833.817688,166.717453,171.306610,108.361412,12.792750,38.313408,115.530731,136.065399,237.545044,104.790962,-24.001701,74.859764,882.361938,-62.376232,73.913300,101.529236,163.039902,117.668877,80.050690,57.758282,36.574139,79.745514,123.194496,248.212067,902.551758,72.442352,139.942871,925.911011,-225.401047,154.651764,123.685349,167.922699,440.861023,121.039139,-43.128174,-108.014633,50.497658,355.960236,182.831757,48.777363,80.710106,146.656204,1014.190186,81.652321,248.349136,1019.300598,-28.631355,132.318176,1033.049805,,,
5,26.240454,72.527817,589.974487,152.537338,230.345642,597.195862,123.473213,134.219238,652.058777,12.604627,50.940178,355.819550,143.641266,221.314423,345.088348,147.144882,221.202484,656.743408,118.937996,126.293869,761.563354,110.714722,120.664459,833.566284,166.656387,171.393005,108.391861,12.735929,38.436790,115.586304,135.977997,237.654724,104.758888,-23.626612,74.596832,882.175598,-62.490368,74.036201,101.497589,163.117294,117.714455,80.147415,57.784054,36.637062,79.811050,123.359688,248.161407,902.812988,72.764984,139.724380,925.855225,-225.585037,154.757339,123.550514,167.856949,440.967804,120.907555,-43.193829,-107.968826,50.618187,355.918640,182.859894,48.889729,80.826500,146.158890,1014.310608,83.677544,247.137131,1019.334229,-28.484228,132.272400,1033.076050,,,
6,25.662405,73.532257,589.689697,152.228455,231.039551,597.168518,125.477394,133.380463,651.982300,12.579533,51.196846,355.898865,143.616165,221.572723,345.106537,146.815201,221.907608,656.733948,119.052078,126.873428,761.387451,111.175484,120.854546,833.331299,166.588760,171.507294,108.446480,12.669466,38.595436,115.665123,135.884293,237.786026,104.745918,-23.247133,74.331612,881.965576,-62.684170,74.228447,101.465157,163.133652,117.795792,80.254135,57.770264,36.729343,79.901062,123.435005,248.150955,903.104126,73.017738,139.542145,925.789551,-225.743912,154.898956,123.365753,167.751984,441.100708,120.708900,-43.177292,-107.874855,50.803688,355.875000,182.887177,49.043709,81.068062,145.599960,1014.427490,84.236275,246.622681,1019.521362,-28.305822,132.133743,1033.196533,,,
7,25.359917,74.249825,589.572205,151.893555,231.757080,597.146301,125.077141,134.068832,651.959839,12.546008,51.476799,355.991302,143.559601,221.827103,345.158112,146.538986,222.598892,656.746826,119.113091,127.380928,761.236572,111.497734,121.017700,833.134460,166.492294,171.661972,108.534554,12.574405,38.800201,115.783607,135.774918,237.918930,104.740639,-22.876041,74.077820,881.735535,-62.833401,74.409470,101.449242,163.080292,117.908333,80.378006,57.724018,36.862488,80.062332,123.388176,248.204605,903.380249,73.284554,139.350372,925.756165,-225.842468,155.049011,123.107445,167.638672,441.247772,120.443314,-43.187305,-107.782898,51.057003,355.816711,182.942245,49.243946,81.275436,145.037155,1014.517517,84.689781,246.113144,1019.710571,-28.224056,132.018005,1033.294067,,,
8,25.343287,74.668724,589.608765,151.533264,232.499435,597.145630,124.916504,134.695419,651.981140,12.499523,51.740276,356.106140,143.480804,222.115555,345.216339,146.272675,223.295959,656.798218,119.193115,127.808517,761.084290,111.666801,121.213448,832.965881,166.369751,171.824402,108.649490,12.456377,39.080605,115.920265,135.644287,238.093719,104.710083,-22.508106,73.871346,881.519531,-62.926907,74.583023,101.437553,163.001846,118.031769,80.536125,57.703865,37.017792,80.253296,123.433594,248.227661,903.664001,73.591553,139.148514,925.750916,-225.944000,155.206848,122.805634,167.506973,441.439240,120.114639,-43.261433,-107.659775,51.354889,355.733826,183.034714,49.503498,81.427391,144.509033,1014.620789,85.132751,245.600418,1019.937805,-28.217350,131.970551,1033.374756,,,
9,25.327332,75.111786,589.660400,151.210938,233.213226,597.175842,124.969154,135.301071,652.026306,12.492931,51.966515,356.226440,143.336151,222.438171,345.271484,145.973587,224.002869,656.859009,119.250038,128.222321,760.944031,111.784012,121.436745,832.816406,166.216507,172.011948,108.774338,12.329610,39.389580,116.011673,135.459045,238.323517,104.642822,-22.125570,73.691261,881.309387,-63.039425,74.766884,101.415390,162.819839,118.228783,80.742531,57.639378,37.157452,80.451859,123.712143,248.160522,903.973145,73.906654,138.928452,925.774963,-226.071701,155.420181,122.446243,167.339737,441.652710,119.715553,-43.367264,-107.527985,51.692921,355.635132,183.131561,49.816017,81.579346,144.023148,1014.761169,85.515480,245.109375,1020.190125,-28.168690,131.930237,1033.461426,,,
10,25.313074,75.578583,589.747559,150.962769,233.880692,597.246582,125.069572,135.934860,652.069824,12.506219,52.231777,356.324554,143.160187,222.782104,345.332916,145.731842,224.711731,656.909485,119.331604,128.689148,760.828979,111.891411,121.639076,832.690308,166.035477,172.263916,108.910805,12.217553,39.661446,116.082680,135.248260,238.588654,104.569237,-21.741833,73.478355,881.103210,-63.120853,74.913376,101.405457,162.554077,118.515884,80.976250,57.429428,37.318439,80.660881,124.003433,248.064880,904.289246,74.210083,138.711929,925.818115,-226.324844,155.693634,121.963928,167.161026,441.930481,119.224258,-43.445881,-107.462074,52.130085,355.549683,183.246094,50.185230,81.746605,143.606140,1014.909668,85.826790,244.651321,1020.437317,-28.137848,131.898849,1033.527710,,,
