arthur-ank-03
Date:,2012/07/09
Time:,14:56:07
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:RTRO,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:RANK,,,Patient1:C7,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:BHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:LTRO,,,Patient1:LANK,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,140.865875,250.306946,610.056396,109.645218,154.040405,661.846863,137.555435,239.990036,668.364868,44.592953,110.879677,683.759521,133.225662,243.605606,359.640228,-28.606817,98.926483,367.628540,108.019234,149.098709,779.045898,96.839195,151.239563,852.961487,-44.322502,114.706268,898.531921,105.279259,287.893494,910.481750,140.500015,202.590927,121.319702,54.289570,180.152939,938.272522,136.966171,147.065353,106.429176,29.613873,62.119896,107.359230,113.433563,270.317047,97.768242,61.279491,182.708969,1014.230042,342.220734,202.698502,95.704422,-57.001152,-88.332428,98.573067,66.307854,283.063019,1027.093994,-47.328590,170.428894,1036.656860,148.745911,466.284332,68.933403,-243.786575,179.776733,72.572014,,,,,,,,,
2,140.744949,250.438141,610.053467,109.593170,154.111572,661.896484,137.456543,240.124084,668.315308,45.917946,110.921661,684.075195,133.247742,243.679718,359.691101,-28.906551,99.072052,367.613770,107.939629,149.212677,779.078491,96.745392,151.314850,852.927246,-44.291019,114.713173,898.533508,105.178429,287.985107,910.473999,140.501434,202.639954,121.357117,54.215488,180.208450,938.263550,136.915985,147.040176,106.437057,29.594868,62.144794,107.357056,113.518913,270.400635,97.809868,61.183403,182.800537,1014.279358,342.124329,202.763321,95.720100,-56.982285,-88.303940,98.625374,66.257896,283.151154,1027.179565,-47.392757,170.377365,1036.640991,148.742157,466.289154,68.920830,-243.811920,179.756226,72.534386,,,,,,,,,
3,140.612061,250.523376,610.043945,110.349510,153.674484,661.899780,137.392242,240.198547,668.327148,43.487946,111.787865,684.664612,133.105774,243.763367,359.701019,-29.015835,99.134270,367.644806,107.904526,149.328873,779.086182,96.660126,151.449844,852.907166,-44.316193,114.769531,898.526978,105.063736,288.076141,910.454346,140.460251,202.671036,121.381332,54.184284,180.304993,938.281189,136.913483,147.051834,106.469528,29.564537,62.169464,107.361771,113.538177,270.370331,97.820000,61.107365,182.884247,1014.303223,342.105804,202.790054,95.736984,-56.991920,-88.285446,98.671028,66.144447,283.226532,1027.244507,-47.444889,170.365479,1036.630859,148.727310,466.299744,68.889259,-243.826477,179.747025,72.512909,,,,,,,,,
4,140.420197,250.620361,610.040833,112.623260,152.113892,661.836365,137.312378,240.282806,668.356018,46.151421,110.989700,684.165649,132.934753,243.872345,359.696594,-29.051311,99.166489,367.673859,107.834938,149.456909,779.073181,96.607002,151.571884,852.909058,-44.359516,114.839806,898.503296,104.985451,288.171082,910.448303,140.394073,202.684555,121.401878,54.149532,180.406372,938.291321,136.918869,147.075333,106.499443,29.557114,62.210220,107.363518,113.529358,270.385284,97.803024,61.040119,182.969681,1014.320435,342.106628,202.789154,95.760094,-56.975269,-88.267960,98.699867,66.039642,283.300171,1027.286011,-47.471680,170.338120,1036.623047,148.708832,466.319641,68.853546,-243.861359,179.754745,72.486237,6.068864,98.835106,598.910339,,,,,,
5,140.231415,250.748672,610.040222,110.889091,153.382797,661.894958,137.085434,240.461411,668.381287,44.249542,111.267830,683.805176,132.861755,243.962265,359.700409,-29.115244,99.206123,367.667145,107.730675,149.594315,779.055603,96.571281,151.656601,852.905090,-44.395088,114.901924,898.466858,104.919724,288.289642,910.452087,140.357483,202.702957,121.407333,54.112892,180.502777,938.273254,136.911972,147.082535,106.507317,29.584412,62.245872,107.364479,113.504448,270.409363,97.792122,60.968365,183.073959,1014.345459,342.118896,202.802887,95.785408,-56.975960,-88.271355,98.714462,65.959129,283.371307,1027.324585,-47.498901,170.336334,1036.618530,148.694824,466.339569,68.831329,-243.876709,179.769287,72.454201,5.924364,98.950378,598.942322,,,,,,
6,140.077530,250.887329,610.016174,112.248222,152.471344,661.786011,136.717712,240.704071,668.390381,47.642712,109.815552,683.691895,132.837646,244.024185,359.694733,-29.177584,99.254929,367.664825,107.711975,149.712967,779.056519,96.488426,151.749664,852.881897,-44.428642,114.955406,898.446045,104.810860,288.411957,910.437073,140.340500,202.717133,121.400734,54.170658,180.593658,938.262695,136.926422,147.085251,106.505905,29.611340,62.259007,107.367020,113.487549,270.418732,97.810120,60.889141,183.162903,1014.357605,342.157227,202.824753,95.792007,-56.978600,-88.252144,98.716652,65.856812,283.435486,1027.367432,-47.542854,170.344742,1036.618042,148.671432,466.334900,68.821449,-243.873993,179.771698,72.451462,5.812075,99.046310,598.939575,-22.237312,68.829918,132.663986,,,
7,139.929306,251.031204,609.986938,112.053444,152.646423,661.788269,136.421921,240.907532,668.360779,48.406876,109.462105,683.648560,132.771820,244.091324,359.680878,-29.220598,99.334679,367.658173,107.681709,149.838669,779.057861,96.388908,151.857742,852.852600,-44.462448,114.999329,898.412170,104.665413,288.528229,910.429810,140.334061,202.702682,121.401932,54.189995,180.658249,938.261047,136.929428,147.093613,106.505058,29.617281,62.263477,107.367226,113.518913,270.400635,97.809868,60.835903,183.219574,1014.356445,342.160004,202.818848,95.763908,-56.972961,-88.213615,98.703339,65.747139,283.478302,1027.416016,-47.583622,170.311310,1036.619629,148.668274,466.321960,68.820053,-243.875870,179.755295,72.463440,5.707821,99.161629,598.933594,-22.299946,68.799332,132.676285,,,
8,139.765930,251.186203,609.975952,112.011063,152.785263,661.812561,136.254379,241.058289,668.319092,48.302368,109.608330,683.640198,132.596695,244.158966,359.657196,-29.227163,99.427147,367.638214,107.516884,149.990616,779.037231,96.305183,151.962097,852.826538,-44.496670,115.042030,898.355225,104.515587,288.654266,910.453918,140.346085,202.703903,121.395737,54.076118,180.764374,938.234680,136.900360,147.083755,106.508606,29.601814,62.263107,107.359734,113.334633,270.410706,97.752335,60.842884,183.271332,1014.353027,342.139587,202.806702,95.733055,-56.987881,-88.225082,98.685318,65.683777,283.524658,1027.448364,-47.626404,170.303360,1036.619507,148.699158,466.319672,68.841286,-243.860764,179.737717,72.475410,5.622811,99.282539,598.947266,-22.251699,68.787888,132.687988,,,
9,139.587448,251.351212,609.960632,111.897934,152.897278,661.805054,136.138275,241.201813,668.285156,48.567566,109.691063,683.628113,132.411728,244.209381,359.627319,-29.210592,99.488777,367.622345,107.307800,150.152390,779.000244,96.216019,152.059723,852.808228,-44.537933,115.102089,898.318909,104.376335,288.800415,910.480652,140.359818,202.711441,121.388672,53.908566,180.926956,938.191040,136.895340,147.049759,106.498604,29.611454,62.264309,107.353493,113.344269,270.395569,97.757408,60.839924,183.335419,1014.337158,342.120483,202.809158,95.713783,-56.968014,-88.250488,98.664871,65.660133,283.589294,1027.458008,-47.706718,170.324829,1036.606934,148.708099,466.318329,68.860970,-243.843262,179.733749,72.496544,5.532814,99.381889,598.944641,-22.215481,68.803802,132.677277,,,
10,139.419739,251.498703,609.927185,111.769981,153.018387,661.783264,135.996643,241.356400,668.264771,48.632885,109.774597,683.628845,132.345337,244.250748,359.610504,-29.236326,99.519424,367.600159,107.216972,150.301102,778.964172,96.131615,152.170258,852.789307,-44.585491,115.187080,898.282776,104.221733,288.966461,910.493469,140.367752,202.687927,121.399452,53.782070,181.041183,938.161621,136.929016,147.048660,106.478828,29.658504,62.273796,107.348892,113.368378,270.371674,97.780197,60.801003,183.399796,1014.310364,342.120392,202.815552,95.688667,-56.926750,-88.249115,98.629295,65.615036,283.638947,1027.462524,-47.884251,170.379654,1036.581543,148.701523,466.316193,68.862602,-243.846924,179.732880,72.513115,5.421280,99.476883,598.934631,-22.225428,68.801414,132.666946,,,
11,139.277328,251.620514,609.890259,111.749672,153.149872,661.769165,135.825607,241.511246,668.260498,47.642330,110.431366,683.740417,132.359924,244.293579,359.598236,-29.272825,99.540291,367.578308,107.216446,150.425095,778.935120,96.049690,152.295715,852.754822,-44.643051,115.245300,898.237427,104.038055,289.121918,910.517456,140.353607,202.678848,121.402023,53.706554,181.104080,938.138000,136.943893,147.052872,106.477707,29.734297,62.265125,107.334663,113.397331,270.354248,97.815636,60.814434,183.442764,1014.299561,342.138977,202.806046,95.675552,-56.919102,-88.271736,98.600746,65.525986,283.690063,1027.463135,-48.105434,170.460922,1036.565552,148.700012,466.309662,68.883644,-243.917114,179.744431,72.526146,5.309182,99.557083,598.946594,-22.199308,68.789856,132.672333,-87.874962,109.395393,100.555237
12,139.138641,251.751114,609.874695,111.595612,153.330139,661.728821,135.807556,241.614685,668.265381,45.924938,111.603607,683.960022,132.368835,244.325394,359.571777,-29.261000,99.567047,367.559692,107.215668,150.545715,778.914307,95.908806,152.425934,852.710205,-44.712116,115.260399,898.197388,103.854195,289.276001,910.569702,140.345215,202.677811,121.396515,53.612747,181.189606,938.109741,136.924896,147.021881,106.481071,29.786558,62.250690,107.313538,113.412613,270.345306,97.821457,60.815372,183.485596,1014.288635,342.158264,202.783157,95.668884,-56.948090,-88.312439,98.585205,65.428864,283.757538,1027.455200,-48.226860,170.483780,1036.580444,148.687561,466.303833,68.915215,-243.979218,179.770294,72.531471,5.186802,99.635971,598.952637,-22.166847,68.790573,132.662018,-87.935524,109.268036,100.569756
13,138.974625,251.907425,609.862732,111.377510,153.539719,661.683228,135.900040,241.694733,668.270508,45.927723,111.733192,683.947510,132.284805,244.365921,359.543091,-29.266531,99.611549,367.536469,107.166367,150.673645,778.889893,95.748932,152.551270,852.675903,-44.790218,115.291718,898.147644,103.653297,289.434601,910.624329,140.368500,202.670639,121.400734,53.549358,181.285904,938.091980,136.916138,147.004456,106.471519,29.797180,62.254143,107.296059,113.414223,270.344879,97.797653,60.714317,183.560730,1014.256287,342.161926,202.767502,95.652100,-56.961140,-88.322044,98.574203,65.385742,283.814636,1027.452271,-48.278332,170.489868,1036.612671,148.689758,466.309723,68.923828,-243.915939,179.765976,72.532143,5.082506,99.751289,598.946716,-22.154623,68.800232,132.568939,-87.909950,109.297638,100.558990
14,138.821426,252.045654,609.821350,111.249680,153.699783,661.655884,135.771988,241.853363,668.249756,47.416462,110.878304,683.676636,132.190277,244.393463,359.548431,-29.313219,99.661095,367.522369,107.065056,150.811325,778.856934,95.685547,152.653305,852.666504,-44.874153,115.338608,898.091125,103.429131,289.564819,910.659363,140.374939,202.671417,121.393890,53.545177,181.359024,938.088074,136.918030,146.992386,106.462486,29.850668,62.256817,107.280411,113.425468,270.329285,97.778908,60.622116,183.650070,1014.219055,342.172485,202.767105,95.634659,-56.921535,-88.299751,98.568985,65.351044,283.862885,1027.457153,-48.305073,170.505646,1036.627930,148.709930,466.306244,68.933228,-243.850845,179.739685,72.538651,4.993155,99.889008,598.934998,-22.110666,68.815392,132.484848,-87.892639,109.328262,100.569695
15,138.683365,252.173340,609.773071,111.170265,153.825607,661.650574,135.455612,242.068481,668.208130,48.043438,110.530083,683.523499,132.201920,244.387039,359.556030,-29.354805,99.683167,367.518738,107.003807,150.960938,778.838745,95.596069,152.751053,852.662903,-44.949757,115.393822,898.038757,103.234047,289.690582,910.697021,140.354156,202.670822,121.366592,53.499546,181.432739,938.087219,136.913666,146.978958,106.468109,29.887732,62.253601,107.270134,113.435104,270.314148,97.783966,60.583260,183.709991,1014.178162,342.205811,202.768250,95.627151,-56.919037,-88.287872,98.557480,65.299263,283.905334,1027.456421,-48.322571,170.499969,1036.644897,148.705963,466.288788,68.947662,-243.832047,179.721359,72.546783,4.857084,100.006020,598.915283,-22.087782,68.806396,132.555420,-87.897636,109.329163,100.568573
16,138.524963,252.332413,609.740479,111.143967,153.948364,661.658997,135.186646,242.268494,668.188965,47.938923,110.655434,683.523010,132.239578,244.392899,359.533234,-29.384499,99.705986,367.519165,106.884491,151.125763,778.833679,95.466217,152.879486,852.642944,-45.032482,115.473572,897.982239,103.056061,289.821838,910.747559,140.353760,202.669266,121.362106,53.404118,181.511978,938.091919,136.923538,146.992905,106.482422,29.886351,62.246300,107.275795,113.433487,270.314575,97.807777,60.480545,183.761963,1014.140442,342.202881,202.750885,95.636002,-56.947777,-88.302834,98.566887,65.223129,283.950317,1027.458740,-48.374161,170.489868,1036.684448,148.698959,466.288727,68.941566,-243.835358,179.724808,72.557335,4.721298,100.123528,598.923523,-22.144747,68.792641,132.572189,-87.914795,109.299721,100.547493
17,138.365189,252.493805,609.735413,111.074936,154.094238,661.659729,134.958298,242.473541,668.192383,47.845249,110.791100,683.533386,132.279434,244.406982,359.545227,-29.418116,99.770493,367.519623,106.669319,151.286102,778.834045,95.430206,153.022903,852.619446,-45.127392,115.518890,897.926147,102.855484,289.948181,910.793701,140.372040,202.668762,121.387917,53.249157,181.604858,938.099304,136.927094,147.007324,106.495293,29.862226,62.251984,107.303978,113.423851,270.329712,97.802727,60.373875,183.822678,1014.115845,342.173737,202.736694,95.645576,-56.923866,-88.302505,98.595184,65.116615,284.018494,1027.452637,-48.434139,170.499756,1036.717896,148.709381,466.304993,68.931908,-243.863907,179.733795,72.550613,4.634814,100.260986,598.955383,-22.183245,68.797005,132.517853,-87.911858,109.300919,100.526505
18,138.209778,252.634888,609.738892,111.013329,154.255249,661.662903,134.763535,242.666473,668.187683,47.738884,110.948875,683.532410,132.293793,244.412674,359.576569,-29.461351,99.837311,367.503113,106.508774,151.424179,778.826477,95.386307,153.146439,852.608154,-45.210655,115.525467,897.894775,102.644577,290.095764,910.842834,140.369019,202.679642,121.406395,53.020123,181.719284,938.104858,136.900818,147.008102,106.505669,29.780508,62.285187,107.335938,113.414223,270.344879,97.797653,60.319611,183.864563,1014.090393,342.152161,202.759338,95.658936,-56.924343,-88.288025,98.599815,65.081978,284.080353,1027.431885,-48.469193,170.527512,1036.755981,148.699356,466.313141,68.925034,-243.866669,179.733276,72.527985,4.557717,100.377106,598.987610,-22.132229,68.829384,132.532516,-87.894562,109.331512,100.537216
19,138.079803,252.773483,609.725098,111.018684,154.376770,661.694458,134.641571,242.807938,668.185852,46.751598,111.638565,683.666870,132.293243,244.415863,359.590485,-29.492376,99.884773,367.492889,106.430527,151.564102,778.802979,95.289558,153.249756,852.623962,-45.300022,115.556549,897.863831,102.423668,290.249786,910.894470,140.358276,202.706055,121.416306,52.845299,181.828217,938.117004,136.882339,147.041031,106.515518,29.709982,62.329369,107.349342,113.397331,270.354248,97.815636,60.260159,183.893143,1014.055359,342.130219,202.782516,95.687599,-56.952957,-88.283539,98.613441,65.087051,284.110260,1027.420654,-48.495338,170.535721,1036.816650,148.676376,466.311157,68.889549,-243.862991,179.745529,72.514496,4.448887,100.511169,599.019409,-22.083281,68.875237,132.544922,-87.913055,109.298950,100.571213
20,137.993561,252.909546,609.718750,110.974472,154.488403,661.736206,134.515427,242.940964,668.179932,44.884323,112.855339,683.926208,132.293793,244.424118,359.600006,-29.561777,99.951813,367.499176,106.371681,151.707214,778.797180,95.125092,153.362000,852.650452,-45.420300,115.631241,897.809143,102.209206,290.380615,910.951538,140.367737,202.746017,121.428848,52.764923,181.916809,938.117737,136.885681,147.094818,106.535690,29.678293,62.347439,107.374352,113.357132,270.387268,97.798927,60.192909,183.926208,1014.019165,342.119904,202.810242,95.725182,-56.989594,-88.279205,98.656883,65.035896,284.130859,1027.430908,-48.521194,170.519058,1036.867065,148.668961,466.312622,68.828522,-243.872986,179.757248,72.488914,4.321964,100.663361,599.030334,-22.103893,68.878784,132.614639,-87.915253,109.299889,100.559471
21,137.892822,253.032501,609.715881,110.798920,154.639023,661.724609,134.383820,243.094650,668.172058,44.780849,113.010986,683.933105,132.267456,244.449295,359.610474,-29.660854,100.026512,367.504181,106.211983,151.859390,778.807190,94.882103,153.498581,852.664551,-45.557331,115.720634,897.757874,102.015327,290.503204,911.018494,140.383041,202.784042,121.429672,52.658417,182.004303,938.096985,136.879471,147.144394,106.554192,29.665882,62.349953,107.418556,113.324211,270.426056,97.759178,60.121593,183.970779,1013.995728,342.138580,202.851059,95.787216,-57.039433,-88.241173,98.709129,64.937531,284.147552,1027.453613,-48.520870,170.502182,1036.912354,148.674591,466.337830,68.777451,-243.890350,179.781799,72.433929,4.206940,100.777191,599.044067,-22.154495,68.867599,132.701202,-87.903885,109.361870,100.527031
22,137.748917,253.156738,609.706421,110.548019,154.808380,661.687256,134.280075,243.250702,668.200439,46.453632,112.098511,683.721802,132.291351,244.473801,359.640839,-29.772747,100.082199,367.518097,105.966415,152.027893,778.805054,94.689705,153.638016,852.675781,-45.696697,115.794220,897.716187,101.809601,290.646057,911.082886,140.370163,202.806717,121.431892,52.469082,182.109497,938.085876,136.860703,147.195816,106.559425,29.653839,62.393257,107.462036,113.336563,270.462555,97.745720,60.096462,184.003510,1013.985168,342.110748,202.858414,95.850311,-57.028248,-88.165993,98.786133,64.830711,284.202118,1027.472534,-48.537991,170.512299,1036.961182,148.657562,466.365417,68.733238,-243.912918,179.830734,72.372292,4.081631,100.889099,599.086548,-22.195408,68.880737,132.725327,-87.930420,109.389206,100.520523
23,137.604248,253.280914,609.703003,110.385475,154.967926,661.678528,134.152557,243.387604,668.241028,47.244976,111.690384,683.643616,132.276291,244.507599,359.665680,-29.936203,100.154755,367.538544,105.783173,152.160934,778.812500,94.564842,153.784225,852.699890,-45.818691,115.862747,897.690369,101.599731,290.803772,911.158508,140.334885,202.833878,121.459579,52.299492,182.208038,938.093750,136.845001,147.227814,106.585297,29.627489,62.465168,107.508217,113.419319,270.496918,97.766342,60.105640,184.019440,1013.965881,342.002655,202.874451,95.893730,-57.010986,-88.132629,98.894646,64.760994,284.300079,1027.489624,-48.653290,170.587738,1037.022339,148.612076,466.373383,68.666954,-243.932968,179.876282,72.320183,3.951432,101.003059,599.125549,-22.200918,68.913353,132.722839,-87.986023,109.384544,100.526917
24,137.464188,253.412766,609.692566,110.280930,155.091980,661.691345,134.019989,243.506119,668.249817,47.139702,111.800240,683.680603,132.176682,244.583923,359.660767,-30.011576,100.235023,367.573486,105.624413,152.281723,778.849426,94.374001,153.950577,852.718750,-45.923943,115.935356,897.689209,101.405128,290.943817,911.232239,140.295410,202.875076,121.477386,52.115128,182.306549,938.104675,136.834015,147.268890,106.644791,29.609600,62.524658,107.554268,113.341057,270.542725,97.754112,60.105618,184.041550,1013.942139,341.921356,202.926559,95.958321,-57.034805,-88.140549,98.987259,64.699348,284.373322,1027.490845,-48.822277,170.702194,1037.103516,148.574692,466.393402,68.571617,-243.941635,179.912292,72.258583,3.847284,101.102089,599.168945,-22.207050,68.946785,132.728912,-88.034874,109.411087,100.522911
25,137.328522,253.575363,609.690796,110.222900,155.195724,661.737061,133.902588,243.621765,668.253052,47.038048,111.918533,683.720398,132.161087,244.647522,359.676544,-29.983612,100.280174,367.623199,105.494400,152.407150,778.912415,94.144516,154.095886,852.721741,-46.022549,116.016129,897.686768,101.202759,291.091370,911.271362,140.250992,202.929718,121.490585,51.857521,182.416412,938.119080,136.815216,147.332153,106.720657,29.579031,62.587929,107.589287,113.325157,270.554932,97.739807,60.111324,184.072479,1013.935608,341.898041,202.992096,96.052185,-57.069908,-88.101196,99.054810,64.559105,284.450104,1027.478516,-48.984135,170.812744,1037.156128,148.561951,466.437134,68.457993,-243.947052,179.937759,72.168114,3.744932,101.201286,599.235229,-22.258991,68.971153,132.753189,-88.065826,109.469246,100.507256
26,137.240982,253.716263,609.727600,110.138992,155.333344,661.785645,133.799438,243.716309,668.294739,46.969765,112.034386,683.748352,132.199677,244.682724,359.743652,-30.030083,100.323250,367.654205,105.441566,152.499329,778.987122,94.014969,154.217407,852.740417,-46.125854,116.112320,897.673340,101.000099,291.256866,911.296753,140.207428,203.018051,121.524483,51.657661,182.543594,938.140747,136.761932,147.389740,106.799187,29.517195,62.693100,107.644135,113.282692,270.592896,97.750679,60.074093,184.138962,1013.921875,341.870453,203.052368,96.157120,-57.099133,-88.025139,99.156563,64.426277,284.551666,1027.487061,-49.101974,170.898453,1037.215210,148.539703,466.491547,68.336967,-243.980850,179.960739,72.062996,3.643264,101.284904,599.290710,-22.311127,69.011406,132.787094,-88.121964,109.524048,100.515160
27,137.173706,253.803070,609.773743,109.902321,155.493210,661.805054,133.712509,243.787476,668.350220,46.924595,112.146118,683.780029,132.156708,244.758453,359.797638,-30.157352,100.407402,367.669525,105.405930,152.593491,779.051575,93.917305,154.346893,852.786865,-46.248463,116.200043,897.669067,100.828415,291.403839,911.321533,140.179092,203.116135,121.551605,51.570484,182.699371,938.184021,136.708725,147.464493,106.859688,29.453333,62.804653,107.739464,113.200211,270.662018,97.739479,59.974758,184.230408,1013.891052,341.844025,203.121414,96.277550,-57.142914,-87.952477,99.309593,64.332375,284.637482,1027.518311,-49.146172,170.923538,1037.302490,148.474747,466.543335,68.199196,-244.031662,179.994720,71.959503,3.557223,101.366409,599.320251,-22.339703,69.067429,132.826462,-88.181030,109.577614,100.544044
