arthur-kne-11
Date:,2012/07/09
Time:,14:41:01
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:L5,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:LSHO,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:BHD,,,Patient1:BALARG,,,Patient1:BALARD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:BALAVG,,,Patient1:BALAVD,,,Patient1:LASI
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-23.218918,132.354446,598.389709,144.374435,241.505905,606.875305,83.048462,153.844391,657.864807,-35.219852,101.495461,366.004608,161.718307,232.679474,361.380524,137.799072,232.796722,660.764771,93.890465,149.520004,764.533752,96.647301,146.031479,837.954651,-47.204605,88.683739,126.468109,175.287048,220.508026,119.708191,-35.255241,125.934296,897.394897,148.173889,173.580856,97.799545,-0.113141,89.906815,98.799232,147.455704,263.839478,909.087280,73.906860,173.677139,934.974243,189.834976,290.124298,92.839951,-124.813225,115.921349,100.072227,83.815208,176.284164,1020.834351,-19.887421,-136.376038,83.311661,376.202972,132.329407,81.141403,103.703407,275.149323,1032.958618,-26.404049,181.254776,1042.164551,-310.195251,288.255768,86.964363,89.468178,558.144531,84.460434,,,
2,-23.304918,132.235123,598.428894,144.387115,241.370743,606.888245,83.015930,153.705811,657.905579,-35.257839,101.502129,366.010712,161.732391,232.629120,361.373871,137.859909,232.620667,660.794739,94.004471,149.485962,764.579529,96.574547,146.089600,838.037354,-47.145996,88.627083,126.576668,175.281647,220.501587,119.692932,-35.302212,126.073906,897.408447,148.155182,173.548355,97.814087,-0.100290,89.933746,98.777260,147.488068,263.850464,909.037903,73.826622,173.801498,934.993774,189.804184,290.111450,92.860809,-125.039337,116.060028,100.080498,83.785057,176.364563,1020.806335,-19.888268,-136.367218,83.345886,376.122437,132.372650,81.119453,103.625610,275.290344,1032.974487,-26.504978,181.325760,1042.123047,-310.160980,288.255066,86.958122,89.420601,558.084167,84.431076,,,
3,-23.338886,132.158234,598.447693,144.430115,241.217728,606.913330,83.015617,153.597702,657.947876,-35.294086,101.497948,366.003082,161.694809,232.644943,361.342590,137.968231,232.452759,660.851013,93.991737,149.467834,764.644531,96.494904,146.134079,838.110535,-47.192631,88.574646,126.569565,175.303268,220.488098,119.708977,-35.385311,126.212540,897.466858,148.154846,173.543243,97.818901,-0.114057,89.943184,98.789490,147.382904,263.987793,909.034241,73.777863,173.906891,935.039856,189.851990,290.118011,92.878815,-125.037537,116.099884,100.061363,83.749275,176.458267,1020.818542,-19.873842,-136.349838,83.370697,376.053467,132.394562,81.125328,103.511398,275.390106,1032.989258,-26.602394,181.444550,1042.093506,-310.155273,288.258942,86.948936,89.409683,558.074951,84.400093,,,
4,-22.922192,131.597183,598.650330,144.505737,241.076614,606.928101,83.028427,153.505554,657.995972,-35.345776,101.497055,366.006775,161.659210,232.708450,361.322083,138.035431,232.303192,660.892517,93.882973,149.465790,764.737854,96.434250,146.144669,838.157104,-47.252792,88.583176,126.569489,175.352066,220.506927,119.743080,-35.456722,126.335960,897.535828,148.164093,173.537857,97.829613,-0.130974,89.945930,98.822090,147.308029,264.131470,909.027283,73.753944,174.005539,935.091431,189.905960,290.133392,92.891418,-124.961861,116.091545,100.062874,83.667931,176.591965,1020.847900,-19.888506,-136.327698,83.388412,376.074585,132.381378,81.158188,103.427872,275.460388,1033.020996,-26.747219,181.641861,1042.074707,-310.155243,288.288574,86.920265,89.419968,558.111694,84.368645,-19.392845,141.661301,685.105530
5,-21.645596,130.099640,599.229248,144.565582,240.930420,606.966125,83.014221,153.414825,658.033936,-35.393593,101.527451,366.012695,161.642731,232.827591,361.290527,138.088242,232.151611,660.924438,93.902657,149.438858,764.848938,96.426247,146.114624,838.210632,-47.276150,88.619095,126.575584,175.332657,220.555588,119.758400,-35.485870,126.447067,897.604553,148.137131,173.552139,97.852295,-0.136260,89.956909,98.846680,147.403778,264.164673,909.007935,73.736397,174.085815,935.162109,189.885193,290.147430,92.872665,-124.974251,116.066566,100.083588,83.636757,176.721542,1020.875793,-19.917686,-136.296478,83.425201,376.113586,132.374420,81.197281,103.366547,275.552155,1033.057251,-26.881544,181.833801,1042.061279,-310.160858,288.299530,86.854881,89.443588,558.165466,84.303993,-12.612822,139.867401,677.456116
6,-22.909216,131.395706,598.687683,144.599579,240.771759,607.029785,83.050163,153.294632,658.076294,-35.446285,101.598732,366.027771,161.575378,233.009064,361.259918,138.169296,231.991592,660.972900,94.079033,149.364548,764.955566,96.442696,146.082077,838.286377,-47.288593,88.640404,126.592491,175.272293,220.594330,119.756584,-35.513813,126.533058,897.673584,148.098404,173.596649,97.874435,-0.150629,89.989555,98.856346,147.479721,264.192139,909.046753,73.732246,174.167099,935.239624,189.845535,290.157440,92.859474,-125.001678,116.055527,100.077065,83.590271,176.837418,1020.901855,-19.924601,-136.271805,83.475693,376.125336,132.381790,81.261642,103.281685,275.690155,1033.088501,-26.899412,181.939255,1042.048096,-310.174011,288.294159,86.764336,89.442375,558.198425,84.214508,-12.588459,139.770599,677.514771
7,-23.343510,131.789734,598.512390,144.616699,240.645035,607.085327,83.143074,153.170563,658.127014,-35.501961,101.668266,366.066132,161.446686,233.219788,361.252930,138.222839,231.848801,661.017151,94.163788,149.292694,765.048462,96.407669,146.085831,838.376892,-47.297070,88.670715,126.624916,175.232849,220.637207,119.768311,-35.564194,126.615585,897.738953,148.089401,173.627823,97.893318,-0.170968,90.035370,98.861595,147.483429,264.255157,909.098877,73.752556,174.271667,935.290771,189.839172,290.172302,92.875496,-125.010307,116.110199,100.058418,83.483337,176.975983,1020.938660,-19.938190,-136.257889,83.531967,376.110046,132.395493,81.345078,103.180000,275.842560,1033.104980,-26.917618,182.036133,1042.031250,-310.189819,288.327698,86.677551,89.384247,558.197449,84.135292,-12.554501,139.640472,677.574890
8,-23.342411,131.716660,598.524841,144.634232,240.541183,607.139526,83.182251,153.093582,658.174072,-35.554569,101.717598,366.100006,161.302444,233.448669,361.275391,138.222031,231.732590,661.056335,94.115723,149.246216,765.143311,96.356491,146.104706,838.475586,-47.285267,88.714714,126.652985,175.195053,220.678955,119.788025,-35.598663,126.710052,897.835327,148.087616,173.646851,97.919151,-0.177607,90.072304,98.891563,147.467911,264.293793,909.114502,73.698341,174.376404,935.357605,189.828186,290.209045,92.885330,-124.961220,116.138870,100.051636,83.400299,177.119736,1020.992615,-19.968660,-136.231567,83.598495,376.092194,132.424301,81.412727,103.077240,275.957245,1033.115234,-27.024603,182.177399,1042.017212,-310.214325,288.369781,86.586815,89.326004,558.207153,84.045357,-12.520901,139.554260,677.609497
9,-23.326288,131.643143,598.546692,144.698547,240.411942,607.199951,83.174500,153.017868,658.221985,-35.616508,101.805313,366.098572,161.179794,233.694702,361.339142,138.192947,231.623093,661.104553,94.096786,149.194626,765.239197,96.338272,146.096863,838.573853,-47.297287,88.766838,126.704597,175.161911,220.687531,119.807602,-35.610264,126.790489,897.942017,148.072647,173.666504,97.954994,-0.178224,90.104874,98.939354,147.383606,264.322113,909.128235,73.573730,174.457153,935.443298,189.788452,290.250580,92.897270,-124.997368,116.162064,100.051117,83.337975,177.264954,1021.044189,-19.992495,-136.187149,83.676933,376.085754,132.469299,81.478584,102.981766,276.066406,1033.144165,-27.136011,182.353485,1041.984131,-310.228943,288.385010,86.486267,89.318855,558.250549,83.964775,-12.473795,139.495438,677.636353
10,-23.292336,131.551743,598.580444,144.755783,240.275421,607.254272,83.197662,152.910095,658.270264,-35.694096,101.897247,366.077698,161.072662,233.944595,361.400452,138.193375,231.498276,661.157837,94.139915,149.125381,765.317810,96.253357,146.081848,838.663269,-47.359547,88.835617,126.710464,175.143616,220.701599,119.833160,-35.636345,126.874283,898.014526,148.036728,173.706116,97.991226,-0.230076,90.148087,98.975815,147.254349,264.379150,909.162109,73.498100,174.515045,935.518188,189.740814,290.297363,92.902473,-125.152588,116.241768,100.048782,83.315453,177.428711,1021.095703,-20.009678,-136.157593,83.774597,376.056793,132.504852,81.569969,102.901711,276.212860,1033.185425,-27.213303,182.518066,1041.935181,-310.198425,288.391785,86.408813,89.317802,558.281433,83.888420,-12.435459,139.424332,677.674011
11,-23.252834,131.480865,598.595032,144.757309,240.201981,607.302307,83.235718,152.814957,658.321533,-35.767441,101.958954,366.067200,160.969193,234.223755,361.434570,138.211929,231.384796,661.220032,94.161163,149.074951,765.387390,96.105721,146.065659,838.719482,-47.408409,88.902328,126.674416,175.118805,220.769913,119.862480,-35.684803,126.954872,898.081665,147.967148,173.764252,98.019669,-0.306792,90.201225,98.998047,147.213028,264.394897,909.196350,73.508278,174.553635,935.596802,189.672195,290.363007,92.896858,-125.237511,116.300186,100.034645,83.329033,177.573105,1021.169312,-20.032164,-136.142548,83.884865,376.023102,132.534241,81.673988,102.821960,276.358124,1033.212280,-27.239952,182.627869,1041.924438,-310.174988,288.419128,86.330002,89.262215,558.290344,83.779716,-12.436699,139.356583,677.715759
12,-23.234781,131.446350,598.593567,144.762527,240.161819,607.380249,83.249390,152.752609,658.359497,-35.831554,102.037643,366.079681,160.866119,234.546158,361.483337,138.163116,231.312180,661.283875,94.074654,149.032166,765.455811,96.028831,146.020370,838.773621,-47.462616,88.946327,126.696732,175.087173,220.859360,119.885513,-35.717552,126.980263,898.161316,147.897797,173.804703,98.051811,-0.292271,90.254700,99.023232,147.309341,264.334076,909.223694,73.517593,174.576584,935.669800,189.610001,290.393219,92.913078,-125.283669,116.331863,100.033691,83.292953,177.697937,1021.253418,-20.059158,-136.115112,83.981453,375.996216,132.558578,81.764297,102.735458,276.486938,1033.216797,-27.267935,182.771240,1041.939087,-310.235626,288.455505,86.221939,89.204140,558.306580,83.663406,-12.422518,139.275299,677.770142
13,-23.218313,131.413712,598.606750,144.791397,240.091812,607.479614,83.264824,152.707932,658.392151,-35.901966,102.114334,366.106506,160.748978,234.887939,361.551208,138.124176,231.242554,661.342834,93.985703,148.964264,765.535828,95.990936,145.976746,838.863770,-47.526852,88.975822,126.761009,175.044724,220.927505,119.905853,-35.716927,126.960289,898.251709,147.879395,173.840652,98.091164,-0.287092,90.303177,99.053650,147.457230,264.268433,909.265747,73.444489,174.606750,935.729797,189.551224,290.392090,92.926865,-125.351891,116.370850,100.060905,83.231926,177.840088,1021.330383,-20.076866,-136.093842,84.067535,375.980988,132.560440,81.862045,102.665192,276.613800,1033.213623,-27.390026,182.996323,1041.952759,-310.317505,288.490967,86.102562,89.192261,558.323364,83.545113,-12.389715,139.198318,677.837036
14,-23.178432,131.383560,598.621643,144.806305,240.027908,607.552795,83.260887,152.666443,658.440186,-35.906258,102.157646,366.138153,160.647034,235.255371,361.608551,138.205933,231.135727,661.424805,94.007843,148.890182,765.634766,95.946503,145.930740,838.953918,-47.550644,89.036781,126.803375,174.995468,220.987473,119.924309,-35.728889,126.971863,898.341553,147.877411,173.880173,98.132751,-0.357901,90.344391,99.071297,147.534225,264.236694,909.305908,73.397911,174.641861,935.787048,189.471802,290.434418,92.913345,-125.388718,116.427948,100.073441,83.191750,177.973999,1021.415588,-20.096146,-136.085678,84.166077,375.965851,132.580292,81.967262,102.596031,276.749268,1033.228394,-27.517094,183.182770,1041.970459,-310.359650,288.528870,85.962151,89.175163,558.344543,83.435928,-12.483865,139.539810,677.777832
15,-23.136965,131.351547,598.621948,144.827454,239.999390,607.613159,83.252838,152.616013,658.478638,-35.848782,102.212784,366.158081,160.563446,235.647171,361.662750,138.287933,231.034592,661.498901,93.996315,148.815186,765.702637,95.932068,145.867767,839.008728,-47.554386,89.111359,126.807304,174.952332,221.030243,119.944107,-35.764328,127.021805,898.415710,147.852539,173.910782,98.180420,-0.364251,90.368942,99.077667,147.547272,264.198853,909.330505,73.378914,174.664169,935.841553,189.425247,290.495148,92.905579,-125.395515,116.498985,100.057816,83.151443,178.088928,1021.505737,-20.129681,-136.063614,84.268761,375.892822,132.635071,82.049347,102.527328,276.885437,1033.247559,-27.523319,183.264206,1041.984009,-310.371094,288.560944,85.836731,89.129265,558.369324,83.346497,-12.780310,140.686890,677.464111
16,-23.103617,131.299835,598.625488,144.863861,239.962967,607.681396,83.273071,152.548538,658.500366,-35.845783,102.304039,366.164551,160.428986,236.047913,361.690491,138.299377,230.967148,661.542297,93.958923,148.749802,765.726379,95.923622,145.829651,839.047546,-47.595467,89.155464,126.817383,174.910034,221.068130,119.979988,-35.780727,127.048645,898.492859,147.811447,173.952271,98.218674,-0.352767,90.380775,99.099640,147.563034,264.136292,909.360657,73.319473,174.667694,935.895569,189.416718,290.520447,92.934036,-125.407959,116.547180,100.042603,83.073616,178.197510,1021.578979,-20.161053,-136.021133,84.363190,375.827881,132.692047,82.122833,102.473106,277.012787,1033.253174,-27.469179,183.342377,1041.991089,-310.353973,288.605286,85.736084,89.086472,558.370728,83.275925,-12.437658,139.484604,677.827820
17,-23.079947,131.230301,598.646973,144.884277,239.921951,607.747742,83.284698,152.476715,658.531372,-35.889061,102.375092,366.174927,160.255600,236.460510,361.678864,138.310822,230.904343,661.602356,93.975151,148.708023,765.757996,95.888634,145.797638,839.098206,-47.656342,89.198708,126.855606,174.909668,221.124512,120.018860,-35.790783,127.050285,898.554382,147.784927,174.011505,98.254982,-0.404523,90.413452,99.131889,147.580887,264.083801,909.390930,73.279144,174.667282,935.950989,189.397385,290.548767,92.963585,-125.435104,116.569984,100.034225,82.939499,178.290421,1021.644409,-20.172367,-135.971649,84.450195,375.821472,132.725494,82.197823,102.412392,277.133270,1033.267578,-27.487951,183.463669,1041.995850,-310.336060,288.643158,85.640198,89.069946,558.360657,83.217636,-12.307659,139.039627,677.967773
18,-23.082979,131.191971,598.640442,144.903076,239.918304,607.813477,83.293861,152.429596,658.580383,-35.926857,102.412033,366.185394,160.100784,236.920166,361.674744,138.346161,230.835510,661.665283,93.934334,148.670029,765.810547,95.848816,145.746704,839.154114,-47.653545,89.250824,126.884132,174.947021,221.165375,120.038696,-35.802902,127.027321,898.595947,147.780884,174.047165,98.316322,-0.439895,90.469734,99.154144,147.588974,264.033661,909.412781,73.271744,174.672226,936.007263,189.385742,290.575653,92.975937,-125.445709,116.584892,100.035789,82.711548,178.385971,1021.714355,-20.165588,-135.934448,84.527306,375.811493,132.735336,82.263824,102.376312,277.251160,1033.274536,-27.620621,183.622742,1042.025146,-310.353668,288.661957,85.568169,89.059196,558.374268,83.137299,-12.302950,138.989090,677.986084
19,-23.057339,131.193359,598.620850,144.907822,239.913300,607.871948,83.323151,152.410751,658.621277,-35.966019,102.451897,366.196259,159.971024,237.405212,361.688324,138.381973,230.784332,661.703979,93.916534,148.605698,765.862305,95.825584,145.699753,839.196838,-47.662067,89.280479,126.889839,174.912857,221.209259,120.054390,-35.822128,126.988274,898.657654,147.751831,174.062668,98.370483,-0.448092,90.512466,99.182739,147.584930,263.976959,909.442017,73.253113,174.663956,936.053711,189.397736,290.586853,92.998398,-125.439644,116.599373,100.038902,82.411865,178.497299,1021.789673,-20.172867,-135.924484,84.598289,375.780792,132.748932,82.321365,102.348221,277.380463,1033.253540,-27.768358,183.801346,1042.095825,-310.385559,288.680145,85.510880,89.022049,558.412781,83.042389,-12.304582,138.957962,678.019592
20,-22.989582,131.203842,598.630066,144.912567,239.900986,607.932190,83.362923,152.400955,658.647461,-36.004471,102.496292,366.206421,159.845642,237.816696,361.710724,138.398636,230.763138,661.745850,93.982925,148.554306,765.898804,95.810867,145.665604,839.221130,-47.735020,89.305824,126.885773,174.845230,221.277512,120.087944,-35.856300,126.978676,898.718262,147.710938,174.097366,98.418236,-0.464129,90.532959,99.211197,147.589722,263.899078,909.477783,73.207970,174.644699,936.082336,189.386856,290.629120,93.034332,-125.458008,116.625175,100.024147,82.254677,178.591049,1021.885742,-20.184740,-135.919647,84.662613,375.753510,132.779083,82.373329,102.312416,277.486023,1033.215942,-27.814152,183.893616,1042.183716,-310.368805,288.690063,85.443512,88.994637,558.437134,82.969284,-12.298049,138.930130,678.053040
21,-22.953821,131.208313,598.626038,144.945633,239.919556,607.998291,83.372780,152.396973,658.663147,-36.018127,102.534073,366.212646,159.706100,238.175507,361.748718,138.409851,230.738235,661.801086,93.975517,148.541183,765.918152,95.792007,145.624435,839.249329,-47.756016,89.346352,126.886475,174.813019,221.347870,120.130241,-35.870728,126.985390,898.750671,147.701797,174.138092,98.476776,-0.474095,90.553688,99.213181,147.598236,263.806061,909.508240,73.157913,174.632904,936.110352,189.338470,290.690308,93.055038,-125.484512,116.639473,100.018234,82.236626,178.664124,1021.999451,-20.178118,-135.887161,84.710327,375.776978,132.792511,82.426132,102.316284,277.559845,1033.183350,-27.825279,183.947800,1042.253174,-310.344727,288.689178,85.380341,89.003685,558.429565,82.929901,-12.281876,138.917374,678.061646
22,-22.939859,131.208344,598.614563,144.965225,239.936935,608.037842,83.357506,152.396835,658.666260,-36.015007,102.569870,366.224121,159.573898,238.526733,361.777130,138.421036,230.706314,661.856628,93.919678,148.512939,765.934326,95.726570,145.583176,839.299377,-47.723553,89.385796,126.890991,174.777634,221.409180,120.165710,-35.893517,126.975456,898.775208,147.693665,174.162537,98.507645,-0.479202,90.573715,99.212257,147.592072,263.742126,909.535400,73.147217,174.597397,936.165100,189.267349,290.724792,93.043465,-125.492035,116.619499,100.029541,82.183289,178.720795,1022.103455,-20.169024,-135.858353,84.749176,375.798950,132.796341,82.476982,102.304977,277.636108,1033.162720,-27.874727,184.041519,1042.297363,-310.382111,288.709534,85.339722,89.006691,558.430969,82.906944,-12.259562,138.919556,678.072876
23,-22.915699,131.209915,598.609009,144.940552,239.955368,608.070068,83.363350,152.384155,658.676453,-36.028606,102.610344,366.248138,159.449417,238.837418,361.800232,138.415421,230.717636,661.895691,93.896385,148.490952,765.953979,95.688316,145.544556,839.343079,-47.684761,89.421959,126.915886,174.784744,221.442139,120.187302,-35.929607,126.956322,898.798096,147.662323,174.178497,98.514519,-0.498039,90.583275,99.227715,147.567917,263.706024,909.557800,73.201218,174.531189,936.223267,189.202744,290.743530,93.042290,-125.484329,116.639359,100.017174,82.110283,178.753799,1022.180481,-20.139606,-135.858780,84.794472,375.761932,132.823181,82.516884,102.246178,277.693695,1033.145020,-27.924984,184.143890,1042.335938,-310.405212,288.762268,85.297264,88.991798,558.446106,82.867973,-12.260728,138.919510,678.081970
24,-22.914915,131.208984,598.601624,144.906128,239.984161,608.109314,83.382576,152.375488,658.693420,-36.035919,102.648308,366.255707,159.327103,239.121033,361.828094,138.330917,230.766129,661.901733,93.887802,148.494293,765.974792,95.686752,145.500778,839.357788,-47.669056,89.434792,126.933838,174.798737,221.471451,120.195976,-35.943027,126.914841,898.810608,147.629456,174.208176,98.537964,-0.556322,90.599548,99.216446,147.468323,263.695221,909.568787,73.168976,174.496017,936.242493,189.191528,290.788452,93.076645,-125.477264,116.717094,100.005524,82.069511,178.790466,1022.233582,-20.084061,-135.860306,84.837196,375.746460,132.844879,82.562225,102.221748,277.732971,1033.130493,-27.941450,184.233002,1042.354614,-310.347931,288.777557,85.259193,88.980637,558.471069,82.821693,-12.272469,138.918396,678.080933
