arthur-std-01
Date:,2012/07/09
Time:,14:30:46
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:RTRO,,,Patient1:LTRO
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-33.349210,269.336785,574.781566,15.091949,354.491640,574.078898,-125.388007,249.970139,591.626881,-18.326848,265.286632,675.568115,55.413694,347.884441,279.732202,-145.994296,196.181670,283.913697,-13.712515,256.980506,747.914776,-145.452120,231.121233,817.046861,35.410171,376.707047,818.084433,-27.041367,278.500879,844.403372,16.186484,275.096040,907.366986,82.699529,342.118014,39.202068,-169.235517,181.983519,45.711247,16.148235,370.486363,942.216526,-79.682191,243.824000,956.133315,52.156061,299.315756,17.332660,-123.303214,184.642564,18.287471,104.848202,411.699751,10.759624,-248.946521,205.980303,17.389241,,,,,,
2,-33.332808,269.339066,574.798085,15.098817,354.461901,574.097666,-125.565137,250.022932,591.720683,-18.403656,265.302371,675.589316,55.448247,347.873792,279.746238,-146.018770,196.174405,283.911413,-13.550570,256.972810,747.950004,-145.412438,231.152788,817.157315,35.354022,376.785980,818.084633,-26.918733,278.570242,844.437972,16.126305,275.150989,907.366899,82.704262,342.119036,39.195399,-169.250958,181.969842,45.662961,16.085977,370.524308,942.209045,-79.867608,244.040550,956.111635,52.228171,299.297150,17.321998,-123.303644,184.634706,18.272090,104.848272,411.682560,10.838523,-248.942126,205.974526,17.364770,,,,,,
3,-33.336731,269.324681,574.812271,15.081737,354.438039,574.098324,-125.694808,250.039477,591.792742,-18.420928,265.310787,675.598428,55.437854,347.877960,279.748546,-146.021948,196.173767,283.906506,-13.552493,257.011261,747.988440,-145.524783,231.227082,817.135628,35.343008,376.823549,818.080225,-26.929541,278.635057,844.449858,16.048449,275.218364,907.371320,82.740334,342.111032,39.198850,-169.231146,181.992181,45.655301,16.013786,370.577872,942.199453,-80.043527,244.185451,956.116418,52.253042,299.303907,17.321932,-123.230253,184.621352,18.297075,104.855669,411.672113,10.853617,-248.857506,205.920004,17.341271,,,,,,
4,-33.353065,269.290000,574.833987,15.070060,354.428465,574.088557,-125.756156,250.042020,591.802216,-18.461441,265.332776,675.609177,55.441199,347.858911,279.747236,-146.016967,196.175551,283.902359,-13.575836,257.042828,748.020621,-145.623073,231.292862,817.102137,35.348739,376.847601,818.082738,-26.989081,278.702243,844.447680,16.034632,275.265825,907.380619,82.738216,342.109640,39.204084,-169.229783,181.999306,45.668072,15.952013,370.667367,942.175853,-80.142961,244.243530,956.121890,52.230899,299.313383,17.342535,-123.253937,184.621630,18.311486,104.837020,411.669987,10.837709,-248.765984,205.855760,17.340848,,,,,,
5,-33.396433,269.279859,574.860085,15.070769,354.428804,574.083740,-125.805742,250.063626,591.828622,-18.518563,265.360904,675.625543,55.459318,347.825922,279.751349,-146.022793,196.166946,283.907764,-13.583935,257.074768,748.035064,-145.661993,231.358397,817.119117,35.189371,376.932886,818.072790,-27.065422,278.776997,844.444287,16.033516,275.315361,907.391589,82.711717,342.121515,39.197356,-169.279755,181.975319,45.656542,15.911111,370.778131,942.151776,-80.199172,244.292047,956.123529,52.205365,299.307961,17.352726,-123.297239,184.620735,18.310948,104.823221,411.672974,10.849838,-248.842766,205.880817,17.355402,,,,,,
6,-33.435132,269.294712,574.862074,15.071517,354.430003,574.083501,-125.795216,250.064710,591.825274,-18.580135,265.360684,675.647420,55.453622,347.809307,279.744660,-146.031765,196.151560,283.918252,-13.609771,257.135450,748.044085,-145.722447,231.429249,817.135155,34.986457,377.047252,818.048672,-27.187695,278.857960,844.450948,15.921494,275.427199,907.393306,82.699704,342.115724,39.187962,-169.277872,181.927760,45.650401,15.850439,370.869510,942.151024,-80.248853,244.378854,956.145280,52.201563,299.303109,17.329524,-123.304226,184.621106,18.309384,104.837869,411.669472,10.855609,-248.944741,205.937439,17.341233,22.009997,364.573421,496.884170,,,
7,-33.444877,269.284768,574.856303,15.070769,354.428804,574.083740,-125.772368,250.050287,591.800634,-18.673223,265.362912,675.669162,55.418623,347.823958,279.727094,-146.034911,196.144779,283.923335,-13.644049,257.200125,748.060747,-145.799043,231.473326,817.133080,34.893538,377.127612,818.041837,-27.284179,278.933860,844.470183,15.856854,275.549342,907.408802,82.710871,342.104740,39.196470,-169.231663,181.909549,45.644934,15.768913,370.939612,942.150750,-80.291889,244.487381,956.182794,52.210689,299.293529,17.310577,-123.318451,184.630424,18.300401,104.850313,411.666262,10.853946,-248.954348,205.961295,17.315812,21.993778,364.567888,496.887395,,,
8,-33.468891,269.275813,574.863125,15.042057,354.439070,574.083561,-125.785429,250.050643,591.815944,-18.778830,265.403173,675.682456,55.398181,347.837820,279.729625,-146.043121,196.130453,283.920350,-13.680595,257.230476,748.085798,-145.867801,231.520671,817.139774,34.841316,377.199193,818.038086,-27.288614,278.994640,844.500545,15.948819,275.614415,907.441559,82.727630,342.120096,39.208902,-169.206396,181.928312,45.647440,15.661356,371.033885,942.135070,-80.342857,244.566140,956.205927,52.209204,299.292438,17.321353,-123.311270,184.638921,18.287808,104.862930,411.662461,10.879047,-248.946683,205.947408,17.307160,21.944382,364.556731,496.885443,-130.305137,236.780616,519.498744
9,-33.483192,269.290264,574.870761,14.992207,354.452985,574.080031,-125.756675,250.039293,591.793449,-18.845106,265.446114,675.687844,55.414091,347.835297,279.742036,-146.051711,196.103901,283.907713,-13.715135,257.250903,748.100414,-145.929635,231.577109,817.160150,34.795846,377.265476,818.032538,-27.235471,279.034527,844.545399,16.026748,275.662285,907.461826,82.705476,342.121015,39.217129,-169.232016,181.900112,45.651136,15.559125,371.158927,942.117045,-80.376849,244.634594,956.216975,52.212683,299.309963,17.345572,-123.244448,184.625991,18.296919,104.874257,411.653478,10.873083,-248.965398,205.937618,17.320092,21.877773,364.551928,496.868772,-134.686794,239.130184,514.368817
10,-33.478110,269.301248,574.895332,14.967767,354.455345,574.081163,-125.789406,250.039685,591.796172,-18.880149,265.480464,675.699266,55.411308,347.846719,279.726580,-146.058124,196.102195,283.899626,-13.775127,257.298041,748.106719,-145.989278,231.622937,817.170647,34.809499,377.304116,818.028601,-27.233316,279.068582,844.571225,16.020007,275.731428,907.477959,82.681738,342.109956,39.218853,-169.286784,181.869381,45.630620,15.503292,371.280125,942.102528,-80.387464,244.731633,956.230632,52.241438,299.309560,17.356161,-123.133475,184.605717,18.328494,104.853185,411.667219,10.821211,-248.978622,205.941366,17.321637,21.834714,364.540902,496.871728,-134.527764,238.908258,514.422153
11,-33.489991,269.302439,574.930570,14.959099,354.463412,574.083527,-125.915193,250.060624,591.862051,-18.919419,265.512799,675.729016,55.398978,347.842814,279.707381,-146.075109,196.121880,283.905171,-13.865359,257.348546,748.125777,-146.046917,231.677180,817.177682,34.808017,377.356960,818.025785,-27.286198,279.117148,844.575288,15.992029,275.821847,907.505355,82.700799,342.112933,39.212788,-169.295726,181.904112,45.590605,15.442673,371.371506,942.101782,-80.422213,244.817479,956.235018,52.254457,299.303394,17.346960,-123.079102,184.615272,18.336730,104.833191,411.685118,10.806621,-248.953147,205.917054,17.283454,21.841444,364.506103,496.901311,-134.151363,238.408197,514.573129
12,-33.524549,269.298429,574.935785,14.938252,354.479902,574.090760,-125.984286,250.086047,591.892007,-18.968262,265.538844,675.748826,55.391446,347.808829,279.720153,-146.079800,196.119452,283.903667,-14.013057,257.394728,748.138568,-146.102886,231.725957,817.206226,34.679258,377.439347,818.013149,-27.337050,279.178321,844.580867,15.939571,275.918764,907.537389,82.711175,342.091799,39.227255,-169.238482,181.935069,45.564360,15.361125,371.441643,942.101506,-80.471353,244.878376,956.254030,52.231737,299.303395,17.341127,-123.132477,184.625120,18.323046,104.826743,411.686762,10.853219,-248.926587,205.902808,17.256917,21.849987,364.497587,496.907794,-134.116942,238.354971,514.596745
13,-33.572352,269.293271,574.936883,14.958496,354.498658,574.131507,-126.006282,250.127150,591.883941,-19.025730,265.563759,675.745519,55.361785,347.781197,279.740875,-146.070359,196.108495,283.903088,-14.215165,257.436047,748.138430,-146.144639,231.751454,817.239489,34.642854,377.469970,817.982545,-27.341397,279.224787,844.582243,15.892403,276.005135,907.561277,82.704499,342.056300,39.246158,-169.185387,181.919143,45.606751,15.287896,371.547235,942.081976,-80.513360,244.960765,956.294420,52.214651,299.305700,17.345144,-123.268852,184.625808,18.305094,104.811909,411.676783,10.866275,-248.930382,205.931241,17.248572,21.798485,364.515249,496.896661,-134.552837,238.879060,514.460704
14,-33.616270,269.300728,574.965991,14.965487,354.519672,574.158148,-126.059219,250.156408,591.875345,-19.090187,265.582971,675.738007,55.341021,347.772694,279.747295,-146.066112,196.121156,283.914499,-14.347257,257.474979,748.141545,-146.185856,231.782670,817.258637,34.749315,377.432820,817.963034,-27.340217,279.258401,844.593622,15.873695,276.081185,907.574257,82.715058,342.060071,39.243526,-169.222475,181.895268,45.630019,15.210088,371.699169,942.057994,-80.566518,245.067000,956.331170,52.213370,299.306196,17.345365,-123.300727,184.629412,18.304257,104.826125,411.644851,10.864485,-248.943028,205.956301,17.247189,21.729005,364.497418,496.892347,-134.809092,239.161647,514.384747
15,-33.673636,269.330393,574.994046,14.915069,354.525349,574.151013,-126.094493,250.152445,591.839331,-19.095232,265.594243,675.735455,55.352605,347.773937,279.744460,-146.068220,196.132542,283.916096,-14.388606,257.517570,748.148190,-146.242034,231.827939,817.261946,34.793667,377.414639,817.950076,-27.418092,279.308489,844.615864,15.831941,276.162739,907.592083,82.721668,342.088100,39.242855,-169.260468,181.885282,45.613270,15.115081,371.829879,942.033547,-80.653409,245.168096,956.373835,52.213992,299.311172,17.349921,-123.232372,184.623623,18.322404,104.874779,411.632817,10.892490,-248.933930,205.943690,17.258036,21.687755,364.478626,496.887151,-134.808515,239.125847,514.380700
16,-33.719251,269.363507,575.003808,14.989892,354.490426,574.162625,-126.113476,250.169949,591.816343,-19.046140,265.614212,675.742760,55.353536,347.778093,279.739383,-146.074574,196.131267,283.906281,-14.419805,257.562298,748.151939,-146.283750,231.858047,817.256952,34.705069,377.472508,817.929393,-27.458576,279.353889,844.613351,15.787588,276.248059,907.615994,82.716916,342.084972,39.254619,-169.194440,181.895473,45.647638,15.023085,371.914701,942.019735,-80.809268,245.293234,956.420779,52.215455,299.323706,17.359661,-123.267616,184.632938,18.319287,104.878203,411.657257,10.879134,-248.939496,205.928121,17.255597,21.664849,364.496981,496.891324,-134.831970,239.130739,514.391352
17,-33.736531,269.374697,575.008886,15.120746,354.456214,574.171759,-126.198908,250.225405,591.858738,-19.057731,265.637902,675.746397,55.331299,347.779761,279.739975,-146.080659,196.145089,283.903039,-14.465189,257.611981,748.140266,-146.309620,231.873629,817.260332,34.515814,377.558168,817.911801,-27.419133,279.370412,844.601382,15.761541,276.329319,907.640482,82.725825,342.072611,39.255070,-169.156246,181.888472,45.674766,14.954654,371.999507,942.013980,-80.983874,245.447024,956.468624,52.223706,299.319107,17.358196,-123.257788,184.642343,18.323074,104.819527,411.670707,10.843159,-248.955258,205.926607,17.248424,21.624157,364.508689,496.909032,-134.876892,239.164899,514.418030
18,-33.776207,269.377770,575.027919,15.095915,354.476060,574.166598,-126.265581,250.236272,591.868818,-19.113844,265.626856,675.744291,55.318784,347.774362,279.747887,-146.090429,196.166067,283.903108,-14.489337,257.624511,748.119147,-146.335506,231.889221,817.263712,34.391669,377.593892,817.903430,-27.418405,279.388792,844.610766,15.667897,276.439058,907.681678,82.729727,342.086994,39.236593,-169.252523,181.827290,45.658136,14.910293,372.104666,941.995387,-81.089588,245.585345,956.517540,52.231915,299.303520,17.355523,-123.150756,184.619391,18.342560,104.806856,411.657400,10.847218,-248.955258,205.926607,17.248424,21.564538,364.483482,496.927406,-134.926653,239.191480,514.432531
19,-33.828402,269.401604,575.044945,14.973167,354.516012,574.169033,-126.284859,250.242212,591.850529,-19.177385,265.621345,675.747413,55.328492,347.769423,279.750617,-146.109964,196.163787,283.897511,-14.513617,257.621820,748.106788,-146.365626,231.920815,817.259438,34.363214,377.597234,817.900927,-27.453988,279.418974,844.610513,15.499638,276.561908,907.737430,82.707646,342.084587,39.228576,-169.325287,181.814360,45.645903,14.871579,372.215953,941.976553,-81.149371,245.678853,956.567015,52.213187,299.306862,17.357856,-123.185582,184.611400,18.326808,104.846461,411.644552,10.866734,-248.954158,205.925161,17.242305,21.519810,364.485930,496.929660,-134.959776,239.208512,514.427168
20,-33.875797,269.414771,575.049424,14.937655,354.519500,574.180158,-126.356840,250.304746,591.880902,-19.243760,265.656562,675.741163,55.327211,347.771310,279.754899,-146.133710,196.157930,283.887145,-14.560578,257.643649,748.112841,-146.401410,231.969885,817.261620,34.325992,377.609780,817.884221,-27.498105,279.455144,844.590360,15.378592,276.646312,907.783042,82.695671,342.077295,39.236371,-169.266397,181.894910,45.631556,14.831249,372.327695,941.963901,-81.245351,245.793406,956.598315,52.193114,299.327003,17.362697,-123.311719,184.632254,18.297355,104.855244,411.654572,10.862232,-248.959456,205.900866,17.243430,21.499386,364.506957,496.938091,-134.982763,239.219900,514.406525
21,-33.864233,269.395880,575.067326,14.938592,354.496170,574.169834,-126.435629,250.349168,591.913452,-19.253876,265.681417,675.729082,55.282305,347.769960,279.760477,-146.156320,196.165964,283.882261,-14.568399,257.645399,748.116194,-146.445112,232.002015,817.274224,34.291078,377.640352,817.844231,-27.537126,279.503959,844.584055,15.355275,276.713599,907.819605,82.699126,342.083023,39.236347,-169.148468,181.942231,45.614584,14.744548,372.443290,941.947740,-81.290646,245.903320,956.617941,52.202028,299.318802,17.360454,-123.333109,184.640317,18.297199,104.880493,411.640161,10.866829,-248.974706,205.874647,17.257641,21.520172,364.490044,496.967809,-135.045606,239.219764,514.392217
22,-33.783669,269.398028,575.095309,14.835263,354.500601,574.136893,-126.488539,250.361706,591.911366,-19.247176,265.695895,675.727804,55.239166,347.759716,279.753952,-146.176810,196.171276,283.886924,-14.577420,257.655800,748.095566,-146.482050,232.007602,817.280618,34.282861,377.683681,817.805170,-27.549029,279.531300,844.595538,15.378005,276.784396,907.858807,82.684942,342.076872,39.239353,-169.068289,181.919711,45.626756,14.642333,372.568377,941.929713,-81.261916,245.935874,956.649006,52.192723,299.295599,17.359230,-123.334127,184.642541,18.301303,104.913000,411.616102,10.896853,-248.983560,205.871276,17.264610,21.525053,364.473930,496.975021,-135.096201,239.196095,514.395245
23,-33.823443,269.431568,575.095497,14.749520,354.539811,574.117149,-126.536590,250.392825,591.891193,-19.322832,265.736028,675.725284,55.210717,347.760895,279.752590,-146.193218,196.174953,283.884844,-14.611914,257.699289,748.072845,-146.493669,232.006104,817.279899,34.254213,377.716076,817.778298,-27.570129,279.541161,844.611260,15.354602,276.857873,907.888299,82.654818,342.088725,39.243965,-169.091862,181.917054,45.643497,14.617384,372.695247,941.916837,-81.332859,246.019192,956.657603,52.155061,299.305717,17.369647,-123.305995,184.640335,18.310384,104.881665,411.643011,10.888204,-248.997288,205.886269,17.251588,21.481757,364.452410,496.970375,-135.188779,239.256275,514.382282
24,-33.932057,269.466947,575.085398,14.717317,354.565261,574.104186,-126.585659,250.431571,591.875724,-19.372825,265.782079,675.715069,55.170517,347.793496,279.757572,-146.208363,196.182942,283.878241,-14.617002,257.721020,748.069283,-146.520370,232.028357,817.281925,34.280574,377.706477,817.758601,-27.612408,279.584908,844.621872,15.266353,276.957277,907.919498,82.648204,342.108141,39.238584,-169.102183,181.939759,45.652376,14.617890,372.797024,941.907940,-81.424101,246.148375,956.656556,52.129681,299.322168,17.373134,-123.171758,184.639920,18.336656,104.855666,411.651845,10.862782,-249.024745,205.916252,17.225546,21.398133,364.465808,496.953793,-135.398659,239.392516,514.363502
25,-33.920858,269.489742,575.104192,14.678470,354.579332,574.101532,-126.638241,250.451954,591.868731,-19.340298,265.787567,675.700365,55.137946,347.821611,279.756197,-146.208950,196.188979,283.881843,-14.585340,257.716188,748.082315,-146.562630,232.074826,817.291996,34.319524,377.692906,817.732192,-27.649077,279.636479,844.611065,15.154068,277.078209,907.956114,82.676244,342.114868,39.230308,-169.069805,181.942757,45.665413,14.572325,372.878009,941.897638,-81.459300,246.252574,956.687884,52.116093,299.312084,17.372641,-123.156632,184.651918,18.347271,104.887002,411.624936,10.871432,-248.948885,205.874623,17.221096,21.306007,364.524846,496.924403,-135.561348,239.476064,514.349191
26,-33.902121,269.490042,575.116426,14.640569,354.606446,574.092887,-126.705183,250.488650,591.868081,-19.352311,265.775427,675.680999,55.114730,347.824538,279.754871,-146.200800,196.191399,283.882603,-14.580516,257.737024,748.083723,-146.567045,232.101006,817.306063,34.198139,377.720113,817.708737,-27.753580,279.666281,844.579397,15.057968,277.177696,907.981383,82.687940,342.124788,39.239236,-169.119828,181.934952,45.648257,14.516273,372.973675,941.873792,-81.511700,246.373701,956.726050,52.107293,299.312308,17.375704,-123.210070,184.647995,18.352301,104.910834,411.609810,10.880879,-248.867049,205.813185,17.230518,21.255964,364.544877,496.918298,-135.602114,239.505908,514.339900
27,-33.944574,269.491332,575.112121,14.642048,354.600334,574.083021,-126.786576,250.532052,591.855187,-19.402548,265.795471,675.660098,55.101518,347.848015,279.755379,-146.215598,196.207629,283.869561,-14.627118,257.783668,748.064248,-146.557751,232.102803,817.300727,34.093747,377.741205,817.699314,-27.901986,279.703185,844.541809,15.061677,277.233013,908.010104,82.663914,342.135226,39.268651,-169.155828,181.936013,45.627718,14.469700,373.078395,941.849942,-81.564761,246.487072,956.745965,52.112254,299.332804,17.368663,-123.187170,184.655816,18.351043,104.867613,411.617460,10.871769,-248.961949,205.846115,17.228381,21.212345,364.547433,496.904933,-135.626539,239.526723,514.355830
28,-33.990781,269.522399,575.095023,14.634674,354.591308,574.085839,-126.835321,250.543875,591.829598,-19.486971,265.837434,675.636359,55.085368,347.882739,279.741311,-146.240415,196.227635,283.867464,-14.666666,257.816194,748.047199,-146.586242,232.109005,817.281631,34.151087,377.745124,817.683371,-27.963142,279.758354,844.502175,15.081326,277.295363,908.049441,82.640229,342.131618,39.287556,-169.138794,181.940334,45.648717,14.439899,373.174390,941.840381,-81.600076,246.575231,956.765629,52.130250,299.330697,17.364622,-123.240402,184.682351,18.327653,104.818786,411.645091,10.868576,-249.046138,205.889701,17.209571,21.149358,364.551087,496.882606,-135.668478,239.558441,514.366061
