arthur-std-02
Date:,2012/07/09
Time:,14:33:53
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-39.950488,273.156399,575.859883,-141.573421,244.933813,514.177265,19.972576,368.933154,519.445216,12.424186,357.943505,571.508979,-130.533314,254.818990,589.805796,-21.138248,266.692336,670.614283,54.106827,346.959428,279.312230,-148.403436,199.112866,284.263347,-14.694066,255.488266,741.401909,-141.609191,224.009753,809.523756,39.458236,368.429601,816.065583,-24.583152,270.589525,839.556633,12.424677,258.039291,911.260545,84.575741,344.572079,39.336922,-169.179963,181.932922,45.927010,23.203175,353.091588,945.107675,-88.242496,238.160892,956.917541,54.337464,301.842098,16.958051,-124.184313,184.885190,18.288638,106.824172,413.383546,11.528820,-247.301776,204.078709,18.935844
2,-39.940050,273.149999,575.852326,-141.570131,244.931805,514.156946,19.968466,368.951692,519.393623,12.439989,357.940801,571.501197,-130.522868,254.801632,589.771306,-21.102100,266.668345,670.612886,54.108159,346.886126,279.275214,-148.342450,199.100047,284.246487,-14.731179,255.454106,741.359980,-141.565766,223.991799,809.524662,39.451706,368.412363,816.051003,-24.597262,270.527032,839.567593,12.422184,258.039545,911.273344,84.557743,344.534847,39.372704,-169.245987,181.917669,45.889598,23.249093,353.055116,945.103623,-88.240156,238.159378,956.918291,54.368766,301.908488,16.965209,-124.178269,184.889269,18.273128,106.820375,413.378959,11.512480,-247.137509,203.964574,19.061835
3,-39.905944,273.148063,575.855402,-141.548348,244.910934,514.120011,19.979643,368.915585,519.358027,12.483285,357.930738,571.514713,-130.484729,254.759599,589.753107,-21.064238,266.651715,670.602492,54.153204,346.849201,279.260248,-148.302287,199.090869,284.235684,-14.735697,255.423388,741.333213,-141.555748,223.960784,809.527783,39.445741,368.365775,816.055036,-24.598696,270.484019,839.556165,12.415742,258.012199,911.279936,84.547915,344.533076,39.384122,-169.310440,181.844660,45.910531,23.251769,353.013918,945.078333,-88.224361,238.158142,956.927812,54.365883,301.921579,16.971453,-124.192220,184.885947,18.270291,106.815221,413.374148,11.506580,-247.137750,203.967271,19.076659
4,-39.880849,273.149792,575.849805,-141.514655,244.875215,514.107099,19.980149,368.889611,519.340492,12.510087,357.921572,571.525436,-130.428763,254.729300,589.743237,-21.058488,266.625211,670.606247,54.165296,346.842150,279.239813,-148.275271,199.073001,284.226678,-14.714657,255.396632,741.312878,-141.550208,223.904747,809.533721,39.479519,368.310393,816.074387,-24.592094,270.442819,839.543425,12.416522,257.940137,911.286481,84.559935,344.557654,39.367933,-169.326778,181.770256,45.940650,23.300782,352.971608,945.068304,-88.212237,238.159970,956.956400,54.358855,301.897346,16.958194,-124.201906,184.879318,18.269711,106.828717,413.371448,11.516573,-247.247744,204.048756,19.022314
5,-39.878510,273.147515,575.834954,-141.489027,244.861585,514.118963,19.997549,368.887052,519.334590,12.510087,357.921572,571.525436,-130.376329,254.700647,589.726286,-21.034868,266.581873,670.612855,54.159765,346.824536,279.231697,-148.235364,199.053712,284.223339,-14.688880,255.371356,741.305584,-141.593078,223.794882,809.493783,39.529729,368.260382,816.084368,-24.571953,270.398995,839.544007,12.427821,257.865067,911.317760,84.571128,344.572258,39.358462,-169.366368,181.800230,45.926566,23.350690,352.945371,945.080699,-88.226013,238.161280,956.988014,54.383312,301.890299,16.938759,-124.201498,184.883553,18.259099,106.849899,413.376623,11.543372,-247.302741,204.089498,18.995141
6,-39.853276,273.148440,575.824958,-141.463381,244.847934,514.130832,20.042097,368.908471,519.346315,12.520052,357.912399,571.528077,-130.334966,254.653060,589.709531,-20.982756,266.555469,670.594638,54.185576,346.782425,279.238615,-148.198517,199.041975,284.220557,-14.676016,255.325674,741.316017,-141.702952,223.635886,809.402308,39.547355,368.204954,816.096207,-24.540313,270.363738,839.548921,12.435283,257.815782,911.362600,84.560854,344.572514,39.360627,-169.400347,181.857335,45.906417,23.345231,352.912893,945.073086,-88.223291,238.144304,957.001113,54.381222,301.909333,16.937887,-124.189411,184.891016,18.251169,106.836311,413.380633,11.549276,-248.696912,205.394072,18.024588
7,-39.819018,273.145694,575.823635,-141.423927,244.834498,514.126785,20.085518,368.937995,519.360650,12.556485,357.893145,571.536156,-130.320485,254.636180,589.695894,-20.964991,266.542400,670.572798,54.209093,346.741463,279.244905,-148.189122,199.036293,284.227089,-14.656060,255.262537,741.324369,-141.733318,223.533574,809.351938,39.564624,368.143296,816.123804,-24.499557,270.342719,839.553103,12.449315,257.779212,911.378716,84.554544,344.559161,39.352890,-169.367995,181.871006,45.908771,23.338037,352.873330,945.055630,-88.208123,238.127568,957.002415,54.356117,301.921112,16.937795,-124.167143,184.893184,18.246739,106.836179,413.383227,11.547517,-249.187425,205.851554,17.673001
8,-39.796839,273.130056,575.810407,-141.381114,244.862443,514.123277,20.109967,368.927674,519.367047,12.609079,357.872080,571.541744,-130.323984,254.660686,589.682201,-20.954671,266.520592,670.560597,54.248509,346.730561,279.250421,-148.177223,199.036681,284.248329,-14.621962,255.208309,741.324130,-141.683580,223.461667,809.351744,39.598388,368.086932,816.137438,-24.467126,270.288054,839.560320,12.454452,257.735228,911.391103,84.568670,344.534725,39.361125,-169.351489,181.872666,45.917717,23.345629,352.850341,945.058352,-88.206286,238.126256,957.010600,54.382535,301.914035,16.958719,-124.157802,184.893908,18.247616,106.834480,413.389504,11.570346,-249.213218,205.864800,17.666645
9,-39.759608,273.116888,575.799414,-141.333618,244.871307,514.119071,20.148811,368.909940,519.391082,12.635203,357.861096,571.541894,-130.301760,254.669652,589.669245,-20.916852,266.504825,670.549627,54.297453,346.741467,279.254824,-148.147003,199.035149,284.263167,-14.592023,255.166784,741.321822,-141.664757,223.375071,809.347931,39.609008,368.053754,816.136376,-24.475422,270.201127,839.568325,12.451172,257.690673,911.426490,84.576771,344.535273,39.371896,-169.354072,181.825547,45.951787,23.339350,352.827084,945.060126,-88.190109,238.109556,957.032449,54.410586,301.904553,16.972003,-124.163665,184.900852,18.248766,106.829097,413.388599,11.578583,-249.179369,205.858271,17.688370
10,-39.719580,273.116423,575.804766,-141.274923,244.839066,514.094610,20.195462,368.909763,519.422628,12.652055,357.861101,571.549978,-130.235588,254.648624,589.663126,-20.890088,266.494902,670.545026,54.341201,346.739368,279.270653,-148.093522,199.031208,284.271521,-14.566829,255.130651,741.315265,-141.666958,223.328127,809.333826,39.619589,368.021119,816.140467,-24.483520,270.140073,839.574145,12.469868,257.662066,911.466095,84.577691,344.550133,39.364590,-169.317600,181.802896,45.973891,23.342951,352.801958,945.057264,-88.175770,238.094168,957.046113,54.397387,301.915120,16.948988,-124.174164,184.913109,18.248945,106.851418,413.394613,11.568168,-249.144228,205.850061,17.702503
