bleuenn-ank-02
Date:,2012/11/24
Time:,11:50:20
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:BALARD,,,Patient1:BALAVD,,,Patient1:LBHD,,,Patient1:BALARG,,,Patient1:BALAVG,,,Patient1:RBHD,,,Patient1:RTOE,,,Patient1:BHD,,,Patient1:C7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,121.867786,306.189281,646.918618,-98.092245,298.914400,659.039410,-114.868678,271.998564,391.265661,129.490947,284.280036,386.175354,23.577951,240.409007,698.957591,69.427945,259.795619,731.062060,-58.777171,287.320116,754.818293,24.792601,311.749031,864.339208,26.824823,341.003147,910.754576,145.710198,304.236562,124.192599,-144.641708,284.957424,120.127016,103.564764,269.320926,104.720912,-103.526246,267.465613,97.913358,-181.702710,368.819764,88.407797,-69.516212,459.975023,978.366033,147.314920,453.986210,963.965402,247.357157,191.268062,97.713345,-238.199376,183.481773,96.362389,-53.082809,521.459853,1017.180126,240.004626,516.875481,64.989319,-244.553365,508.229008,64.249826,,,,,,,,,,,,
2,121.648405,307.972627,646.832477,-98.153002,300.797743,658.983955,-114.868419,272.461526,391.286064,129.288492,284.771560,386.202546,23.514967,242.162008,698.988147,69.336624,261.411280,731.014541,-58.785242,289.178767,754.746195,24.553922,312.444610,864.123904,26.748082,341.205781,910.801027,145.636234,304.229735,124.234214,-144.652244,284.948225,120.132211,103.474302,269.307054,104.705169,-103.511018,267.420678,97.928903,-181.825060,368.750000,88.401445,-68.513589,459.298939,981.120662,147.692451,452.805077,965.405269,247.374214,191.250339,97.697038,-238.196839,183.506187,96.323777,-52.397266,520.122288,1020.193308,240.021057,516.833323,65.052283,-244.497687,508.176023,64.307579,107.192401,533.319861,1025.397980,,,,,,,,,
3,121.532307,309.695601,646.763488,-98.249503,302.586442,658.923873,-114.927554,272.962488,391.359813,129.148960,285.171694,386.256191,23.374358,243.786578,699.092350,69.187891,263.137152,730.949351,-58.864510,291.045656,754.660478,24.296517,313.246686,863.936657,26.635112,341.401687,910.866842,145.589763,304.345398,124.288873,-144.688100,285.048691,120.183701,103.293143,269.473989,104.761187,-103.507507,267.404146,98.039848,-181.864319,368.861903,88.378093,-67.413470,458.713756,983.806187,147.963455,451.709956,966.833241,247.374795,191.313388,97.879336,-238.203706,183.602762,96.482543,-52.013552,517.970121,1023.203119,239.996730,516.902145,64.928843,-244.493401,508.245022,64.176884,107.413104,531.459930,1028.319279,,,,,,,,,
4,121.561842,311.095881,646.774247,-98.408564,304.310438,658.929871,-115.005231,273.555890,391.489563,129.051691,285.544066,386.366409,23.182833,245.353858,699.216910,69.005498,264.865100,730.925263,-59.030468,292.897228,754.600586,24.010545,314.085560,863.801845,26.466870,341.624750,910.965630,145.579771,304.637553,124.371378,-144.754310,285.286039,120.292855,103.165050,269.778744,104.931736,-103.564624,267.550196,98.233418,-181.891267,369.121019,88.344725,-66.317860,458.301332,986.348431,148.138862,450.639480,968.299379,247.348691,191.511958,98.273094,-238.213393,183.824135,96.875463,-51.676512,515.602694,1026.120262,239.971994,517.073527,64.582831,-244.510455,508.440990,63.813775,107.845858,529.527650,1031.095967,,,,,,,,,
5,121.575026,312.291692,646.880905,-98.595877,306.006186,659.026840,-115.078143,274.284003,391.652908,128.982394,286.020588,386.545824,22.980457,246.911099,699.339781,68.843066,266.412732,731.015003,-59.172897,294.657716,754.597630,23.673302,314.885514,863.709494,26.228419,341.897415,911.115599,145.587846,305.108661,124.483304,-144.844904,285.698589,120.428167,103.198204,270.172991,105.246289,-103.683589,267.926889,98.486119,-181.942472,369.417446,88.309770,-65.324342,458.144716,988.741761,148.248249,449.540460,969.841626,247.276695,191.931056,98.842978,-238.215373,184.225629,97.459491,-51.100102,514.023172,1028.759396,240.040754,517.272337,63.993347,-244.494852,508.708021,63.296046,108.365910,527.695720,1033.699133,,,,,,,,,
6,121.443609,313.520084,647.051391,-98.745488,307.578589,659.171016,-115.209403,275.169079,391.842884,128.920902,286.704591,386.788851,22.734299,248.357170,699.524204,68.647453,267.805806,731.209036,-59.307694,296.327428,754.669506,23.277180,315.690942,863.678250,25.891380,342.198615,911.325625,145.623927,305.758696,124.656337,-144.907024,286.287092,120.576085,103.380830,270.676955,105.718042,-103.828865,268.435734,98.862276,-181.973802,369.806947,88.234634,-64.386369,458.184228,990.991952,148.217864,448.493449,971.434944,247.251553,192.478984,99.572841,-238.219051,184.790851,98.219954,-50.487825,512.595439,1031.173794,240.164619,517.525221,63.200691,-244.438501,509.092242,62.634215,108.954453,525.922377,1036.053221,184.957577,371.627600,89.649293,,,,,,
7,121.221067,314.779945,647.274427,-98.870908,309.097878,659.351872,-115.414224,276.225934,392.054077,128.868747,287.565997,387.102694,22.415893,249.643334,699.798642,68.352638,269.103131,731.465315,-59.516035,297.893691,754.795887,22.836234,316.476948,863.711938,25.473600,342.460819,911.579264,145.690080,306.590614,124.891512,-144.964984,287.012395,120.752251,103.524017,271.311807,106.297972,-104.002339,268.975855,99.371662,-181.947067,370.400695,88.093315,-63.453477,458.359485,993.150227,148.048134,447.515033,973.100442,247.301911,193.035043,100.511551,-238.225969,185.442914,99.145764,-49.916639,511.030339,1033.456658,240.213335,517.919706,62.297245,-244.324078,509.664840,61.836133,109.553286,524.285574,1038.137807,185.164401,371.825568,89.686232,,,,,,
8,120.972905,315.964057,647.560672,-99.013047,310.683525,659.558082,-115.704167,277.509418,392.299072,128.806200,288.570742,387.428848,22.020168,250.858214,700.113050,67.980013,270.289521,731.737225,-59.762590,299.354569,754.932272,22.334308,317.138341,863.791922,25.012223,342.623038,911.870130,145.748927,307.542664,125.142648,-145.088651,287.901353,120.963264,103.573609,272.072682,106.950155,-104.230643,269.574173,99.948493,-181.871548,371.166180,87.931266,-62.545034,458.699658,995.301583,147.773069,446.563347,974.887361,247.325895,193.677146,101.678151,-238.219317,186.152810,100.210328,-49.329002,509.640249,1035.577628,240.103374,518.454820,61.294200,-244.181002,510.322958,60.959649,110.054065,522.926153,1040.028156,185.395676,372.023509,89.743297,,,,,,
9,120.745080,316.968077,647.893007,-99.175268,312.235016,659.767393,-116.047864,278.903246,392.591020,128.712777,289.665170,387.695208,21.595205,252.045259,700.437389,67.568632,271.364680,731.997232,-60.013731,300.781989,755.093800,21.795371,317.693765,863.935852,24.541243,342.725709,912.201697,145.807195,308.458970,125.435693,-145.240326,288.923041,121.201727,103.628620,272.953619,107.643438,-104.466125,270.252501,100.572340,-181.797733,372.029968,87.769836,-61.649016,459.132446,997.446018,147.345367,445.651297,976.773736,247.268560,194.500456,102.916463,-238.215631,186.919397,101.392043,-48.736152,508.405482,1037.532738,239.935747,519.083520,60.161814,-244.111145,510.911289,60.003219,110.563157,521.701484,1041.758284,185.315713,373.057293,89.609394,,,,,,
10,120.591277,317.758923,648.274662,-99.348292,313.723482,659.995508,-116.328697,280.190546,392.931524,128.597624,290.791321,387.940772,21.175289,253.247366,700.772077,67.107943,272.405094,732.255963,-60.275901,302.206184,755.306759,21.291708,318.179621,864.121340,24.080211,342.777820,912.560391,146.196294,308.969522,126.227751,-145.351373,289.993988,121.455123,103.676880,273.891719,108.312897,-104.613995,271.054786,101.200969,-181.863892,372.801085,87.666469,-60.713619,459.550367,999.604753,146.814342,444.778975,978.738277,247.204018,195.431336,104.185364,-238.234550,187.742046,102.677667,-48.148544,507.434084,1039.350752,240.014698,519.574847,58.957570,-244.111437,511.513534,58.986317,111.136414,520.586999,1043.304549,185.236271,374.089198,89.494258,,,,,,
