BLEUENN G 15
Date:,2012/11/24
Time:,11:22:03
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LSHO,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:C7,,,Patient1:RSHO,,,Patient1:BHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:LBHD,,,Patient1:BALAVD,,,Patient1:RBHD,,,Patient1:BALAVG
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,28.864883,384.518156,679.216375,-95.130618,432.598507,647.289333,125.377773,457.884992,634.065453,-119.696227,394.685647,388.253357,141.413049,396.958608,382.597224,72.691829,400.046591,705.452600,-26.829741,396.460365,714.171712,27.313373,368.845995,820.124417,28.795717,355.839665,875.859264,167.492788,366.471346,122.611036,-162.530031,374.529298,115.184807,124.164608,333.785500,95.821027,-118.808496,359.257800,87.933476,-111.186608,411.615576,966.509817,209.766354,433.394621,91.483227,-204.891667,453.957016,89.669853,16.289658,387.226152,1007.287137,136.573472,463.183032,998.220911,21.623320,399.911536,1056.931830,236.583922,180.180326,79.035275,-254.286603,197.068101,77.305557,-65.475985,462.687984,1077.670149,243.960022,691.596470,82.135692,96.244350,460.150529,1084.482461,-228.896618,705.975882,80.013960
2,28.882360,384.542322,679.213071,-95.109268,432.699827,647.212180,125.390863,457.953477,633.981076,-119.700453,394.756801,388.224651,141.399322,396.977034,382.571674,72.688857,400.151569,705.422618,-26.825641,396.591529,714.104157,27.346951,368.897603,820.023811,28.851320,355.886464,875.837819,167.505238,366.400861,122.568352,-162.535029,374.476212,115.149342,124.143242,333.742553,95.746811,-118.822125,359.159830,87.889063,-111.140439,411.518658,966.491344,209.769153,433.292782,91.483254,-204.816984,453.857584,89.661370,16.313705,387.277019,1007.236543,136.536464,463.425310,998.247106,21.689752,399.946061,1056.913569,236.573425,180.147871,78.874663,-254.305595,196.985672,77.169834,-65.403598,462.677798,1077.687670,243.980448,691.513053,82.267756,95.343498,462.057956,1084.398017,-228.915564,705.913348,80.187219
3,28.894608,384.646463,679.170619,-95.073849,432.763825,647.147767,125.403880,458.042510,633.922228,-119.628710,394.757411,388.200197,141.386224,396.996808,382.539661,72.698296,400.232102,705.368666,-26.807194,396.702180,714.037853,27.352975,368.955045,819.946795,28.879128,355.927336,875.780531,167.488228,366.338216,122.530951,-162.536645,374.375288,115.107107,124.123198,333.657692,95.664253,-118.835883,359.077381,87.796104,-111.110289,411.482891,966.437100,209.838124,433.076026,91.538969,-204.663526,453.864093,89.586918,16.363406,387.287009,1007.180973,136.485762,463.686775,998.245980,21.758078,399.963471,1056.880528,236.617080,180.058057,78.717925,-254.305650,196.918214,76.976986,-65.347081,462.688319,1077.673901,243.982826,691.469075,82.451579,96.590526,459.895317,1084.249805,-228.897948,705.834186,80.413544
4,28.895864,384.768382,679.107761,-95.052194,432.820681,647.090097,125.393324,458.188327,633.834019,-119.578734,394.748215,388.166641,141.383793,396.976455,382.481435,72.717222,400.290471,705.304821,-26.789154,396.824727,713.962763,27.349865,369.004715,819.857217,28.883956,355.967396,875.681350,167.439257,366.287637,122.489197,-162.530237,374.217576,115.054048,124.106316,333.540788,95.564511,-118.819113,358.976697,87.684890,-111.088677,411.519820,966.348472,209.861765,432.921014,91.563191,-204.714372,453.706159,89.647550,16.415180,387.276932,1007.106029,136.458924,463.887050,998.195898,21.818349,399.990938,1056.824412,236.709321,179.886192,78.515032,-254.314858,196.870721,76.736057,-65.285101,462.679057,1077.654078,243.979614,691.431672,82.676657,96.510801,460.233068,1084.003860,-228.901914,705.688859,80.774169
5,28.895495,384.859542,679.036024,-95.050180,432.906516,647.002604,125.372506,458.331718,633.713388,-119.554772,394.709781,388.115185,141.361132,396.927181,382.408893,72.718247,400.357432,705.235416,-26.797438,396.924838,713.872963,27.340855,369.057974,819.763586,28.875811,356.021191,875.554329,167.403651,366.156010,122.419639,-162.550931,374.080842,114.986086,124.081558,333.425119,95.442250,-118.787483,358.818355,87.592973,-111.078229,411.605446,966.261615,209.811694,432.873896,91.534242,-204.875729,453.472170,89.739802,16.465791,387.298437,1007.005878,136.459132,463.992225,998.082496,21.866505,400.013916,1056.751515,236.762152,179.760094,78.241243,-254.318692,196.809687,76.462613,-65.208609,462.660638,1077.633055,243.982219,691.306688,82.960832,96.497185,460.338760,1083.796141,-229.011181,705.482869,81.331842
6,28.890278,384.950355,678.953421,-95.071911,433.042227,646.889642,125.360577,458.443787,633.601261,-119.552737,394.629235,388.050854,141.351134,396.808712,382.350136,72.712839,400.430759,705.142634,-26.819890,397.038648,713.757818,27.319378,369.129464,819.661301,28.854144,356.094176,875.418327,167.366586,365.985671,122.301701,-162.573775,373.943897,114.914301,124.055022,333.302274,95.327504,-118.779088,358.676460,87.508176,-111.077811,411.724751,966.188496,209.836486,432.688796,91.523266,-204.874966,453.414231,89.696189,16.501583,387.323605,1006.892747,136.474298,464.073187,997.949690,21.915667,400.014406,1056.660768,236.763977,179.683370,77.944585,-254.309042,196.701869,76.185626,-65.145506,462.632938,1077.577500,243.972979,691.150453,83.295493,96.525216,460.369248,1083.659682,-229.181539,705.171606,82.052685
7,28.884210,385.034669,678.862312,-95.097327,433.157497,646.796107,125.353699,458.526484,633.496011,-119.549904,394.508478,387.976776,141.353626,396.694664,382.283436,72.702656,400.521901,705.037092,-26.834552,397.194863,713.646780,27.295082,369.200413,819.535862,28.844262,356.144750,875.285951,167.258220,365.926782,122.123982,-162.592706,373.776280,114.863585,124.038890,333.141141,95.234973,-118.783752,358.565570,87.406677,-111.056677,411.823247,966.106702,209.874779,432.433784,91.538765,-204.820934,453.351963,89.641083,16.535111,387.312969,1006.779614,136.502419,464.137859,997.825580,21.966874,400.005266,1056.550372,236.771717,179.578780,77.656371,-254.315102,196.591484,75.902792,-65.084836,462.621806,1077.499219,243.967524,691.021959,83.630775,96.574391,460.408851,1083.521914,-229.365048,704.806257,82.813022
8,28.860348,385.124793,678.773520,-95.091468,433.219208,646.716256,125.363257,458.556896,633.379658,-119.492885,394.348346,387.914694,141.306306,396.648738,382.177446,72.680135,400.606126,704.947409,-26.840441,397.318070,713.541484,27.273259,369.269303,819.404543,28.834397,356.191127,875.143273,167.174718,365.822405,121.995882,-162.618244,373.623242,114.822902,124.004500,332.966081,95.149768,-118.787925,358.437577,87.300206,-111.015341,411.924454,966.005374,209.861003,432.225307,91.559634,-204.864591,453.144008,89.648419,16.580702,387.306454,1006.666678,136.557170,464.154474,997.693634,22.026794,400.005399,1056.447468,236.777516,179.477232,77.376576,-254.340152,196.500520,75.607589,-65.033572,462.634476,1077.420127,243.951517,690.900980,83.919096,96.653820,460.352691,1083.385067,-229.487162,704.595510,83.405340
9,28.811437,385.197076,678.694830,-95.081370,433.300676,646.629061,125.371575,458.585944,633.257482,-119.456284,394.230218,387.872439,141.252203,396.560847,382.102877,72.665037,400.670231,704.864568,-26.862656,397.422124,713.429512,27.245984,369.350155,819.279363,28.813438,356.260672,874.992810,167.171749,365.590239,121.967433,-162.632023,373.497246,114.773678,123.951117,332.833604,95.055465,-118.774048,358.304631,87.220716,-110.990776,412.066083,965.905182,209.859462,432.017308,91.581310,-204.905794,452.976693,89.671954,16.606276,387.343754,1006.565941,136.631501,464.152383,997.560246,22.097283,400.017514,1056.366347,236.750126,179.392040,77.124326,-254.358114,196.391558,75.340499,-64.994904,462.632835,1077.347369,243.921960,690.783704,84.148683,96.447939,460.780912,1083.421502,-229.512663,704.532475,83.740382
10,28.771898,385.243438,678.626143,-95.117565,433.408876,646.549572,125.357974,458.652548,633.150715,-119.478340,394.161884,387.832742,141.221176,396.457724,382.068807,72.654293,400.743476,704.783952,-26.915567,397.561594,713.336648,27.216186,369.454476,819.180990,28.800278,356.327844,874.869992,167.129249,365.443824,121.942043,-162.644535,373.383582,114.738558,123.915767,332.717844,94.965449,-118.778295,358.224425,87.164129,-110.967108,412.188376,965.825437,209.860729,431.831491,91.609865,-204.829828,452.946730,89.643679,16.627716,387.366705,1006.476466,136.704020,464.131699,997.441401,22.147278,400.014800,1056.295770,236.726111,179.328111,76.905758,-254.364503,196.301536,75.123125,-64.941399,462.635274,1077.286048,243.905757,690.702545,84.348269,95.612175,462.388760,1083.618177,-229.509629,704.500627,83.925264
