bleuenn-std-01
Date:,2012/11/24
Time:,11:01:05
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:RBHD,,,Patient1:T7,,,Patient1:RSHO,,,Patient1:RTRO,,,Patient1:RANK,,,Patient1:RTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-2.647159,53.356426,604.537537,51.383862,78.115715,635.183960,-47.830338,72.265160,647.443604,-118.001778,114.922417,584.244446,11.944845,42.966354,748.447266,106.513870,88.424301,307.880066,-127.009949,78.404877,314.634583,-113.936562,77.279434,911.900818,14.167212,48.281841,934.018250,17.785662,59.023777,983.785461,-73.017349,110.119766,1013.142334,-146.651840,63.770889,39.738247,68.970146,44.991562,20.910360,-101.516663,54.207462,13.593120,-200.523544,134.519501,13.528381,,,,,,,,,,,,,,,,,,
2,-2.434748,53.422848,604.534729,51.373383,78.636169,635.153564,-47.698830,72.248337,647.425049,-117.991661,114.717804,584.252014,12.228636,43.026722,748.426697,106.546051,88.677292,307.866180,-126.930573,78.175812,314.626099,-113.788307,76.855812,912.003113,14.421415,48.395432,934.026733,17.922852,59.062817,983.784302,-72.980034,110.030838,1013.154175,-146.651794,63.759575,39.740891,68.965622,44.994076,20.938272,-101.463913,54.108757,13.612348,-200.509338,134.532028,13.443034,,,,,,,,,,,,,,,,,,
3,-2.219147,53.487255,604.496521,51.528320,78.691933,635.138123,-47.574749,72.233765,647.423279,-117.997017,114.499771,584.251038,12.519629,43.137562,748.687378,106.556313,88.935730,307.858307,-126.877846,77.969978,314.625519,-113.611778,76.407059,912.090759,14.672160,48.505280,934.031677,18.067982,59.123871,983.758362,-72.933205,109.908463,1013.176575,-146.630234,63.720425,39.741909,68.971550,44.981293,20.952938,-101.455040,54.052193,13.614263,-200.488754,134.503296,13.435698,,,,,,,,,,,,,,,,,,
4,-2.029484,53.592030,604.466492,51.700321,78.775322,635.143494,-47.460068,72.211082,647.430969,-117.990021,114.271690,584.275574,12.814384,43.282967,749.214905,106.551514,89.203598,307.838806,-126.812286,77.809196,314.632660,-113.432053,75.966599,912.162781,14.950517,48.602547,934.036011,18.184433,59.221008,983.693054,-72.918442,109.804573,1013.191589,-146.626068,63.683346,39.740578,68.981590,44.966473,20.958763,-101.447655,54.039360,13.601812,-200.485336,134.486786,13.450376,87.190453,123.674141,1018.683350,,,,,,,,,,,,,,,
5,-1.875301,53.712536,604.459412,51.814053,79.034798,635.140442,-47.339828,72.218971,647.434326,-117.956863,114.080124,584.319153,13.071937,43.398708,749.205200,106.536316,89.447395,307.821991,-126.757607,77.700394,314.642090,-113.271248,75.549835,912.234985,15.223263,48.718880,934.029907,18.238865,59.332111,983.618652,-72.907951,109.739510,1013.216187,-146.648132,63.665058,39.745163,68.996666,44.971127,20.962440,-101.433357,54.063595,13.598931,-200.512680,134.465866,13.443091,87.216522,123.776550,1018.671082,,,,,,,,,,,,,,,
6,-1.750547,53.833511,604.451782,51.918964,79.291313,635.122253,-47.209240,72.250938,647.434448,-117.939255,113.931908,584.340515,13.286494,43.514053,748.660217,106.531319,89.623619,307.820251,-126.731209,77.633705,314.646149,-113.122604,75.176270,912.296997,15.439981,48.867664,934.017151,18.256456,59.425659,983.550232,-72.886002,109.702950,1013.267456,-146.641541,63.644836,39.734062,69.020638,44.993523,20.981112,-101.452797,54.101913,13.596559,-200.554291,134.429596,13.445360,87.208969,123.900337,1018.625549,15.850488,27.973030,801.459534,138.707001,97.048210,908.530762,,,,,,,,,
7,-1.626518,53.955742,604.446960,52.016846,79.539268,635.105042,-47.075958,72.278168,647.427002,-117.932365,113.821548,584.341980,13.471146,43.660488,748.383301,106.525238,89.780945,307.806274,-126.716850,77.599487,314.639404,-112.977272,74.845398,912.345581,15.624399,48.994667,934.002930,18.256516,59.519783,983.475342,-72.894936,109.721283,1013.306152,-146.617889,63.627731,39.700027,69.024956,45.032513,20.996136,-101.463203,54.110863,13.589401,-200.572189,134.408478,13.442398,87.186737,123.991280,1018.560791,16.128136,28.057426,801.199158,138.655365,97.700134,908.451843,,,,,,,,,
8,-1.497472,54.050140,604.461914,52.090733,79.780006,635.081726,-46.959053,72.312675,647.409729,-117.910797,113.752998,584.347473,13.616955,43.831940,748.375854,106.507172,89.957390,307.779083,-126.700272,77.573891,314.648956,-112.843361,74.561363,912.395691,15.806729,49.096775,933.984985,18.242085,59.623913,983.397461,-72.928642,109.778976,1013.313354,-146.602951,63.604118,39.689175,69.015007,45.056633,20.996723,-101.455963,54.068344,13.588697,-200.582550,134.393005,13.416413,87.144516,124.091789,1018.527039,16.369200,28.178234,800.703552,138.595673,98.293678,908.343628,,,,,,,,,
9,-1.374623,54.147221,604.471680,52.141380,80.054459,635.055420,-46.878841,72.364594,647.397766,-117.899368,113.692924,584.372681,13.772892,43.986835,748.358215,106.497276,90.085320,307.759979,-126.696602,77.586060,314.669647,-112.743126,74.338425,912.444275,15.974181,49.197674,933.972717,18.228819,59.738434,983.333618,-72.944855,109.807869,1013.309631,-146.582703,63.561062,39.717682,69.011032,45.060165,21.005056,-101.439835,54.053360,13.576728,-200.583984,134.373215,13.382290,87.101181,124.176865,1018.534973,16.599674,28.349121,800.682617,138.574371,98.803947,908.191528,,,,,,,,,
10,-1.269924,54.250034,604.469604,52.197659,80.322334,635.036438,-46.827259,72.436554,647.390686,-117.912628,113.650108,584.409302,13.930766,44.071598,748.329834,106.490746,90.170761,307.750183,-126.704399,77.637894,314.667969,-112.682198,74.173042,912.470947,16.109301,49.321022,933.969238,18.201054,59.845661,983.278076,-72.958923,109.837387,1013.314270,-146.570526,63.546341,39.729950,69.021698,45.048817,21.016466,-101.440987,54.106598,13.564419,-200.567520,134.374069,13.361200,87.086922,124.199402,1018.544739,16.806267,28.521339,801.134827,138.611725,99.199425,908.002197,,,,,,,,,
