angelina-ank-02
Date:,2012/07/12
Time:,14:58:52
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:LHEE,,,Patient1:RHEE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:LSHO,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:BALAVG,,,Patient1:BALARG,,,Patient1:BHD,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:RBHD,,,Patient1:LBHD
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,122.192368,-76.867729,646.519592,218.362396,-32.769131,616.655212,6.912632,-15.047256,613.662781,228.928970,-27.194141,351.947205,-1.714816,-25.380657,350.382507,186.458908,-54.170994,686.421326,40.432987,-52.836617,687.165894,114.509399,-73.151215,756.865479,113.542953,-83.388138,823.415344,248.395279,-49.175724,126.520256,-28.856426,-46.040905,120.217384,14.296563,-70.862625,93.654716,212.718430,-74.936951,93.697235,232.692245,-10.956022,896.474426,122.321327,-65.690903,917.395874,-6.868224,-5.426115,900.956482,290.761353,18.506519,97.519783,-65.743874,22.837355,91.434395,350.369781,-164.174637,86.265549,-135.739838,-164.675369,83.629814,120.938919,-71.906181,984.219055,356.778717,164.120850,88.614441,-136.471542,162.524811,86.896675,201.629974,-17.946455,1009.671448,43.825615,-12.254556,1026.246460
2,122.209785,-76.855782,646.534241,218.426926,-32.778145,616.643616,6.908726,-14.581866,613.620850,229.056885,-27.244495,351.927643,-1.661460,-25.321945,350.342499,186.524323,-54.221355,686.466248,40.416859,-52.795036,687.139648,114.487930,-73.120255,756.909912,113.603508,-83.440887,823.449402,248.387024,-49.153309,126.545662,-28.749016,-46.065044,120.251602,14.290730,-70.789528,93.659340,212.647842,-74.856049,93.721947,232.604706,-10.871316,896.511047,122.305481,-65.588722,917.416504,-6.847371,-5.253678,900.964050,290.763000,18.557264,97.505867,-65.605400,22.846832,91.374374,350.370056,-164.169754,86.338593,-135.559647,-164.794205,83.706352,120.945694,-71.827377,984.225464,356.802582,164.149780,88.580208,-136.488968,162.536209,86.876198,201.656754,-17.823698,1009.659668,43.796890,-12.035522,1026.278442
3,122.246498,-76.837547,646.536682,218.464752,-32.820652,616.628662,6.933404,-14.414578,613.590515,229.140579,-27.247972,351.922455,-1.647248,-25.280279,350.331482,186.528702,-54.221233,686.484863,40.427223,-52.748077,687.128296,114.497864,-73.096756,756.943054,113.543236,-83.392029,823.490479,248.384033,-49.121620,126.555489,-28.721376,-46.061653,120.271736,14.282415,-70.743042,93.689407,212.654709,-74.829605,93.727036,232.554230,-10.803040,896.546021,122.285248,-65.489090,917.451294,-6.830829,-5.147750,900.931152,290.805267,18.562904,97.512650,-65.586990,22.905113,91.358177,350.374451,-164.152527,86.364372,-135.483810,-164.809921,83.760162,120.990608,-71.785080,984.255432,356.811859,164.158066,88.535011,-136.490295,162.545120,86.834251,201.721573,-17.683580,1009.626709,43.737942,-11.785296,1026.300781
4,122.227631,-76.801743,646.533691,218.487930,-32.880844,616.637390,6.960490,-14.214434,613.543335,229.149490,-27.211346,351.907959,-1.614628,-25.271875,350.332184,186.543442,-54.224453,686.489685,40.450890,-52.719025,687.124695,114.475479,-73.025421,756.947388,113.484901,-83.317078,823.534729,248.398651,-49.099144,126.549957,-28.707865,-46.078918,120.263718,14.287102,-70.726974,93.710014,212.692612,-74.848206,93.717979,232.477921,-10.749592,896.599792,122.293854,-65.414352,917.485596,-6.964896,-4.873853,900.897522,290.830780,18.555389,97.511528,-65.489799,22.920612,91.317871,350.372589,-164.145615,86.378906,-135.488892,-164.761566,83.786034,121.059128,-71.742470,984.305481,356.819885,164.152573,88.503525,-136.482422,162.550842,86.807487,201.779037,-17.566648,1009.568665,43.719063,-11.570485,1026.342285
5,122.218567,-76.793854,646.541321,218.517151,-32.906361,616.671265,7.006281,-13.337700,613.359924,229.130692,-27.154387,351.898743,-1.626316,-25.208044,350.336121,186.550430,-54.226112,686.498535,40.454956,-52.689301,687.123474,114.444931,-72.956131,756.949585,113.464859,-83.267281,823.562317,248.435501,-49.121735,126.534111,-30.142691,-46.443623,120.492226,14.313213,-70.750336,93.708122,212.713058,-74.857086,93.724106,232.341660,-10.659690,896.645203,122.183708,-65.562210,917.476379,-7.215179,-4.445811,900.853638,290.833160,18.554262,97.485909,-65.405319,22.907484,91.279556,350.365692,-164.132599,86.392967,-135.513855,-164.733017,83.792259,121.026604,-71.626427,984.372498,356.799103,164.149368,88.483566,-136.485306,162.540009,86.811539,201.811417,-17.479364,1009.520630,43.772484,-11.458404,1026.381104
6,122.296623,-76.819817,646.575928,218.564178,-32.902424,616.705383,7.119667,-12.129442,613.087769,229.135406,-27.103853,351.918365,-1.641196,-25.140692,350.329529,186.600601,-54.249527,686.535889,40.481735,-52.656120,687.104431,114.439194,-72.915108,756.980774,113.465965,-83.239983,823.580566,248.465912,-49.167770,126.516281,-34.490234,-47.485722,121.191704,14.351018,-70.784859,93.691887,212.720963,-74.851921,93.734093,232.239090,-10.573968,896.687927,121.882050,-65.889389,917.430725,-7.325483,-4.214809,900.768799,290.834564,18.554640,97.476250,-65.418098,22.908049,91.293259,350.363556,-164.123169,86.390961,-135.526230,-164.738678,83.790756,120.910988,-71.461014,984.431580,356.757599,164.153107,88.478447,-136.489441,162.540039,86.801735,201.840088,-17.402163,1009.473511,43.782784,-11.284465,1026.430054
7,122.330284,-76.785858,646.620911,218.634125,-32.911999,616.739563,7.212659,-11.600427,612.949585,229.180191,-27.120043,351.945648,-1.595896,-25.177591,350.327118,186.632782,-54.242435,686.569946,40.530090,-52.642914,687.081238,114.430176,-72.873695,757.032776,113.480324,-83.205727,823.616150,248.452499,-49.173801,126.521500,-34.493752,-47.474216,121.186676,14.344353,-70.784134,93.680374,212.710373,-74.854057,93.717201,232.228760,-10.579958,896.738953,121.645378,-65.990234,917.428345,-7.339612,-4.111558,900.697144,290.832184,18.555765,97.501862,-65.437218,22.909765,91.322739,350.365112,-164.127228,86.380272,-135.558319,-164.740952,83.779739,120.753746,-71.283073,984.462280,356.748047,164.162964,88.496254,-136.458252,162.521423,86.809990,201.854446,-17.341558,1009.412231,43.753990,-11.099593,1026.511597
8,122.284515,-76.716095,646.659729,218.696411,-32.938766,616.788452,7.262912,-11.581062,612.932739,229.256241,-27.179546,351.953552,-1.551048,-25.232185,350.328644,186.572357,-54.171951,686.585754,40.549072,-52.623363,687.073242,114.408806,-72.810501,757.057861,113.471657,-83.159309,823.659363,248.415024,-49.148441,126.537735,-22.194733,-43.796677,118.393158,14.297094,-70.757881,93.674629,212.690796,-74.856308,93.697456,232.178162,-10.507668,896.782166,121.557419,-65.890839,917.468262,-7.368091,-3.976910,900.684143,290.830292,18.556139,97.519501,-65.367981,22.898205,91.319328,350.369141,-164.128769,86.369553,-135.563141,-164.757446,83.765648,120.583145,-71.111328,984.486816,356.769653,164.163239,88.515076,-136.420242,162.490982,86.842880,201.858170,-17.309296,1009.374634,43.808872,-11.025687,1026.589233
9,122.270729,-76.672722,646.701660,218.736313,-32.950668,616.839233,7.297681,-11.572495,612.928955,229.314697,-27.227573,351.962067,-1.512072,-25.255024,350.320923,186.539871,-54.132706,686.620850,40.594738,-52.580307,687.077942,114.427292,-72.750465,757.065613,113.441986,-83.095520,823.678894,248.436630,-49.162819,126.523415,-22.204615,-43.810081,118.386078,14.273315,-70.752045,93.661179,212.665344,-74.844025,93.700539,232.047897,-10.326076,896.821655,121.511765,-65.806854,917.499695,-7.421546,-3.828922,900.677063,290.830292,18.556139,97.519501,-65.292404,22.885492,91.300148,350.360840,-164.138062,86.354103,-135.538544,-164.769028,83.748596,120.513680,-71.017311,984.543335,356.784515,164.158035,88.516182,-136.452332,162.523392,86.850441,201.854080,-17.282457,1009.365479,43.866005,-10.901254,1026.633667
10,122.334137,-76.673439,646.742188,218.762543,-32.978771,616.889771,7.356306,-11.596931,612.916077,229.310043,-27.260654,351.977936,-1.477755,-25.298717,350.315765,186.568832,-54.123440,686.671875,40.647011,-52.511799,687.100708,114.476860,-72.713730,757.088379,113.426186,-83.008080,823.688904,248.470505,-49.194969,126.495384,-22.258652,-43.795448,118.412697,14.271932,-70.769745,93.655556,212.658096,-74.843025,93.713303,231.950378,-10.202732,896.859985,121.472397,-65.733925,917.521301,-7.475736,-3.701202,900.641663,290.830292,18.556139,97.519501,-65.343071,22.895288,91.296371,350.334595,-164.158112,86.339340,-135.572601,-164.742813,83.720551,120.518898,-70.992050,984.611389,356.798981,164.143784,88.522873,-136.489349,162.546494,86.858978,201.832886,-17.242365,1009.360840,43.827648,-10.694387,1026.660767
