angelina-ank-03
Date:,2012/07/12
Time:,14:59:07
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:LTRO,,,Patient1:L5,,,Patient1:RTRO,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LASI,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:C7,,,Patient1:LSHO,,,Patient1:RTOE,,,Patient1:RSHO,,,Patient1:LTOE,,,Patient1:BALAVG,,,Patient1:BHD,,,Patient1:BALARG,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:RBHD,,,Patient1:LBHD
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,15.263148,-24.239885,611.818970,136.609985,-80.706924,650.008911,228.864487,-30.963661,619.154175,235.122986,-24.035946,351.784882,2.235025,-27.898659,349.666840,53.168667,-61.277939,687.852600,198.637131,-51.110428,690.330872,129.537476,-73.827278,758.070862,131.675003,-84.701149,823.889832,249.351471,-47.519718,126.525551,-28.552834,-45.950310,120.926720,213.184616,-74.039894,94.410675,15.497552,-70.110863,94.327072,136.759171,-67.459839,915.117126,1.605137,-25.985626,903.916687,290.655823,19.988882,97.598419,235.621780,6.790653,909.173157,-66.187462,22.092037,92.283752,350.376831,-163.522903,87.917824,131.957275,-74.622261,980.393066,-135.691711,-164.042374,85.386795,356.869049,164.846436,86.940742,-136.607544,163.202362,85.311325,209.108688,-16.788378,1009.304443,51.026169,-24.026522,1026.972900
2,15.051276,-24.156107,611.874817,136.421387,-80.520256,649.915894,228.690964,-30.756781,618.919373,234.900177,-23.929420,351.707031,2.233673,-28.220758,349.677643,53.116684,-61.233379,687.873291,198.492859,-50.843357,690.181519,129.514984,-73.801231,757.994690,131.611435,-84.656456,823.792603,249.333527,-47.465504,126.519379,-28.463392,-46.026859,120.915619,213.207596,-74.013245,94.451515,15.429997,-70.077049,94.366432,136.712997,-67.393837,915.133606,1.614247,-26.007303,903.924927,290.636139,20.082581,97.625092,235.662567,6.794272,909.019775,-66.260239,22.084501,92.238823,350.351074,-163.481064,87.982002,132.038239,-74.575935,980.507568,-135.747391,-163.999725,85.466209,356.770813,164.864975,86.867439,-136.602814,163.234070,85.214470,209.182892,-16.680817,1009.278137,51.121971,-23.916082,1026.988037
3,14.882936,-24.035130,611.948486,136.350418,-80.399635,649.843323,228.497833,-30.547894,618.775635,234.706543,-23.986877,351.703674,2.224732,-28.630732,349.712219,53.057301,-61.189262,687.896545,198.425812,-50.615902,690.072327,129.446686,-73.690529,757.935974,131.647202,-84.673744,823.761780,249.283813,-47.452442,126.521538,-28.443813,-46.060787,120.883774,213.216263,-73.989090,94.470146,15.385224,-70.068588,94.366905,136.727295,-67.391640,915.201599,1.627418,-26.046499,903.900269,290.608490,20.108879,97.631256,235.735260,6.788096,908.890930,-66.191460,22.119415,92.157158,350.339722,-163.463577,88.035263,132.143250,-74.536682,980.672485,-135.750778,-163.982483,85.537956,356.767700,164.899048,86.829514,-136.590179,163.268707,85.153717,209.250015,-16.560396,1009.283142,51.208389,-23.847500,1027.023193
4,14.725736,-23.940653,612.091248,136.364563,-80.334404,649.858154,228.314255,-30.340324,618.725647,234.490891,-24.165186,351.732391,2.242970,-29.104086,349.802002,52.992958,-61.147850,687.945251,198.375992,-50.407555,690.023376,129.315918,-73.511559,757.891907,131.728760,-84.666962,823.755493,249.230011,-47.468643,126.521492,-28.469461,-46.083797,120.875671,213.212967,-73.982742,94.454262,15.395426,-70.099663,94.339287,136.829575,-67.409706,915.301636,1.671854,-26.110855,903.885803,290.586639,20.124727,97.632355,235.816803,6.789469,908.781433,-66.140388,22.127424,92.084213,350.336761,-163.452179,88.058601,132.306778,-74.545448,980.882690,-135.788971,-163.923813,85.562782,356.778168,164.928894,86.819351,-136.578140,163.302719,85.146980,209.286179,-16.439882,1009.308472,51.268879,-23.774315,1027.091675
5,14.533132,-23.888062,612.296814,136.340469,-80.243454,649.942932,228.133835,-30.115089,618.748169,234.274353,-24.413189,351.748108,2.405393,-29.765974,349.907745,52.916458,-61.107662,688.040527,198.311951,-50.225792,690.036438,129.253403,-73.371841,757.902283,131.819046,-84.593681,823.746216,249.203934,-47.490635,126.527916,-30.005863,-46.478580,121.123421,213.193161,-73.987640,94.430092,15.395245,-70.107719,94.307175,136.957916,-67.412819,915.408447,1.696983,-26.158545,903.905701,290.575989,20.143162,97.644745,235.887589,6.791838,908.725403,-66.282616,22.117392,92.090088,350.330475,-163.432907,88.039063,132.472061,-74.561836,981.095398,-135.796600,-163.914261,85.566032,356.784332,164.938950,86.818726,-136.595215,163.302658,85.158798,209.320984,-16.305862,1009.349060,51.339821,-23.692421,1027.184448
6,15.337319,-24.383671,612.584778,136.276886,-80.127693,650.056152,227.952179,-29.908062,618.807556,234.097656,-24.708267,351.761505,2.607554,-30.538830,349.975159,52.820412,-61.042007,688.189941,198.276276,-50.077614,690.099548,129.266312,-73.286308,757.969604,131.927612,-84.514961,823.766479,249.171143,-47.525196,126.528442,-34.546581,-47.605503,121.814468,213.175262,-73.997726,94.414536,15.387112,-70.097977,94.287056,137.160034,-67.475166,915.536072,1.687251,-26.149103,903.958801,290.578308,20.113400,97.655045,235.939957,6.829677,908.734192,-66.294861,22.119658,92.049095,350.338196,-163.433807,88.023079,132.592102,-74.547966,981.261902,-135.731445,-163.980942,85.567245,356.794373,164.941711,86.825890,-136.612000,163.278778,85.164169,209.387192,-16.141058,1009.412292,51.425976,-23.641649,1027.284912
7,15.456286,-24.489967,612.832520,136.200439,-80.050240,650.186646,227.805222,-29.769865,618.868591,233.932434,-24.984352,351.781189,2.751836,-31.251114,350.056915,52.740067,-60.988541,688.361877,198.281631,-49.999554,690.185242,129.284042,-73.207787,758.043884,132.043442,-84.445374,823.816162,249.127045,-47.575981,126.525238,-34.533775,-47.647362,121.832756,213.156387,-74.014351,94.416718,15.402531,-70.122185,94.295128,137.399109,-67.526718,915.660522,1.745894,-26.166142,904.042725,290.573364,20.064360,97.651138,235.996490,6.920485,908.780945,-66.181648,22.119551,91.976814,350.354340,-163.454330,88.022179,132.748093,-74.500404,981.390625,-135.693542,-164.024078,85.543045,356.788910,164.930252,86.842834,-136.605835,163.252960,85.182266,209.455673,-15.960661,1009.489929,51.508423,-23.560274,1027.374146
8,15.218685,-24.411407,613.032166,136.135757,-80.037140,650.344299,227.669067,-29.683790,618.914307,233.789017,-25.244846,351.808655,2.866827,-31.905125,350.161316,52.688011,-60.993679,688.557983,198.267868,-49.954994,690.274231,129.312271,-73.139229,758.116577,132.137253,-84.356499,823.884766,249.122818,-47.636673,126.542068,-21.941641,-43.718876,118.979996,213.119400,-74.032707,94.426216,15.402910,-70.138817,94.310951,137.555237,-67.473244,915.764587,1.861358,-26.226265,904.166626,290.559723,20.036020,97.656273,236.065857,7.055071,908.846008,-66.292908,22.091085,92.006073,350.348663,-163.465927,88.011574,132.938980,-74.413750,981.518250,-135.723160,-164.005981,85.515259,356.779816,164.894913,86.853394,-136.600311,163.239883,85.195663,209.527466,-15.770734,1009.560425,51.623245,-23.469555,1027.456543
9,15.047418,-24.483900,613.206787,136.088181,-80.078209,650.503113,227.536209,-29.678806,618.949890,233.672272,-25.486467,351.864288,2.903037,-32.443504,350.222565,52.633678,-61.032360,688.768799,198.145203,-49.883114,690.352783,129.338120,-73.111870,758.209045,132.200409,-84.259720,823.974670,249.130585,-47.697865,126.548668,-21.867868,-43.815739,119.014915,213.098389,-74.041138,94.428490,15.346434,-70.087379,94.301430,137.675812,-67.363625,915.868164,1.937664,-26.230326,904.317749,290.529663,20.034103,97.659119,236.125137,7.248305,908.902283,-66.447464,22.038496,92.039078,350.337463,-163.469452,88.002533,133.141815,-74.292648,981.643066,-135.748932,-163.980804,85.495544,356.785919,164.858658,86.855370,-136.608185,163.242340,85.203918,209.646484,-15.553602,1009.626953,51.780910,-23.421259,1027.506592
10,14.951159,-24.678486,613.345642,136.009140,-80.174385,650.604797,227.427170,-29.785366,618.969543,233.576630,-25.667402,351.933105,2.946000,-33.012630,350.204773,52.563782,-61.084705,688.939209,198.028534,-49.861420,690.412964,129.352982,-73.110397,758.324585,132.275009,-84.178131,824.094482,249.099823,-47.742573,126.528824,-21.864355,-43.893543,118.999969,213.100449,-74.041397,94.424072,15.312394,-70.081841,94.267990,137.804398,-67.198006,915.954529,1.967097,-26.150120,904.447388,290.480072,20.046902,97.637428,236.176712,7.495615,908.914673,-66.424408,21.988287,91.988167,350.343781,-163.472122,88.005646,133.403915,-74.162056,981.753296,-135.704025,-164.002792,85.476242,356.784515,164.837814,86.864342,-136.628586,163.234802,85.215843,209.766068,-15.296683,1009.710266,51.940598,-23.332510,1027.567749
