angelina-kne-01
Date:,2012/07/12
Time:,14:41:16
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:L5,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:LASI,,,Patient1:RASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:BALARD,,,Patient1:RBHD,,,Patient1:BALARG,,,Patient1:LBHD,,,Patient1:BALAVD,,,Patient1:BALAVG
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,4.983156,-8.370323,618.518494,215.091965,-37.314629,623.064026,120.408768,-73.655052,659.792908,215.392990,-23.225298,352.645111,4.113033,-21.264580,352.151764,39.466793,-43.506695,696.339355,183.947327,-50.463161,696.777344,110.707840,-61.648006,769.010254,109.957954,-65.986305,837.961853,217.621140,-41.614639,126.654854,-12.063578,-33.793343,121.472130,178.044815,-63.936260,96.557518,30.517372,-57.977303,97.998581,267.279388,19.033123,96.027687,-47.967464,34.342354,92.001404,229.528824,14.847721,917.169189,113.188545,-34.741600,938.665100,-1.995790,30.284975,924.690186,120.438141,-44.916954,994.471924,327.464844,-274.359406,99.786507,206.446930,3.897786,1011.286621,-149.883087,-257.060059,97.826279,50.706703,25.051756,1035.738647,352.449158,236.519440,76.003769,-133.725861,255.881088,74.046600
2,5.008222,-8.422748,618.561096,215.198517,-37.348331,623.054565,120.428017,-73.639366,659.812927,215.550949,-22.966732,352.625610,4.161294,-21.270668,352.163971,39.562447,-43.567108,696.351868,184.031555,-50.460091,696.777344,110.887634,-61.665222,769.022583,110.107552,-66.010307,837.957703,217.620102,-41.532814,126.655594,-12.199328,-33.609207,121.483482,178.101593,-63.859726,96.603531,30.518160,-57.915260,98.048340,267.363190,19.066088,96.019760,-47.918976,34.427429,91.971542,229.666199,14.817648,917.209351,113.368774,-34.771450,938.680969,-1.938625,30.254665,924.594849,120.402206,-44.819820,994.566711,327.553833,-274.371613,100.000381,206.393753,4.114433,1011.447876,-149.836029,-257.042053,98.011681,50.538906,25.160601,1035.661133,352.466309,236.606674,75.853607,-133.730804,255.907669,73.895340
3,4.999677,-8.955582,618.707397,215.327805,-37.371529,623.048157,120.518898,-73.638016,659.810974,215.686447,-22.687429,352.602081,4.222185,-21.277971,352.178284,39.656822,-43.621708,696.361755,184.137360,-50.448826,696.775208,111.054901,-61.675583,769.036011,110.301865,-66.074936,837.947083,217.689270,-41.466690,126.647102,-12.258601,-33.484253,121.483406,178.132446,-63.776749,96.651611,30.547623,-57.851219,98.087692,267.370880,19.125929,95.975021,-47.903271,34.486847,91.963142,229.850052,14.712677,917.261597,113.454422,-34.734734,938.692688,-1.874237,30.226151,924.504456,120.354645,-44.675533,994.660767,327.565033,-274.286499,100.215851,206.344757,4.342049,1011.619690,-149.759628,-257.016022,98.213257,50.305065,25.319790,1035.563721,352.452698,236.663193,75.662224,-133.699371,255.912079,73.728371
4,4.917716,-9.975412,618.940125,215.499939,-37.365456,623.045837,120.734123,-73.682304,659.815552,215.803574,-22.401966,352.565125,4.280267,-21.286133,352.202118,39.744484,-43.665482,696.379395,184.280624,-50.420589,696.779968,111.210106,-61.706070,769.054138,110.526749,-66.148666,837.936829,217.779037,-41.381439,126.669151,-12.273072,-33.401512,121.498825,178.155228,-63.710075,96.710976,30.559624,-57.776489,98.127014,267.367798,19.187027,95.908638,-47.886189,34.576214,91.957443,229.929535,14.730316,917.279297,113.524704,-34.691826,938.689575,-1.805379,30.171015,924.430054,120.337929,-44.558155,994.733337,327.524231,-274.137421,100.424400,206.296753,4.595548,1011.789001,-149.774216,-256.904572,98.418159,50.166973,25.366678,1035.500122,352.413940,236.708313,75.468651,-133.679031,255.958008,73.567978
5,5.004641,-9.994169,618.912903,215.688858,-37.334366,623.039917,121.066902,-73.803429,659.833435,215.974594,-22.124557,352.542511,4.351421,-21.277851,352.215973,39.872330,-43.810131,696.414001,184.447983,-50.387447,696.794006,111.357063,-61.719833,769.064880,110.723610,-66.219894,837.936401,217.765411,-41.225925,126.712479,-10.807354,-32.791012,121.161636,178.146439,-63.623840,96.764687,30.536751,-57.710335,98.180023,267.378693,19.266705,95.841034,-47.836338,34.691212,91.930290,229.918335,14.860840,917.276001,113.646980,-34.678684,938.668762,-1.747270,30.098360,924.351868,120.364990,-44.478840,994.789978,327.494904,-274.025177,100.659195,206.229126,4.839667,1011.958923,-149.871185,-256.736389,98.638802,50.118271,25.307436,1035.475586,352.382904,236.750305,75.277466,-133.686371,256.074890,73.394028
6,5.246706,-9.078000,618.648987,215.888077,-37.297764,623.039185,121.410423,-73.953926,659.818848,216.157196,-21.860956,352.533295,4.443226,-21.224785,352.220245,40.065464,-44.039310,696.452332,184.651871,-50.382801,696.799744,111.484680,-61.696777,769.084778,110.882980,-66.258301,837.942444,217.800507,-41.134724,126.742805,-6.378356,-31.100859,120.061020,178.085861,-63.483028,96.793549,30.537567,-57.642769,98.225883,267.406433,19.347231,95.801743,-47.703781,34.795952,91.853371,229.978775,14.930667,917.290161,113.828880,-34.708405,938.631592,-1.679651,30.025713,924.297363,120.404213,-44.398392,994.850342,327.507996,-273.938141,100.918701,206.145142,5.056740,1012.114563,-149.925354,-256.597839,98.874390,50.039707,25.259329,1035.442749,352.388397,236.780212,75.083519,-133.669250,256.140167,73.200172
7,5.406600,-8.705061,618.529114,216.122513,-37.226540,623.041931,121.645187,-73.998413,659.809570,216.286469,-21.651102,352.532288,4.550994,-21.146507,352.226898,40.276539,-44.166561,696.466553,184.889923,-50.406624,696.812927,111.623238,-61.694057,769.121765,111.040230,-66.246956,837.940491,217.969070,-41.142143,126.772346,-6.346203,-31.018322,120.100716,178.014160,-63.318874,96.811836,30.570940,-57.576855,98.252281,267.450226,19.403425,95.795265,-47.520767,34.863178,91.758331,230.074127,14.952222,917.299622,114.014244,-34.735275,938.612915,-1.637796,29.998890,924.274475,120.467140,-44.291092,994.900574,327.537201,-273.856598,101.127304,206.078934,5.295403,1012.238037,-149.924454,-256.490601,99.089989,49.935463,25.226803,1035.393555,352.411438,236.830795,74.876785,-133.589386,256.130859,73.003296
8,5.528501,-8.801685,618.566345,216.357681,-37.103992,623.036072,121.814552,-73.942261,659.813538,216.415939,-21.508480,352.524170,4.667782,-21.057547,352.235779,40.488091,-44.244041,696.450012,185.128098,-50.405617,696.845764,111.834061,-61.757229,769.148254,111.221115,-66.222534,837.940857,218.082428,-41.100887,126.800827,-6.245714,-30.946407,120.115562,177.995193,-63.188911,96.845184,30.593161,-57.522839,98.295555,267.461517,19.462536,95.790527,-47.508198,34.923210,91.757851,230.155197,14.993591,917.297852,114.123177,-34.716255,938.626221,-1.627609,29.993246,924.235046,120.548271,-44.183224,994.948059,327.520813,-273.757507,101.288773,206.036392,5.540917,1012.350708,-149.903534,-256.420593,99.265160,49.818756,25.188166,1035.329956,352.430328,236.905487,74.648178,-133.476227,256.155670,72.828186
9,5.688740,-8.885150,618.625732,216.576782,-36.976460,623.033691,122.004662,-73.902161,659.784851,216.550003,-21.363216,352.505737,4.758118,-20.958832,352.243805,40.748936,-44.397224,696.410583,185.352814,-50.364429,696.879089,112.106972,-61.846146,769.158936,111.404068,-66.203651,837.968140,218.098206,-40.970909,126.812065,-6.097748,-30.907610,120.096260,178.014175,-63.107098,96.879143,30.628860,-57.461216,98.367371,267.445068,19.527876,95.768486,-47.628002,35.031506,91.838608,230.247086,15.063484,917.281250,114.225624,-34.690907,938.637573,-1.582815,29.901506,924.188477,120.624733,-44.093552,994.994690,327.479309,-273.653809,101.460968,205.999374,5.771146,1012.475342,-149.857010,-256.397522,99.408112,49.697662,25.145094,1035.259888,352.447998,236.960403,74.442596,-133.367798,256.209320,72.674294
10,5.836296,-8.941826,618.638916,216.798859,-36.858227,623.053894,122.166458,-73.844032,659.750488,216.686249,-21.204979,352.500854,4.837332,-20.900867,352.240753,40.988895,-44.807713,696.448853,185.602737,-50.313839,696.920044,112.348701,-61.873913,769.163147,111.561142,-66.183578,837.985718,218.121124,-40.830696,126.822235,-6.027591,-30.862576,120.103966,178.050415,-63.042442,96.925766,30.689482,-57.411221,98.435547,267.436310,19.586805,95.747536,-47.589119,35.116898,91.850418,230.349762,15.137853,917.257202,114.420425,-34.702309,938.643616,-1.486664,29.729860,924.131470,120.701164,-44.020435,995.028564,327.479919,-273.612701,101.614906,205.996109,6.025405,1012.600464,-149.819214,-256.367493,99.546021,49.601582,25.078596,1035.199707,352.467316,236.999680,74.285812,-133.357101,256.274170,72.494904
