angelina-kne-02
Date:,2012/07/12
Time:,14:49:26
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:LASI,,,Patient1:RASI,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:BHD,,,Patient1:RTOE,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,123.933006,-69.495071,657.067444,217.357788,-29.065588,622.599670,6.264154,-7.718034,618.572754,41.545879,-42.282524,694.121399,186.869034,-47.450630,693.815796,213.627777,-25.676687,352.985504,6.673016,-24.039667,352.125122,115.293419,-67.822281,765.065430,115.729485,-75.530281,834.689209,-1.091475,14.729896,914.419250,232.630127,11.900671,914.697021,117.997208,-47.846012,934.669678,217.684280,-43.003124,126.695885,-12.196136,-33.201660,121.441307,178.746918,-64.972328,96.684166,30.218370,-58.139820,97.585938,128.743103,-54.262943,979.759705,267.400024,18.750492,96.752991,203.570358,5.995302,1008.914001,46.698746,-8.114982,1029.949585,326.456573,-276.120178,99.639046,-151.135391,-256.026611,97.673752,353.901672,234.895004,76.085999,-132.119858,256.650024,74.066254,,,
2,123.976448,-69.514763,657.093933,217.358688,-29.064861,622.605042,6.276679,-7.930606,618.654358,41.490673,-42.332436,694.149963,186.874313,-47.432240,693.849731,213.532043,-26.006514,352.981781,6.685716,-24.329178,352.119537,115.289314,-67.877274,765.094299,115.723106,-75.514931,834.748169,-1.035696,14.934716,914.608459,232.654755,12.069066,914.776489,117.913048,-47.782200,934.613464,219.056564,-43.529140,126.770882,-12.206393,-33.330471,121.398537,178.818741,-65.235260,96.622574,30.217449,-58.245911,97.533142,128.682068,-54.375877,979.332825,266.932800,18.853022,96.611336,203.534805,5.795161,1008.867065,46.790531,-8.476702,1029.787842,326.360565,-276.145416,99.355240,-151.124588,-256.187500,97.311020,353.888977,234.792725,76.430901,-132.112579,256.589600,74.339371,,,
3,123.973434,-69.542549,657.129639,217.362442,-29.079910,622.613586,6.311419,-8.431582,618.796021,41.500061,-42.376720,694.188843,186.864944,-47.412483,693.908447,213.461960,-26.357176,352.962616,6.604276,-24.552406,352.116180,115.262077,-67.894318,765.128845,115.707932,-75.491539,834.795105,-1.009660,15.151002,914.768921,232.671478,12.216812,914.838318,117.914871,-47.785275,934.586426,219.088593,-43.716564,126.761681,-12.156709,-33.476322,121.351212,178.831009,-65.399200,96.569847,30.219774,-58.356190,97.486763,128.745300,-54.544132,978.956848,266.916565,18.754293,96.626312,203.559875,5.599539,1008.812317,46.769295,-8.736200,1029.670288,326.269836,-276.159821,99.108498,-151.091461,-256.321533,97.028534,353.886292,234.688156,76.695534,-132.087418,256.499695,74.591759,,,
4,123.958183,-69.591469,657.176758,217.348465,-29.120718,622.620239,6.328389,-8.778527,618.838318,41.555420,-42.411667,694.246155,186.903229,-47.404930,693.979553,213.396393,-26.684359,352.946259,6.544621,-24.771877,352.092163,115.209938,-67.876427,765.155823,115.726173,-75.479912,834.848145,-1.013630,15.375481,914.913147,232.690826,12.398559,914.905457,117.957466,-47.805218,934.563171,217.764389,-43.512650,126.682236,-12.079288,-33.634697,121.335052,178.800919,-65.475143,96.531105,30.230194,-58.459667,97.456116,128.695236,-54.622242,978.627563,267.075806,18.591070,96.708054,203.592743,5.384889,1008.746155,46.658100,-8.860312,1029.562500,326.301697,-276.282593,98.936714,-151.039841,-256.467163,96.832687,353.865479,234.645676,76.877457,-132.072739,256.393402,74.792030,,,
5,123.990814,-69.678352,657.232849,217.311035,-29.178015,622.649963,6.332024,-7.944936,618.641541,41.400040,-42.533546,694.300598,186.942307,-47.406860,694.052063,213.392319,-27.020609,352.961609,6.557169,-24.989923,352.064331,115.208580,-67.872574,765.201782,115.774689,-75.457886,834.932190,-0.985243,16.043722,914.981323,232.722794,12.600563,914.997437,117.966675,-47.771130,934.532654,219.663742,-43.849316,126.676575,-12.006248,-33.998207,121.418121,178.776474,-65.495445,96.507256,30.231949,-58.525871,97.430397,128.595657,-54.645679,978.314636,266.955444,18.617023,96.651863,203.586594,5.184676,1008.670410,46.625984,-9.082961,1029.453979,326.386017,-276.438110,98.823509,-151.023193,-256.570190,96.702652,353.829254,234.635040,76.990509,-132.084290,256.330688,74.914551,-47.242199,35.384892,92.923637
6,124.003258,-69.774567,657.288452,217.288696,-29.234018,622.696716,6.362733,-6.216280,618.284851,41.048264,-42.775265,694.365906,186.894226,-47.373417,694.112427,213.447540,-27.346581,353.001282,6.562225,-25.159533,352.074951,115.250351,-67.910133,765.285889,115.744484,-75.372086,835.038147,-0.966787,17.190758,914.969666,232.750504,12.785096,915.105835,117.976227,-47.737766,934.528748,220.177109,-43.808258,126.585350,-11.906308,-34.551365,121.576927,178.758865,-65.509369,96.484474,30.239893,-58.546677,97.412857,128.604187,-54.714481,978.010498,266.955994,18.590925,96.628540,203.557785,5.000970,1008.608093,46.652630,-9.387900,1029.360840,326.380493,-276.471680,98.747292,-151.048264,-256.564850,96.648132,353.806000,234.613312,77.039658,-132.089432,256.326355,74.956268,-47.205387,35.367100,92.818558
7,123.986877,-69.866219,657.370483,217.285873,-29.283121,622.728455,6.370952,-5.454778,618.128113,40.928432,-43.005890,694.466248,186.845840,-47.346874,694.183044,213.414703,-27.532114,353.033325,6.543469,-25.295309,352.091675,115.263115,-67.960289,765.374939,115.646561,-75.256927,835.163086,-1.018362,17.946211,915.032654,232.793961,12.959088,915.218933,117.991806,-47.745167,934.540527,217.546509,-43.604908,126.604973,-11.899510,-34.736382,121.632423,178.745087,-65.503418,96.486252,30.239893,-58.546677,97.412857,128.593369,-54.764290,977.731812,267.230255,18.418545,96.745308,203.548828,4.794631,1008.569702,46.673992,-9.611071,1029.276367,326.329041,-276.409210,98.744011,-151.054993,-256.526367,96.673294,353.825043,234.615067,77.023857,-132.082962,256.341858,74.924683,-47.162888,35.346382,92.752693
8,123.997238,-69.971321,657.462952,217.266556,-29.357862,622.766968,6.352654,-5.605159,618.169739,41.015938,-43.167641,694.599854,186.864243,-47.377838,694.254150,213.374969,-27.653868,353.050385,6.510575,-25.409029,352.105682,115.262993,-68.003738,765.466553,115.622726,-75.207664,835.298279,-1.059896,18.248707,915.179749,232.850006,13.137264,915.343689,117.997124,-47.773571,934.556152,217.716187,-43.681107,126.650444,-11.953296,-34.671524,121.605507,178.776047,-65.488869,96.502983,30.223915,-58.526371,97.420616,128.511429,-54.763817,977.489136,267.219727,18.437563,96.753494,203.565826,4.584344,1008.537781,46.652908,-9.753090,1029.211670,326.283997,-276.307617,98.832024,-151.034988,-256.512390,96.760963,353.862885,234.640182,76.947372,-132.075623,256.372009,74.823074,-47.109905,35.385708,92.716240
9,124.010498,-70.105042,657.527771,217.244156,-29.454893,622.810608,6.317194,-5.741207,618.205750,41.074081,-43.282375,694.725037,186.898056,-47.425480,694.337341,213.385147,-27.742012,353.067535,6.506097,-25.536734,352.110138,115.288094,-68.076698,765.589966,115.635544,-75.208351,835.437805,-1.038828,18.488316,915.343018,232.910797,13.310873,915.494934,118.004463,-47.792694,934.575745,220.721191,-43.648735,126.479355,-10.584558,-33.973873,121.138176,178.831146,-65.483109,96.505791,30.222187,-58.470688,97.428993,128.454086,-54.760521,977.270752,266.931427,18.648169,96.605072,203.560074,4.388375,1008.502808,46.611855,-9.879518,1029.189697,326.231903,-276.192200,98.974365,-151.049362,-256.446136,96.894196,353.874817,234.658051,76.827080,-132.075027,256.438232,74.680344,-46.885609,35.463867,92.577789
10,124.009239,-70.235977,657.578857,217.233383,-29.535450,622.827209,6.230561,-5.872137,618.251160,41.139534,-43.416912,694.810730,186.892380,-47.449131,694.443237,213.398010,-27.761730,353.081665,6.486633,-25.606207,352.094208,115.309410,-68.167191,765.713379,115.686974,-75.249641,835.592529,-1.019105,18.709679,915.539490,233.039032,13.382489,915.666687,118.006699,-47.800602,934.592834,221.802750,-43.619316,126.465782,-6.585660,-31.630129,119.681183,178.864151,-65.440956,96.522568,30.220345,-58.401306,97.454964,128.401306,-54.771267,977.045776,266.812714,18.780064,96.516518,203.546997,4.179902,1008.463318,46.583218,-10.015768,1029.203979,326.238617,-276.128967,99.133926,-151.089203,-256.314270,97.056923,353.879608,234.687149,76.675110,-132.090012,256.498657,74.535469,-42.909576,37.918209,90.968361
11,124.027802,-70.348557,657.639221,217.206100,-29.603388,622.832642,6.144289,-6.015530,618.274475,41.222229,-43.595867,694.862976,186.885513,-47.475258,694.515381,213.408417,-27.728416,353.062469,6.445107,-25.613363,352.088745,115.305168,-68.238419,765.808533,115.789864,-75.342476,835.749451,-0.974475,18.909523,915.751831,233.180603,13.362183,915.828735,117.987335,-47.832031,934.628052,220.830643,-43.535103,126.543465,-6.456473,-31.623098,119.692314,178.857010,-65.340401,96.577728,30.208395,-58.333416,97.503609,128.313171,-54.791332,976.819641,266.994843,18.759722,96.574364,203.560852,3.965431,1008.412598,46.598148,-10.226099,1029.198608,326.336548,-276.133667,99.301788,-151.121597,-256.203979,97.245445,353.886444,234.744415,76.491226,-132.130890,256.563995,74.395264,-41.583004,38.739712,90.412643
12,124.058311,-70.487045,657.706787,217.170532,-29.666321,622.847229,6.077967,-6.142347,618.265076,41.263714,-43.752766,694.910767,186.891373,-47.501747,694.561340,213.418152,-27.663229,353.041870,6.465283,-25.653231,352.084320,115.309883,-68.314072,765.897156,115.818565,-75.417480,835.880798,-0.881028,19.096174,915.950928,233.215912,13.370260,915.984741,117.960243,-47.876842,934.674683,217.780258,-43.384083,126.668335,-6.518269,-31.542322,119.706749,178.832184,-65.215965,96.645020,30.209850,-58.248989,97.544853,128.221222,-54.824844,976.613037,267.289673,18.677355,96.674355,203.563889,3.775649,1008.356140,46.691578,-10.482573,1029.157349,326.406525,-276.121643,99.467857,-151.144043,-256.124847,97.461472,353.881622,234.803940,76.288330,-132.195221,256.658966,74.257195,-41.602390,38.760628,90.399429
13,124.084732,-70.633453,657.738464,217.138809,-29.716503,622.881348,6.006808,-6.261408,618.301392,41.267124,-43.904549,694.976013,186.873764,-47.505981,694.617065,213.409622,-27.593109,353.067596,6.446101,-25.656607,352.081451,115.321342,-68.412743,765.976563,115.813385,-75.472725,835.988892,-0.760096,19.298923,916.155273,233.187531,13.407546,916.167542,117.969383,-47.950539,934.707458,217.788483,-43.280895,126.670593,-6.588242,-31.448685,119.725243,178.828629,-65.115646,96.696388,30.215460,-58.172165,97.572250,128.153671,-54.897999,976.416260,267.425201,18.663162,96.707108,203.539566,3.591030,1008.302612,46.741123,-10.644552,1029.113281,326.430450,-276.092316,99.629456,-151.140930,-256.059479,97.671654,353.886658,234.864960,76.097641,-132.187927,256.712708,74.106895,-41.628201,38.819897,90.396835
14,124.126938,-70.761459,657.731873,217.119217,-29.758928,622.925903,5.966898,-6.402132,618.361023,41.277828,-44.079628,695.036194,186.868530,-47.509872,694.663269,213.399292,-27.501419,353.107635,6.362411,-25.608171,352.089478,115.366142,-68.547798,766.068848,115.801582,-75.540649,836.102173,-0.599822,19.493429,916.392334,233.203873,13.401344,916.387939,117.997147,-48.078598,934.743591,217.783157,-43.193268,126.686531,-6.590086,-31.351820,119.749649,178.807831,-64.994843,96.745331,30.198141,-58.117199,97.611671,128.086700,-54.971996,976.226135,267.453979,18.723179,96.699158,203.516205,3.407298,1008.258484,46.716831,-10.746110,1029.068115,326.456360,-276.040649,99.806839,-151.114075,-256.024933,97.842339,353.891907,234.925034,75.927696,-132.146683,256.761536,73.946304,-41.644863,38.887848,90.392975
15,124.155365,-70.855774,657.722656,217.133606,-29.780081,622.939697,5.972429,-6.561877,618.386780,41.301064,-44.263409,695.066284,186.874695,-47.519917,694.692749,213.426239,-27.394417,353.121124,6.314281,-25.574577,352.098053,115.442146,-68.711487,766.181030,115.770706,-75.614967,836.210999,-0.489499,19.732910,916.636169,233.287155,13.280508,916.620911,117.975723,-48.207169,934.776062,217.831314,-43.192467,126.708420,-6.537984,-31.291407,119.759109,178.776154,-64.855141,96.811775,30.166092,-58.051895,97.656258,127.971916,-54.985489,976.053162,267.356628,18.875727,96.625328,203.508942,3.215797,1008.224121,46.706841,-10.826951,1029.026123,326.475494,-275.942688,99.992447,-151.092438,-255.992218,97.992897,353.872864,234.970215,75.772736,-132.181076,256.835571,73.805687,-41.642105,38.954140,90.360863
16,124.145096,-70.897987,657.709473,217.170685,-29.772429,622.927002,5.998417,-6.761310,618.411743,41.312767,-44.421547,695.080139,186.867630,-47.547256,694.722839,213.381653,-27.250580,353.109985,6.297186,-25.574284,352.101746,115.462730,-68.839302,766.245850,115.757133,-75.723801,836.305664,-0.384621,19.959503,916.876038,233.392563,13.079045,916.830444,117.928764,-48.305256,934.777344,219.840866,-43.082031,126.671783,-6.476511,-31.252058,119.757591,178.774094,-64.764832,96.874687,30.137445,-57.982533,97.700859,127.882004,-54.991661,975.909607,267.225952,19.039223,96.546753,203.504883,3.006782,1008.181091,46.709854,-10.873010,1028.987793,326.530853,-275.914337,100.168198,-151.118759,-255.915848,98.158760,353.857727,234.995972,75.635437,-132.209595,256.883545,73.672333,-41.633385,39.048073,90.327911
17,124.121681,-70.930153,657.699768,217.171829,-29.747282,622.915894,6.054628,-7.003858,618.455017,41.263351,-44.548012,695.110779,186.859955,-47.584965,694.740601,213.287079,-27.113291,353.090698,6.289790,-25.570221,352.098145,115.442924,-68.928192,766.293213,115.693581,-75.824371,836.403625,-0.272705,20.158279,917.138367,233.529495,12.866507,917.015930,117.922020,-48.422607,934.774963,217.702057,-42.839703,126.779648,-6.497222,-31.168060,119.783051,178.765137,-64.719093,96.909424,30.116684,-57.912014,97.765549,127.853706,-55.025055,975.779785,267.347687,19.043354,96.593147,203.496735,2.799671,1008.143982,46.711735,-10.937156,1028.940430,326.524384,-275.869720,100.327713,-151.194092,-255.802277,98.320038,353.860168,235.016556,75.491196,-132.201859,256.921875,73.536705,-41.633446,39.123108,90.318466
18,124.115646,-70.988075,657.704590,217.130615,-29.724720,622.902161,6.131203,-7.209960,618.480103,41.162403,-44.659000,695.150635,186.857010,-47.611492,694.759094,213.260910,-27.030478,353.067993,6.238041,-25.478935,352.100433,115.426117,-69.034096,766.358276,115.581284,-75.864700,836.495850,-0.191252,20.366224,917.397583,233.678879,12.669856,917.232178,117.927742,-48.579834,934.785339,217.722351,-42.768501,126.767021,-6.520788,-31.089842,119.804787,178.754303,-64.672218,96.929337,30.119526,-57.837978,97.820732,127.864670,-55.102291,975.660400,267.462311,19.026405,96.627174,203.495071,2.576945,1008.118164,46.715374,-11.037224,1028.889038,326.470795,-275.778961,100.466850,-151.251205,-255.690903,98.436562,353.872437,235.043427,75.339050,-132.195206,256.952637,73.418861,-41.616455,39.140102,90.299225
19,124.110664,-71.060486,657.714905,217.105118,-29.744825,622.899658,6.157657,-7.337294,618.484253,41.109364,-44.730049,695.189941,186.842682,-47.622669,694.804504,213.281082,-26.959555,353.064819,6.179102,-25.386419,352.092529,115.418472,-69.157608,766.396301,115.505058,-75.905029,836.568176,-0.054146,20.531761,917.624451,233.769989,12.513493,917.529663,117.888199,-48.733093,934.816772,217.718979,-42.716629,126.764992,-6.535427,-31.050758,119.812912,178.758560,-64.591919,96.945732,30.145817,-57.776066,97.834572,127.912918,-55.217926,975.547058,267.475281,19.083778,96.603645,203.509247,2.353615,1008.092712,46.720985,-11.141270,1028.837891,326.489838,-275.758514,100.592018,-151.251282,-255.614655,98.536392,353.881744,235.073944,75.213776,-132.179504,256.973785,73.321129,-41.622173,39.163837,90.309654
20,124.070267,-71.123184,657.739380,217.086838,-29.811516,622.920471,6.122177,-7.414892,618.507751,41.122135,-44.754250,695.234497,186.826752,-47.636021,694.850098,213.262619,-26.868738,353.072662,6.188372,-25.377806,352.064026,115.403244,-69.244034,766.429382,115.467583,-75.968498,836.633240,0.080771,20.700325,917.836182,233.866898,12.338034,917.856201,117.806160,-48.866493,934.876282,217.709961,-42.664680,126.772011,-6.529617,-31.045799,119.808792,178.748840,-64.531311,96.940659,30.170321,-57.735172,97.850288,127.927963,-55.315094,975.411316,267.519196,19.140751,96.586357,203.508636,2.165198,1008.068542,46.717884,-11.207709,1028.797241,326.492249,-275.714417,100.705696,-151.232864,-255.578003,98.655273,353.888977,235.111053,75.094437,-132.163544,256.993988,73.237518,-41.663292,39.237106,90.334320
