angelina-std-03
Date:,2012/07/12
Time:,14:34:43
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:T7,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,111.253784,-134.500076,571.229919,210.992508,-105.659355,542.435669,173.462677,-117.267075,604.642822,30.631405,-103.952583,603.634766,-3.593711,-64.984360,531.156494,103.084877,-138.509277,666.096436,106.432251,-158.286743,729.752075,193.229843,-141.155685,270.952515,1.445893,-131.749130,268.513580,230.770905,-98.858925,812.221802,112.713867,-149.217896,839.349487,-10.663060,-84.906837,819.853882,123.738930,-166.837402,894.950867,202.619339,-111.979408,926.561462,44.261490,-112.782509,941.712646,200.343094,-115.081963,44.562832,2.939641,-96.884483,38.265755,162.539474,-138.521805,13.974375,35.052711,-129.238007,15.074553,239.319901,-44.417358,17.448601,,,
2,111.263771,-134.597290,571.208740,211.008316,-105.719292,542.424133,173.515549,-117.389801,604.633179,30.350857,-103.881218,603.207825,-3.640896,-65.081825,531.181152,103.123322,-138.676346,666.143982,106.392715,-158.416382,729.784424,193.200989,-141.108719,270.962067,1.445893,-131.749130,268.513580,230.792938,-98.906921,812.228333,112.689812,-149.279327,839.365784,-10.695714,-85.021523,819.867004,123.726082,-166.951324,894.958984,202.649353,-112.132187,926.533508,44.305054,-112.799156,941.762451,200.412186,-115.189880,44.572029,2.917874,-96.878151,38.281944,162.544098,-138.499146,13.951589,35.147522,-129.284988,15.082214,239.316299,-44.432858,17.402725,,,
3,111.283051,-134.683029,571.186340,211.023270,-105.781761,542.442627,173.598450,-117.578194,604.607117,30.442320,-104.229706,603.146118,-3.652889,-65.223114,531.223389,103.150116,-138.877258,666.166809,106.376434,-158.539505,729.789307,193.156998,-140.987930,270.935242,1.450611,-131.755936,268.514313,230.812378,-98.983475,812.239441,112.682152,-149.362289,839.421875,-10.671062,-85.148560,819.905029,123.718048,-167.046783,894.978394,202.665726,-112.302399,926.513489,44.339722,-112.820023,941.810425,200.434570,-115.215363,44.563000,2.896920,-96.865219,38.286106,162.541290,-138.494888,13.958072,35.166016,-129.278198,15.069018,239.308807,-44.450405,17.418646,,,
4,111.263733,-134.585571,571.083130,210.088699,-104.221313,541.447083,173.657608,-117.764915,604.575500,30.652328,-104.667877,603.465698,-3.656192,-65.369255,531.253418,103.146111,-139.053696,666.181946,106.417084,-158.709915,729.826294,193.162155,-140.944305,270.919708,1.476557,-131.760681,268.511322,230.823517,-99.056007,812.249634,112.671181,-149.440323,839.455200,-10.624623,-85.312790,819.971313,123.723343,-167.139496,895.000305,202.699951,-112.458710,926.495605,44.355270,-112.853851,941.837830,200.408966,-115.156517,44.551468,2.891718,-96.859322,38.285275,162.536728,-138.507187,13.951084,35.149666,-129.259521,15.054449,239.308273,-44.447128,17.446577,,,
5,111.172714,-134.320084,570.900391,207.250610,-99.424049,538.422668,173.726181,-117.926704,604.540955,30.747736,-104.945831,603.649658,-3.611973,-64.726891,531.018494,103.114029,-139.182892,666.198486,106.509888,-158.919128,729.884399,193.222931,-140.950424,270.940948,1.517958,-131.797409,268.501587,230.849258,-99.133057,812.269592,112.689606,-149.562729,839.466614,-10.604448,-85.483894,820.024536,123.734917,-167.258438,895.024841,202.752899,-112.602196,926.475159,44.363316,-112.909431,941.866699,200.365204,-115.067039,44.559139,2.884174,-96.857849,38.285507,162.541168,-138.539902,13.945721,35.172291,-129.265198,15.064960,239.315826,-44.427040,17.450592,,,
6,111.132835,-134.242767,570.785400,207.298904,-99.424385,538.432251,173.805832,-118.076302,604.489258,30.743856,-105.113632,603.620483,-3.520359,-63.355186,530.571838,103.082451,-139.301987,666.209961,106.572426,-159.102844,729.913147,193.264771,-140.899490,270.971222,1.522638,-131.865372,268.514496,230.945587,-99.305046,812.301819,112.750122,-149.776352,839.509888,-10.602484,-85.641975,820.062927,123.720596,-167.376907,895.042725,202.791977,-112.724678,926.443176,44.376732,-112.995544,941.879578,200.345459,-115.021461,44.586998,2.899204,-96.856125,38.257534,162.552368,-138.558258,13.944984,35.198196,-129.274948,15.072089,239.319901,-44.417358,17.448601,-17.160500,-18.546244,11.693490
7,111.209595,-134.379608,570.751038,207.317001,-99.423958,538.431702,173.859924,-118.187004,604.451233,30.607054,-105.167809,603.516846,-3.509414,-62.712311,530.369873,103.070450,-139.431839,666.193848,106.599152,-159.285019,729.914917,193.264145,-140.858582,270.994507,1.495295,-131.895050,268.557220,231.016464,-99.473373,812.324341,112.836472,-150.008682,839.556274,-10.612147,-85.795769,820.089661,123.697731,-167.484543,895.064087,202.813156,-112.822968,926.408386,44.418217,-113.124237,941.881348,200.348694,-115.017876,44.609928,2.933804,-96.854492,38.206951,162.556351,-138.540543,13.942405,35.201477,-129.279053,15.068708,239.315826,-44.427040,17.450592,-17.082411,-18.559717,11.690784
8,111.327393,-134.538712,570.740967,207.319153,-99.399414,538.406494,173.904083,-118.268593,604.430603,30.447409,-105.193558,603.419922,-3.569427,-62.806107,530.397278,103.095688,-139.588028,666.161438,106.628563,-159.495972,729.912842,193.240662,-140.827438,270.997253,1.499705,-131.940506,268.576630,230.997772,-99.553848,812.339233,112.923492,-150.250183,839.595886,-10.623197,-85.947830,820.104797,123.722237,-167.637009,895.106323,202.826172,-112.929916,926.371948,44.441654,-113.215088,941.914612,200.345093,-115.014931,44.608150,2.936910,-96.851509,38.179703,162.543106,-138.520218,13.950617,35.205273,-129.290894,15.071730,239.307129,-44.445663,17.462578,-16.890678,-18.593243,11.592731
9,111.412804,-134.636368,570.716309,207.336716,-99.350197,538.378296,173.914703,-118.300598,604.395813,30.468384,-105.384964,603.468018,-3.583956,-62.990677,530.438904,103.169434,-139.771851,666.145142,106.681145,-159.701981,729.914978,193.229507,-140.803101,270.986938,1.494439,-132.020233,268.577637,230.981400,-99.630638,812.345886,113.009735,-150.529053,839.618103,-10.622644,-86.104195,820.131592,123.785614,-167.838211,895.158630,202.840576,-113.051605,926.315796,44.423470,-113.267792,941.964355,200.356079,-115.047874,44.594982,2.907856,-96.838684,38.160080,162.533478,-138.513992,13.944836,35.216908,-129.327866,15.070043,239.280838,-44.435280,17.491219,-16.720385,-18.625582,11.521021
10,111.470169,-134.710373,570.679932,207.369751,-99.302841,538.349365,173.949387,-118.336266,604.361023,30.444773,-105.530708,603.453552,-3.571159,-63.189083,530.460938,103.232246,-139.917389,666.115784,106.723885,-159.865601,729.912476,193.257584,-140.837280,270.985840,1.436268,-132.043655,268.587524,230.992279,-99.704369,812.348938,113.058174,-150.768021,839.617493,-10.633911,-86.235977,820.176880,123.829880,-168.020706,895.207458,202.850586,-113.179184,926.268066,44.447483,-113.395592,942.033875,200.382156,-115.088341,44.591614,2.888981,-96.812820,38.136272,162.538162,-138.508224,13.926343,35.224491,-129.343170,15.052626,239.235321,-44.406406,17.512716,-16.787928,-18.614962,11.581870
