arthur-kne-12
Date:,2012/07/09
Time:,14:41:36
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:RKNE,,,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:LKNE,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:BHD,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:LSHO
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,160.396606,235.633850,360.688019,-19.791849,125.249359,598.861816,142.206589,247.179031,607.165100,-32.260193,97.032410,365.200165,90.735146,156.359772,665.011292,134.434189,238.956284,661.796875,-10.137223,137.320236,679.253479,92.202522,159.251083,770.261230,90.981865,160.768967,843.101440,175.509842,221.268738,119.918007,-48.086349,89.714005,126.843323,148.439896,174.172073,98.353622,-0.662181,91.006767,99.188072,189.568665,290.836151,92.801483,-125.904404,116.714348,99.760559,132.170547,288.538818,903.339172,70.354439,190.403366,931.734680,375.535583,132.185928,82.417450,-20.793390,-135.841858,84.726852,110.946686,195.566757,997.967407,89.567474,558.409180,82.986389,-310.283234,289.377075,85.356323,96.862373,290.474884,1031.174194,15.872525,151.723389,1039.496216,,,
2,160.437363,235.639954,360.730011,-19.785257,125.141823,598.888184,142.317108,247.084747,607.228333,-32.250622,97.017403,365.165497,90.745880,156.309555,665.034851,134.403549,238.913071,661.826355,-10.154513,137.293854,679.245544,92.247856,159.193253,770.231934,90.983757,160.593231,843.082703,175.478683,221.277603,119.919388,-48.044388,89.646820,126.894485,148.405045,174.220627,98.362747,-0.722533,91.016823,99.199043,189.535736,290.833588,92.787666,-125.894966,116.774696,99.729034,132.231277,288.367401,903.358765,70.441269,190.236954,931.755859,375.504608,132.194580,82.441055,-20.864613,-135.810059,84.757149,111.076744,195.382324,997.947388,89.569572,558.365723,82.940727,-310.301270,289.411652,85.308876,97.067131,290.267334,1031.219604,15.986346,151.544464,1039.516846,,,
3,160.449646,235.655472,360.756226,-19.799480,125.086113,598.904602,142.390549,247.006409,607.264404,-32.253342,96.976509,365.174011,90.752724,156.230209,665.032288,134.421982,238.829300,661.848511,-10.136155,137.219620,679.238770,92.257591,159.111130,770.213257,91.008949,160.435486,843.081360,175.464417,221.303146,119.914566,-48.014610,89.660774,126.863991,148.402390,174.239227,98.381905,-0.835512,91.034950,99.189163,189.503952,290.832550,92.779137,-125.902016,116.786400,99.723976,132.260864,288.192444,903.395264,70.496849,190.070221,931.768860,375.467316,132.215759,82.469398,-20.860754,-135.803040,84.800980,111.151428,195.198486,997.963989,89.550568,558.376587,82.878426,-310.289154,289.429901,85.297432,97.194901,290.129059,1031.243286,16.078924,151.382507,1039.538330,,,
4,160.441971,235.684769,360.766754,-19.800417,125.029732,598.907166,142.456421,246.940994,607.277649,-32.269688,96.939941,365.192902,90.754395,156.132248,665.023621,134.449173,238.736526,661.868591,-10.118118,137.135239,679.243042,92.276367,159.033569,770.204163,91.047211,160.303711,843.066589,175.455597,221.345764,119.926537,-47.991058,89.700844,126.839928,148.398376,174.257187,98.405960,-0.904401,91.046577,99.183685,189.548477,290.828796,92.787491,-125.907715,116.780754,99.724854,132.249741,288.035706,903.444885,70.494545,189.902817,931.791626,375.474701,132.217682,82.492111,-20.858244,-135.800034,84.827744,111.119614,195.033844,998.004272,89.536476,558.390076,82.831100,-310.287964,289.433533,85.281067,97.295280,289.984253,1031.260132,16.204548,151.209793,1039.600098,,,
5,160.442642,235.697205,360.789642,-19.778803,124.976883,598.909851,142.514221,246.853729,607.292419,-32.316132,96.944901,365.192413,89.998428,156.162262,664.810059,134.476166,238.642944,661.883545,-10.106725,137.067856,679.253113,92.285873,158.940598,770.192871,91.094673,160.129745,843.051636,175.450333,221.364975,119.948204,-47.945351,89.690575,126.855057,148.393387,174.293060,98.421227,-0.914027,91.051971,99.173210,189.581207,290.830414,92.807152,-125.918060,116.778328,99.724884,132.284485,287.868774,903.480225,70.491669,189.730408,931.815063,375.478760,132.217300,82.530930,-20.855968,-135.798874,84.840302,111.197388,194.831741,998.048584,89.545532,558.391968,82.800003,-310.312134,289.433655,85.233559,97.459816,289.806000,1031.282959,16.353598,151.052933,1039.660889,-45.475468,138.270172,900.931091
6,160.451309,235.693863,360.830231,-19.752632,124.961983,598.914124,142.516693,246.770187,607.308350,-32.375759,96.961754,365.195892,88.528931,156.303421,664.385681,134.406723,238.565781,661.869995,-10.102061,136.993195,679.264160,92.314552,158.813599,770.186829,91.084396,159.959610,843.034851,175.459656,221.370392,119.952324,-47.943027,89.676720,126.873604,148.395020,174.314163,98.424080,-0.862081,91.028404,99.170418,189.568466,290.835175,92.807327,-125.945984,116.785271,99.720963,132.392242,287.669220,903.498474,70.537354,189.565720,931.827820,375.439362,132.254410,82.570778,-20.906776,-135.787704,84.861771,111.394783,194.612061,998.092773,89.533066,558.386169,82.775650,-310.322357,289.436615,85.186272,97.678276,289.609558,1031.309814,16.440628,150.912918,1039.691895,-45.089199,138.580444,900.665833
7,160.449799,235.694305,360.860199,-19.746252,124.926224,598.920776,142.502136,246.709824,607.323975,-32.367584,96.935394,365.199646,87.901237,156.302444,664.174011,134.247208,238.545273,661.810181,-10.108951,136.925842,679.273743,92.359985,158.701370,770.189880,91.000191,159.834183,843.001709,175.481628,221.387756,119.945328,-48.016247,89.672409,126.913261,148.387589,174.321838,98.436020,-0.815750,91.008820,99.177689,189.582672,290.835114,92.816109,-125.956581,116.800163,99.722527,132.522293,287.458099,903.512146,70.619118,189.408783,931.840820,375.434906,132.280914,82.574799,-20.964819,-135.759506,84.881172,111.536812,194.409012,998.142273,89.511169,558.376953,82.751846,-310.297852,289.454681,85.168861,97.879662,289.392181,1031.342041,16.524113,150.743973,1039.744385,-44.938862,138.635178,900.644958
8,160.438858,235.682343,360.868073,-19.745203,124.853470,598.933167,142.512482,246.640472,607.339417,-32.343323,96.900253,365.204590,88.014549,156.205612,664.179138,134.303589,238.467743,661.789307,-10.125113,136.881653,679.268921,92.295517,158.621033,770.170532,90.979813,159.693405,842.975769,175.483047,221.395630,119.937088,-48.104843,89.675682,126.949631,148.366074,174.317535,98.460312,-0.802751,91.015442,99.174835,189.611923,290.833344,92.835289,-125.942841,116.809845,99.721184,132.703049,287.231476,903.536682,70.840622,189.223114,931.867798,375.473145,132.266632,82.570358,-21.009686,-135.720215,84.895973,111.682106,194.196594,998.172974,89.523758,558.379761,82.741508,-310.280609,289.468903,85.168350,98.041733,289.184082,1031.371460,16.638660,150.555771,1039.807495,-44.993633,138.871078,900.575562
9,160.420502,235.660645,360.862732,-19.727112,124.818932,598.940674,142.563217,246.569046,607.356201,-32.369026,96.893890,365.208282,87.953262,156.161133,664.201111,134.533035,238.323227,661.860840,-10.145006,136.844147,679.247314,92.171280,158.533401,770.131714,91.040749,159.521255,842.950623,175.462326,221.382019,119.944756,-48.177868,89.652756,126.940826,148.337143,174.307144,98.468559,-0.790931,91.010452,99.162636,189.612000,290.832092,92.819923,-125.933777,116.812401,99.714752,132.935181,286.987762,903.556274,71.202103,189.017670,931.898682,375.497070,132.255249,82.576233,-21.043928,-135.710480,84.904366,111.876183,193.982849,998.187256,89.550804,558.379456,82.769470,-310.280029,289.461731,85.169220,98.214844,288.991119,1031.401978,16.724401,150.378433,1039.851563,-45.062740,139.136734,900.494141
10,160.405762,235.652039,360.865845,-19.727112,124.818932,598.940674,142.621338,246.482651,607.376099,-32.397385,96.897461,365.204468,87.844551,156.133392,664.218201,134.621094,238.236023,661.916748,-10.160781,136.799240,679.237244,92.108192,158.421356,770.108032,91.092934,159.368118,842.907593,175.434097,221.373123,119.961044,-48.204994,89.592529,126.937233,148.313965,174.318558,98.446129,-0.795418,91.002533,99.152206,189.555801,290.839142,92.787384,-125.922943,116.798874,99.725571,133.038956,286.789459,903.548767,71.467323,188.838303,931.919495,375.506500,132.256012,82.577133,-21.011238,-135.748383,84.887321,112.028877,193.776688,998.207031,89.559837,558.374939,82.796936,-310.279175,289.453339,85.166130,98.390144,288.798645,1031.437500,16.838465,150.204559,1039.911255,-44.941051,138.743546,900.736145
