arthur-kne-13
Date:,2012/07/09
Time:,14:42:20
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:L5,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:RTOE,,,Patient1:C7,,,Patient1:LTOE,,,Patient1:BHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:RBHD,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:LBHD
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-17.628134,128.261154,597.815796,147.271439,244.964951,602.987000,90.934769,153.892303,656.699280,165.622726,228.751846,358.622772,-30.456137,97.410332,364.918457,140.784058,234.345886,657.366577,-6.425512,137.109085,677.460022,101.590546,147.205200,760.115112,104.479462,140.467484,831.247742,178.306305,216.107315,117.657104,-45.060791,86.011467,126.137978,151.025436,169.430328,94.237785,1.940963,87.190331,95.959709,-31.392466,119.321648,895.684814,159.826019,254.032547,904.476257,192.006851,286.208862,92.609482,88.893852,157.833069,926.908142,-122.898216,113.734802,101.650879,116.693741,143.432617,1003.568848,377.292664,128.469543,72.096611,-19.672047,-138.729950,74.263466,142.206375,238.216309,1028.898926,92.683281,554.843811,94.781853,-308.064270,286.465240,97.150192,13.375475,144.219437,1047.639648
2,-17.571810,128.198257,597.852966,147.288010,244.902176,602.998779,90.841820,153.916031,656.763916,165.669922,228.640610,358.620239,-30.345453,97.272415,364.891418,140.863266,234.287430,657.390198,-6.427898,137.113754,677.502197,101.535149,147.278122,760.149109,104.540298,140.597229,831.299927,178.356628,216.074615,117.635773,-44.993500,85.910851,126.124542,151.070236,169.387100,94.219826,1.979038,87.185684,95.929123,-31.509375,119.377708,895.669250,159.577423,254.229050,904.397217,192.046890,286.180786,92.592941,88.837502,158.017700,926.918945,-122.893829,113.684357,101.655510,116.624290,143.516281,1003.433472,377.296173,128.468414,72.063774,-19.682915,-138.750458,74.222916,142.194016,238.230743,1028.859863,92.696190,554.814758,94.882217,-308.028748,286.462524,97.231140,13.363447,144.144608,1047.561646
3,-17.165014,127.690285,598.052429,147.290344,244.841339,602.997192,90.790176,153.884674,656.807800,165.727509,228.536682,358.631226,-30.205835,97.104973,364.888153,140.793869,234.297028,657.395142,-6.446529,137.119858,677.514832,101.490532,147.342560,760.191772,104.503914,140.698486,831.354736,178.338440,216.038040,117.639778,-44.957790,85.858360,126.075294,151.119827,169.362198,94.211533,2.044366,87.148552,95.908638,-31.627960,119.341927,895.677795,159.433197,254.385513,904.411987,192.075348,286.173248,92.597832,88.755516,158.183060,926.925415,-122.849373,113.678040,101.643288,116.579590,143.580185,1003.289734,377.348572,128.459396,72.019844,-19.688478,-138.783218,74.165001,142.151123,238.307144,1028.842651,92.706406,554.802307,94.940216,-307.992279,286.454590,97.306206,13.453690,144.046997,1047.481934
4,-16.328423,126.719772,598.417908,147.308411,244.785614,602.993652,90.782509,153.826782,656.843140,165.793472,228.450684,358.640930,-30.045942,96.939865,364.887878,140.729874,234.299637,657.392517,-6.492907,137.133133,677.533447,101.494354,147.389816,760.239380,104.458282,140.801498,831.419250,178.298019,216.034973,117.650597,-44.924953,85.818611,126.050011,151.151321,169.344177,94.199181,2.134271,87.080276,95.923035,-31.709719,119.386894,895.668762,159.350800,254.544083,904.427734,192.086334,286.155334,92.590714,88.705254,158.328461,926.927979,-122.807602,113.681129,101.627136,116.552040,143.648071,1003.139648,377.419159,128.441193,71.991638,-19.656015,-138.807465,74.120422,142.079498,238.363739,1028.834351,92.718994,554.772522,94.966591,-307.974762,286.453064,97.340904,13.611377,143.932190,1047.397217
5,-15.864382,126.132042,598.591980,147.324524,244.731415,603.013367,90.781540,153.796173,656.879517,165.876846,228.374268,358.630035,-29.961922,96.807823,364.873413,140.791534,234.247742,657.417786,-6.507730,137.143845,677.583740,101.502617,147.434479,760.288025,104.407272,140.913010,831.478821,178.285736,216.043182,117.643715,-44.914799,85.779488,126.054657,151.149628,169.334793,94.185448,2.182892,87.037628,95.934914,-31.549698,119.682190,895.549377,159.259094,254.698914,904.414490,192.101379,286.123383,92.591354,88.661133,158.456879,926.933533,-122.810066,113.673256,101.621658,116.508049,143.752396,1002.993530,377.447845,128.420792,71.974487,-19.615862,-138.821075,74.106766,142.023788,238.405136,1028.833008,92.755379,554.751282,94.989479,-307.983063,286.437653,97.351692,13.671934,143.877716,1047.328491
6,-17.081570,127.468544,598.064026,147.323990,244.673691,603.043701,90.738701,153.784637,656.925598,165.934906,228.332260,358.612122,-29.957407,96.683868,364.868103,140.852844,234.194733,657.456055,-6.481607,137.147339,677.620422,101.407562,147.485672,760.344788,104.376839,141.018768,831.535645,178.287872,216.042740,117.627701,-44.925156,85.763596,126.029648,151.144882,169.335266,94.172455,2.141309,87.023506,95.910301,-31.173746,120.143524,895.322388,159.158295,254.849899,904.427124,192.114288,286.119568,92.585335,88.603577,158.580154,926.959534,-122.804405,113.670578,101.629959,116.446953,143.838837,1002.868347,377.482208,128.399933,71.977699,-19.616873,-138.824783,74.102158,142.011826,238.474243,1028.831909,92.785843,554.764954,94.973221,-307.981598,286.424469,97.363480,13.662640,143.874329,1047.278198
7,-17.475544,127.893494,597.858093,147.333710,244.614182,603.071167,90.658676,153.781128,656.985840,165.964081,228.301971,358.613037,-29.928301,96.572136,364.876099,140.894974,234.140396,657.505249,-6.479919,137.147018,677.635315,101.364624,147.512512,760.406799,104.373772,141.096252,831.586853,178.286301,216.047348,117.619247,-44.921463,85.741089,126.040787,151.171127,169.338593,94.176270,2.094265,87.011208,95.886650,-31.036488,120.438728,895.213806,159.114792,254.986938,904.434875,192.147568,286.155212,92.583069,88.549774,158.708603,927.009033,-122.797455,113.667778,101.644661,116.396652,143.917648,1002.771790,377.529022,128.394470,71.996941,-19.614460,-138.817657,74.109108,142.008148,238.520142,1028.823120,92.770897,554.793091,94.927902,-307.967316,286.430847,97.360405,13.671976,143.875214,1047.240112
8,-17.436520,127.839340,597.865723,147.352921,244.544968,603.101868,90.661522,153.745453,657.048157,165.973251,228.265823,358.612640,-29.910286,96.485054,364.866882,140.948776,234.089218,657.554504,-6.504974,137.145523,677.647522,101.464828,147.502655,760.459656,104.371140,141.150101,831.652039,178.274628,216.052917,117.613586,-44.920807,85.684143,126.066254,151.207687,169.350830,94.199409,2.081215,87.015602,95.863663,-31.129219,120.597748,895.244507,159.152298,255.094772,904.452637,192.160492,286.187836,92.585922,88.363365,158.863495,927.049500,-122.834702,113.670670,101.633766,116.400192,144.024216,1002.685425,377.508606,128.407852,71.992996,-19.613571,-138.809464,74.119667,141.968887,238.552185,1028.809082,92.709053,554.810425,94.907333,-307.974396,286.416901,97.333130,13.735077,143.850220,1047.225952
9,-17.420372,127.766472,597.895325,147.378494,244.476654,603.138855,90.722267,153.686905,657.102722,165.848007,228.287796,358.562927,-29.847672,96.355995,364.864594,140.962173,234.069016,657.580994,-6.527352,137.136765,677.671814,101.467812,147.514542,760.519897,104.206917,141.248825,831.720459,178.320587,216.052780,117.646088,-44.864773,85.643028,126.094696,151.235519,169.379944,94.231018,2.071790,87.018562,95.851013,-31.225243,120.771935,895.278809,159.194687,255.205185,904.538940,192.118027,286.204315,92.569733,88.062386,159.038895,927.080322,-122.741959,113.618393,101.645935,116.423912,144.123627,1002.600037,377.467865,128.428574,72.026917,-19.615421,-138.791992,74.171616,141.905624,238.621796,1028.786987,92.665337,554.812012,94.910004,-307.906158,286.400055,97.301636,13.830409,143.797546,1047.201416
10,-17.414688,127.714462,597.888184,147.416458,244.431976,603.185364,90.709129,153.660385,657.156372,165.674164,228.362473,358.492310,-29.671265,96.205124,364.887421,141.089859,234.012222,657.630676,-6.547388,137.119263,677.706909,101.319138,147.571442,760.585022,103.878136,141.371658,831.769592,178.439560,216.068359,117.698494,-44.707508,85.648994,126.160881,151.283249,169.396057,94.239075,2.087708,86.996407,95.842644,-31.308268,120.867020,895.304504,159.223846,255.303879,904.633057,192.063797,286.224396,92.558861,87.879868,159.202072,927.117432,-122.541557,113.515755,101.685219,116.302490,144.235168,1002.512329,377.431458,128.428497,72.048920,-19.576315,-138.791046,74.227432,141.849258,238.704742,1028.759766,92.670143,554.801392,94.893524,-307.852722,286.413910,97.247765,13.756566,143.849503,1047.169556
