arthur-std-03
Date:,2012/07/09
Time:,14:34:12
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
200.000000,Hz
,Patient1:L5,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD,,,Patient1:RBHD,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:LBHD,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:LTRO
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-31.178307,262.846087,579.088343,26.798041,358.709961,519.933548,20.140559,347.782259,572.346681,-122.499038,245.111226,591.864308,-13.107154,262.619856,679.075913,58.512272,344.551568,279.263917,-147.681947,195.701690,284.100584,-10.708289,260.984411,753.720938,-144.446796,233.442518,809.520103,27.092116,388.025774,821.628637,-32.904843,287.216482,845.199998,3.396167,281.538658,911.622473,6.285608,379.113621,938.902766,-169.614123,181.133371,45.515343,86.033372,344.342578,39.014081,-96.542591,258.483148,957.681033,55.489077,301.349644,16.944510,-123.769880,184.037942,18.202971,107.907780,413.212520,11.247882,-249.105988,205.790257,17.732943,,,
2,-31.478056,262.990005,579.037592,26.800082,358.839640,519.967822,19.893676,347.942738,572.332369,-121.532993,244.724561,592.122321,-13.113444,262.710792,679.070044,58.406976,344.653947,279.279676,-147.641329,195.723826,284.121788,-10.772636,261.110090,753.696764,-144.489941,233.568614,809.531285,27.034157,388.213128,821.579050,-32.935401,287.356265,845.181278,3.381945,281.670437,911.575896,6.253932,379.249072,938.803289,-169.606307,181.195849,45.538715,86.038522,344.348697,39.048313,-96.584101,258.643503,957.699703,55.496952,301.363406,16.934643,-123.820526,184.023585,18.245978,107.957270,413.222112,11.255907,-248.876630,205.636311,17.708485,,,
3,-31.617483,263.089829,579.017685,26.699941,358.951517,519.949638,19.712330,348.103021,572.320660,-121.626291,244.808358,592.026379,-13.183064,262.823946,679.050586,58.342657,344.760042,279.268179,-147.603176,195.777487,284.150674,-10.798931,261.281663,753.688958,-144.359359,233.618125,809.573326,26.972548,388.386144,821.560780,-32.940689,287.499591,845.155099,3.309335,281.824057,911.535701,6.147952,379.418576,938.752532,-169.576206,181.207380,45.519940,86.030989,344.356797,39.048480,-96.543667,258.762735,957.719445,55.481270,301.377226,16.932669,-123.839857,184.016670,18.256131,107.948505,413.228720,11.278974,-248.961814,205.699573,17.705088,,,
4,-31.657942,263.210914,579.015956,26.602517,359.038780,519.920933,19.602632,348.226786,572.330253,-121.685864,244.864715,591.921564,-13.369640,262.963719,679.015270,58.314333,344.851240,279.279593,-147.635380,195.818243,284.161871,-10.848295,261.448472,753.691480,-143.884294,233.516159,809.700756,26.826382,388.556587,821.541265,-32.885705,287.632367,845.140660,3.112440,281.985668,911.495488,6.040931,379.590511,938.729923,-169.567646,181.215110,45.514120,86.018289,344.369550,39.035131,-96.424626,258.869395,957.747131,55.481207,301.376627,16.941231,-123.814423,184.021961,18.246830,107.897266,413.247849,11.271108,-248.958348,205.715956,17.708375,,,
5,-31.703707,263.362895,579.013543,26.557856,359.137884,519.921415,19.497363,348.346467,572.343782,-121.986284,245.071391,591.973501,-13.482191,263.123801,679.010115,58.286004,344.913814,279.326677,-147.604206,195.835777,284.180734,-10.905257,261.585747,753.691921,-144.330175,233.925166,809.568381,26.582986,388.747567,821.523053,-32.819767,287.765977,845.144877,2.930838,282.144782,911.476192,5.961093,379.736793,938.705117,-169.585055,181.237005,45.532520,86.020635,344.376875,39.042164,-96.352932,259.030391,957.772954,55.480586,301.358890,16.949155,-123.805297,184.025482,18.243333,107.906633,413.267671,11.232956,-248.868540,205.630955,17.705126,-133.571379,235.502998,515.344583
6,-31.786908,263.501542,579.014452,26.504296,359.245643,519.923240,19.405425,348.512409,572.322367,-122.480655,245.390458,591.955691,-13.497755,263.273162,679.021044,58.214318,344.980313,279.355677,-147.629388,195.890980,284.183369,-10.893750,261.742600,753.688833,-144.521352,234.109297,809.518910,26.426824,388.930834,821.507792,-32.743437,287.909053,845.166034,2.876614,282.309217,911.460114,5.907985,379.882193,938.675988,-169.604920,181.269275,45.525975,86.012838,344.375335,39.068807,-96.342190,259.227368,957.807311,55.449716,301.345910,16.941559,-123.807199,184.036786,18.260722,107.964859,413.261064,11.246233,-248.964872,205.675054,17.713110,-134.063929,236.201832,515.117931
7,-31.909877,263.614323,579.026788,26.422458,359.363828,519.928421,19.343263,348.688176,572.286921,-122.642003,245.526463,591.841670,-13.528910,263.403363,679.022937,58.130912,345.050193,279.372465,-147.729181,195.980153,284.171046,-10.880999,261.922854,753.686717,-144.595195,234.218794,809.504305,26.372895,389.109020,821.490346,-32.721457,288.072281,845.177123,2.870523,282.478315,911.428004,5.864531,380.063896,938.640029,-169.609424,181.165807,45.563852,85.933751,344.387325,39.093176,-96.348491,259.424159,957.816124,55.412116,301.344042,16.939408,-123.805276,184.049078,18.289440,107.972547,413.243238,11.278395,-249.064798,205.756769,17.716632,-134.292671,236.510564,515.026002
8,-31.995255,263.739351,579.044073,26.339763,359.511475,519.936160,19.273104,348.845157,572.257149,-122.582657,245.561877,591.794922,-13.571047,263.540416,679.030500,58.083071,345.122616,279.373742,-147.693384,196.043665,284.182795,-10.905203,262.104323,753.699058,-144.647008,234.335183,809.503472,26.318703,389.283418,821.477436,-32.810490,288.249367,845.150547,2.848459,282.646885,911.399350,5.815524,380.267744,938.607950,-169.599095,181.006122,45.636886,85.811144,344.420215,39.080155,-96.362650,259.590897,957.810475,55.395475,301.376141,16.954246,-123.814768,184.044714,18.303998,107.922538,413.265179,11.258286,-249.099574,205.773765,17.702765,-134.199196,236.391759,515.081266
9,-32.037562,263.884906,579.050624,26.267951,359.664621,519.920186,19.202025,349.003537,572.235154,-122.709836,245.697809,591.848572,-13.588817,263.677602,679.031604,58.056738,345.188086,279.366275,-147.654128,196.073142,284.194332,-10.928738,262.281306,753.713098,-144.674177,234.455627,809.523212,26.093739,389.482590,821.435044,-32.907940,288.426511,845.134192,2.833713,282.834484,911.378583,5.807416,380.462599,938.590139,-169.569056,181.145331,45.616275,85.738299,344.438911,39.057452,-96.320494,259.707907,957.831603,55.401385,301.407143,16.967859,-123.817101,184.048701,18.299760,107.854080,413.290351,11.248411,-249.136550,205.774289,17.692299,-134.096217,236.233504,515.161381
10,-32.041190,264.000925,579.063269,26.190258,359.809833,519.898484,19.139454,349.140285,572.230143,-122.861749,245.848322,591.903941,-13.613167,263.802105,679.051206,58.039181,345.249164,279.369454,-147.684471,196.093738,284.202759,-10.954790,262.434864,753.713502,-144.726147,234.588620,809.531646,25.762268,389.712284,821.361763,-32.941693,288.610164,845.152993,2.872521,283.036362,911.360809,5.839601,380.645450,938.554172,-169.556423,181.354662,45.581251,85.784409,344.427904,39.082807,-96.254511,259.853325,957.839580,55.396676,301.399359,16.976251,-123.817749,184.064888,18.297576,107.826275,413.269960,11.250338,-249.119711,205.766512,17.702288,-134.296117,236.522000,515.110410
11,-31.955880,264.099978,579.088936,26.082426,359.971814,519.884617,19.169305,349.237492,572.241394,-122.946012,245.953566,591.906295,-13.677602,263.926370,679.094467,58.015478,345.345077,279.375086,-147.701773,196.117022,284.216896,-10.994751,262.573649,753.714024,-144.787862,234.711820,809.530587,25.646595,389.879866,821.315887,-32.937315,288.786033,845.166313,2.927912,283.203653,911.344344,5.857082,380.836490,938.498619,-169.630425,181.404781,45.588275,85.876324,344.426556,39.113816,-96.336514,260.111472,957.820228,55.377764,301.382724,16.992718,-123.806712,184.082759,18.308078,107.865267,413.247631,11.234895,-249.073883,205.769360,17.705794,-134.488203,236.848697,515.035742
