bleuenn-ank-01
Date:,2012/11/24
Time:,11:47:46
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LKNE,,,Patient1:LASI,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:LSHO,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:LTOE,,,Patient1:BHD,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:BALAVG,,,Patient1:BALARG,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:RTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,18.792456,283.644989,679.638306,-106.489212,337.810455,651.121704,113.810585,361.117645,639.611572,61.238930,299.891479,707.875610,-122.946739,301.407806,389.596649,-64.736931,304.123383,728.936218,127.436501,324.022614,384.482635,12.650821,266.736481,826.314392,12.646735,256.428345,879.846069,148.738831,292.655975,121.060631,-152.238266,269.657013,116.323212,-117.593407,313.667450,981.421326,107.264397,255.118607,95.308571,-109.830215,247.376389,86.595657,129.092987,334.065735,990.066528,8.027747,288.619232,1010.496155,-187.354904,348.117645,94.352608,10.231343,297.000122,1064.757568,-237.480804,171.059128,75.383530,247.933792,180.005264,76.584564,-245.092545,496.780090,85.170677,239.917099,507.058533,85.518082,-70.352020,362.685303,1093.219116,88.673149,351.867615,1094.939697,,,
2,18.539179,283.175232,679.695251,-106.615936,337.365021,651.140747,113.635689,360.496277,639.665649,60.988953,299.194122,707.933594,-123.179878,301.317505,389.536957,-64.892456,303.729736,729.022034,127.286102,323.782867,384.416595,12.438495,266.513763,826.544250,12.503645,256.282257,880.105347,148.714615,292.417999,121.040375,-152.273422,269.507172,116.273239,-117.656082,314.091705,981.713867,107.255081,254.950058,95.158760,-109.856842,247.185303,86.460777,129.063232,334.237762,990.022095,8.039818,288.691559,1010.574158,-187.334747,348.045349,94.399872,10.367409,297.051910,1064.392334,-237.512222,170.881989,75.106194,247.913528,179.917435,76.287987,-245.129623,496.616608,85.482300,239.955597,506.860779,85.843307,-70.195679,362.636993,1093.300659,88.819672,351.786041,1094.878418,,,
3,18.298826,282.689758,679.746277,-106.786880,336.959015,651.162659,113.412743,359.989929,639.686951,60.752861,298.577057,707.987122,-123.423859,301.223389,389.484802,-65.062729,303.414734,729.093262,127.141808,323.578979,384.379700,12.242548,266.274567,826.753113,12.363278,256.154877,880.331238,148.673859,292.187225,120.995308,-152.296692,269.361603,116.191559,-117.700096,314.485321,982.026306,107.223862,254.770462,95.027840,-109.902321,247.039307,86.345406,129.050415,334.422394,989.955139,8.070634,288.794891,1010.627380,-187.324295,347.909729,94.457893,10.549551,297.096100,1063.945313,-237.536758,170.736938,74.848778,247.902954,179.776810,76.004761,-245.109970,496.459503,85.758217,239.967926,506.709717,86.101128,-70.057014,362.494141,1093.356567,88.981049,351.659790,1094.819824,,,
4,18.051031,282.220001,679.775330,-106.945930,336.641205,651.165710,113.106003,359.594574,639.680969,60.508602,298.042267,708.000549,-123.648125,301.136108,389.442566,-65.253075,303.117310,729.143860,127.028999,323.336792,384.363098,12.084980,266.028229,826.931824,12.224599,256.052002,880.518066,148.631790,291.988525,120.920876,-152.318466,269.245483,116.095734,-117.697357,314.805420,982.340027,107.173759,254.602814,94.881607,-109.921738,246.875412,86.224838,129.037750,334.582642,989.886536,8.123001,288.869751,1010.666260,-187.394989,347.635590,94.591438,10.745506,297.098907,1063.460205,-237.570648,170.634323,74.595749,247.885941,179.647736,75.766022,-245.081360,496.324371,86.000519,239.974640,506.540009,86.362854,-69.945526,362.276825,1093.384277,89.133705,351.503265,1094.803223,,,
5,17.775280,281.799591,679.771362,-107.094162,336.407135,651.139465,112.822861,359.155853,639.651062,60.264862,297.581787,707.981873,-123.869713,301.059723,389.376160,-65.448288,302.798096,729.185242,126.949532,323.051025,384.313995,11.936272,265.816071,827.067810,12.095085,255.923248,880.685364,148.595154,291.792267,120.838943,-152.350021,269.083771,116.005905,-117.649315,315.026581,982.614746,107.102539,254.459793,94.740623,-109.935783,246.683670,86.093315,129.058624,334.690430,989.813782,8.180145,288.901489,1010.683777,-187.390503,347.424866,94.670807,10.928620,297.018280,1062.971069,-237.621613,170.527344,74.347046,247.864777,179.547333,75.539513,-245.089920,496.208557,86.218346,239.977005,506.395599,86.656013,-69.866249,362.004822,1093.367065,89.269669,351.310303,1094.792969,,,
6,17.482286,281.431580,679.728821,-107.270760,336.206238,651.127930,112.622963,358.650726,639.641418,60.064999,297.167603,707.963684,-124.064148,300.981537,389.314941,-65.613571,302.516449,729.213684,126.854507,322.822906,384.256805,11.786743,265.618378,827.169373,11.963261,255.794174,880.821655,148.577530,291.577393,120.778290,-152.373169,268.863739,115.920738,-117.579285,315.156006,982.834290,107.044716,254.292130,94.611679,-109.948540,246.458084,85.965477,129.115463,334.719330,989.735413,8.281622,288.905975,1010.660278,-187.276413,347.311340,94.683800,11.084922,296.900482,1062.490479,-237.636993,170.392624,74.098999,247.873245,179.404343,75.295135,-245.100189,496.100372,86.434692,239.951218,506.289520,86.965790,-69.812309,361.636261,1093.322388,89.368790,351.102081,1094.800781,186.062927,358.561584,92.403168
7,17.197729,281.088409,679.679993,-107.462959,336.010498,651.111511,112.488091,358.094971,639.645752,59.915653,296.760071,707.931641,-124.225731,300.901276,389.288635,-65.752090,302.295502,729.229431,126.759048,322.605865,384.210236,11.641367,265.414124,827.246887,11.861723,255.662811,880.909302,148.569565,291.337067,120.737793,-152.395096,268.681030,115.828453,-117.498817,315.209778,983.012146,107.034439,254.107681,94.472374,-109.939018,246.206833,85.819435,129.162277,334.679413,989.645996,8.389284,288.884979,1010.591553,-187.205658,347.212494,94.706039,11.233113,296.792755,1062.009399,-237.566010,170.260178,73.840858,247.882385,179.231644,75.031876,-245.086777,495.970581,86.662437,239.944061,506.133240,87.283447,-69.739769,361.233643,1093.243774,89.423172,350.890472,1094.829346,186.135315,358.251709,92.482376
8,16.963701,280.765778,679.629517,-107.622780,335.816223,651.066162,112.419746,357.532990,639.609619,59.772617,296.402191,707.876038,-124.393791,300.838104,389.240326,-65.886993,302.119385,729.227600,126.682182,322.381866,384.148956,11.509273,265.186035,827.289612,11.802813,255.489075,880.951416,148.530319,291.089172,120.676727,-152.412537,268.531799,115.729637,-117.411865,315.174957,983.150635,107.030693,253.929535,94.330154,-109.952568,246.017105,85.643005,129.187805,334.654877,989.519714,8.476059,288.834717,1010.482361,-187.207352,347.097778,94.738510,11.401997,296.651672,1061.493286,-237.506378,170.124435,73.590057,247.885117,179.076370,74.764000,-245.067871,495.795288,86.903435,239.970230,505.931519,87.603531,-69.652145,360.839935,1093.107300,89.451065,350.656616,1094.829590,185.957581,358.478943,92.457497
9,16.808943,280.492279,679.551514,-107.725479,335.654602,651.017578,112.361473,357.144897,639.534851,59.641907,296.123322,707.820129,-124.514648,300.765106,389.149231,-66.011467,301.967682,729.192993,126.633987,322.131012,384.074707,11.413733,264.978394,827.292419,11.756240,255.324829,880.960938,148.504227,290.855377,120.598236,-152.414276,268.361816,115.648979,-117.320663,315.088440,983.253723,107.024773,253.725113,94.184471,-109.980598,245.852310,85.460899,129.226685,334.649902,989.358582,8.573462,288.773682,1010.330994,-187.330841,346.781525,94.887871,11.567464,296.478882,1060.935059,-237.486282,169.960861,73.338654,247.940445,178.901794,74.519485,-245.051178,495.596649,87.176102,239.844513,505.869385,87.897133,-69.617256,360.394989,1092.955078,89.443703,350.418518,1094.822144,185.984650,358.229828,92.481148
10,16.719597,280.262634,679.474731,-107.800652,335.523193,650.969116,112.295845,356.961945,639.462402,59.578716,295.871124,707.754395,-124.582283,300.660919,389.067688,-66.099174,301.791107,729.133667,126.594200,321.857819,383.994995,11.356128,264.846954,827.276184,11.721338,255.205536,880.951355,148.572357,290.536194,120.599831,-152.407196,268.175690,115.577065,-117.235374,314.981567,983.328979,107.040176,253.487549,94.026169,-109.990639,245.653564,85.303169,129.270370,334.592529,989.191650,8.652523,288.699127,1010.183472,-187.460022,346.428772,95.044533,11.676222,296.307953,1060.393555,-237.465591,169.810852,73.059288,247.999313,178.733978,74.265114,-245.048355,495.413513,87.488541,239.559067,505.950195,88.147583,-69.636284,359.870026,1092.797607,89.391182,350.155945,1094.825684,185.923019,358.094055,92.492439
