bleuenn-ank-03
Date:,2012/11/24
Time:,11:54:39
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:T12,,,Patient1:LANK,,,Patient1:RANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:LTOE,,,Patient1:LSHO,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:BALAVG,,,Patient1:BALARG,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:T7,,,Patient1:RTOE,,,Patient1:BHD,,,Patient1:T7-1
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-116.743473,291.405566,387.006927,133.819195,299.099556,381.360252,120.384482,310.364389,648.407694,-99.243017,301.713773,666.817254,22.261168,246.076206,704.377687,67.278912,272.744131,736.572435,-64.052924,300.566794,749.265244,10.623939,365.565079,843.240480,-137.705868,314.209263,116.650130,154.103213,337.793044,121.173578,114.475486,300.537263,98.064083,-96.666106,294.733474,90.198516,-172.052307,398.507418,91.027016,-131.044541,494.293189,888.297989,119.346923,532.492102,895.652961,-2.795594,479.561569,937.182753,-239.641520,222.456340,83.109388,245.927297,220.162579,84.412133,-239.450000,548.502804,75.430145,245.530984,547.024482,76.274835,-93.106229,519.198273,994.902357,67.287495,524.280667,997.235388,,,,,,,,,,,,
2,-116.806330,289.081691,386.578348,133.743727,297.851870,381.078821,120.521462,307.911532,648.253240,-99.524359,300.688195,666.443155,21.939845,245.049424,705.015066,67.054020,272.164920,736.910072,-64.187123,301.092551,748.783852,10.334011,367.766344,841.177064,-137.673899,314.017915,116.592344,154.140516,337.578473,121.132779,114.555861,300.411880,98.014462,-96.749102,294.552646,90.091938,-171.762949,398.746596,91.228004,-131.440312,497.196340,882.197600,119.491664,534.237012,890.647076,-3.000875,481.897064,932.170331,-239.658723,222.461435,82.972118,245.921544,220.099934,84.277271,-239.403050,548.470796,75.543262,245.534258,547.009343,76.357103,-93.155562,521.345510,990.111882,67.411274,525.947299,992.030871,,,,,,,,,,,,
3,-116.874604,286.937903,386.140304,133.721607,296.564638,380.866723,120.541534,306.136636,648.056271,-99.749587,299.587751,666.119306,21.698235,244.029205,705.687952,66.872288,271.727878,737.245238,-64.279463,301.568780,748.327825,10.134485,369.922762,839.089963,-137.644864,313.847469,116.555666,154.198620,337.434948,121.118780,114.593782,300.394718,97.978994,-96.848060,294.440830,90.029155,-171.766669,398.701448,91.256164,-131.797657,499.426961,876.684615,119.928373,535.529357,885.853378,-3.209310,484.180838,927.242656,-239.669050,222.435391,82.904808,245.926515,220.075171,84.206891,-239.381773,548.447845,75.616736,245.566999,546.947112,76.422199,-93.199680,523.443182,985.318544,67.264631,528.083186,986.755636,,,,,,,,,,,,
4,-116.955169,285.230151,385.785552,133.871804,295.201432,380.738411,120.590687,304.617113,647.826923,-99.922738,298.338873,665.891810,21.594594,243.037309,706.404547,66.812963,271.425409,737.569969,-64.311224,301.877118,747.948999,10.008449,371.927646,836.986014,-137.643241,313.772843,116.538323,154.276658,337.475970,121.143526,114.620452,300.482671,98.042673,-96.965402,294.429753,90.013556,-171.904828,398.533873,91.149453,-132.093564,501.309784,871.678784,120.600843,536.494920,881.297830,-3.390464,486.344574,922.398445,-239.694654,222.465560,82.977699,245.933483,220.108565,84.281679,-239.385820,548.512045,75.520573,245.581348,546.935206,76.376135,-93.354387,525.335928,980.561463,67.099915,530.233945,981.599391,,,,,,,,,,,,
5,-117.084529,283.676014,385.574498,134.106853,293.884862,380.602667,120.693975,303.129960,647.528613,-100.009201,296.787874,665.751855,21.686275,242.122647,707.167877,66.915968,271.266321,737.847812,-64.284811,302.009146,747.637578,10.000455,373.833685,834.726726,-137.655242,313.877486,116.555187,154.333097,337.771120,121.215211,114.681933,300.693940,98.221543,-97.052759,294.512898,90.103630,-171.862113,398.692077,91.049932,-132.283275,503.043086,866.951114,120.929925,537.887989,876.669161,-3.531507,488.344873,917.679616,-239.717085,222.591314,83.278315,245.929081,220.230681,84.572274,-239.389819,548.667302,75.194353,245.534403,547.092807,76.101017,-93.514095,527.225957,975.909496,66.953755,532.333401,976.633548,,,,,,,,,,,,
6,-117.183783,282.063165,385.435450,134.160787,292.992769,380.360419,120.702690,302.039682,647.108622,-99.985693,294.911637,665.665002,21.972429,241.324714,707.919037,67.146480,271.245757,738.034700,-64.191626,301.979506,747.346225,10.057626,375.658744,832.333589,-137.679693,314.151066,116.616517,154.382331,338.274744,121.332110,114.793896,301.075373,98.487163,-97.134371,294.749894,90.331508,-171.775072,399.106503,91.009491,-132.389513,504.628375,862.393649,120.902378,539.772802,871.912514,-3.639638,490.198379,913.064608,-239.728659,222.832203,83.806703,245.844680,220.549580,85.087375,-239.370107,548.881111,74.630784,245.503537,547.389482,75.596634,-93.542194,529.235647,971.356681,66.854203,534.317358,971.834029,5.266632,411.701480,858.265105,186.606739,410.794649,88.901660,,,,,,
7,-117.192491,280.660834,385.285106,133.810624,292.866319,379.902737,120.637621,301.351786,646.624399,-100.172233,292.590377,665.567808,22.399815,240.589103,708.579029,67.470010,271.303388,738.141098,-64.056105,301.770201,747.058692,10.058014,377.282218,830.110740,-137.729699,314.573417,116.711766,154.496164,338.859349,121.470855,114.990260,301.526265,98.835743,-97.243667,295.179751,90.633872,-171.804124,399.518544,91.017223,-132.523559,506.163734,857.952633,120.832746,541.600729,867.267297,-3.759221,491.959292,908.605044,-239.735692,223.204507,84.485823,245.766415,221.015549,85.780203,-239.351745,549.192030,73.897147,245.511241,547.698948,74.942826,-93.595510,531.178617,966.878971,66.863643,536.029390,967.228344,5.269376,413.433867,855.304937,186.548334,411.393479,88.836902,,,,,,
8,-117.231336,279.490041,385.109782,133.272314,293.071716,379.289034,120.549016,300.872161,646.145755,-100.522233,290.072345,665.442221,22.886628,239.898425,709.087317,67.854451,271.366058,738.174666,-63.925379,301.472076,746.756147,10.027078,378.720851,828.077217,-137.819109,315.108120,116.806764,154.682850,339.359946,121.606502,115.254147,301.936063,99.187937,-97.321186,295.645519,90.970281,-171.775840,400.019528,91.010509,-132.705478,507.609281,853.620724,120.809483,542.987763,862.841924,-3.891519,493.642231,904.410169,-239.742792,223.644668,85.214935,245.828505,221.398182,86.591066,-239.340372,549.623840,73.172740,245.474123,548.033371,74.197918,-93.723237,533.073500,962.573540,66.765412,537.821563,962.730594,5.212850,415.056187,852.448302,186.629092,411.812590,88.769660,,,,,,
9,-117.401928,278.326721,384.906416,133.045982,292.697717,378.829946,120.423614,300.470410,645.679301,-100.579062,288.173708,665.315629,23.346846,239.282032,709.448862,68.206843,271.394813,738.133999,-63.810014,301.241260,746.419219,9.959723,380.031907,826.117707,-137.933870,315.607740,116.858250,154.890511,339.695830,121.707405,115.521014,302.280714,99.434204,-97.388856,296.031523,91.305713,-171.637328,400.583916,90.926921,-132.945129,508.882694,849.379593,120.834777,544.009377,858.572843,-4.024920,495.208736,900.461386,-239.754206,224.024964,85.845100,245.896107,221.698470,87.314393,-239.312058,550.026790,72.592215,245.424395,548.408531,73.534021,-93.799188,534.954073,958.497798,66.639561,539.555076,958.399909,5.093659,416.571672,849.714393,186.817429,412.042420,88.713468,,,,,,
10,-117.625503,277.180913,384.656965,133.032256,291.896339,378.524207,120.331658,299.925025,645.246804,-100.559329,286.820090,665.172057,23.668747,238.722977,709.705290,68.443753,271.362483,738.066708,-63.712575,301.109099,746.045307,9.819957,381.234915,824.282784,-138.051612,315.899830,116.849765,155.057813,339.860747,121.740616,115.734533,302.483737,99.541696,-97.524462,296.280254,91.517795,-171.538190,400.989168,90.813148,-133.291556,509.980421,845.266447,120.794975,545.103493,854.415475,-4.173702,496.653791,896.729018,-239.763448,224.253781,86.200741,245.886203,221.920174,87.691704,-239.293341,550.205017,72.248351,245.424725,548.641190,73.173805,-93.847963,536.743928,954.594510,66.568123,541.171280,954.429181,4.886048,417.959627,847.269453,186.640043,412.635167,88.524149,,,,,,
