BLEUENN G 14
Date:,2012/11/24
Time:,11:19:09
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:RTRO,,,Patient1:LTRO,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:C7,,,Patient1:RSHO,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:BALAVD,,,Patient1:BALARD,,,Patient1:BALAVG,,,Patient1:BALARG
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,126.954110,440.134373,633.722742,-92.636727,415.135463,647.138636,30.589377,367.502884,680.229954,74.838892,383.462646,706.180733,-24.908330,381.016516,715.886276,-115.769861,379.602742,385.734883,141.532992,382.137427,380.409381,33.349535,356.631544,821.918438,36.918010,345.334579,878.125573,-102.880955,402.039363,962.849729,167.613152,362.544478,120.762336,-162.141284,370.052118,113.341247,125.175186,329.941860,92.526607,-118.155786,355.771260,85.161148,23.796191,380.066042,1007.983909,142.209883,455.889935,992.351563,209.439247,430.849899,91.571662,-205.182521,451.168174,87.825965,26.405802,395.651727,1059.207095,-67.230112,450.902485,1068.934293,91.300834,466.343342,1088.917962,243.972447,688.918845,89.157340,236.830766,178.002562,72.740001,-228.925684,704.137834,87.595890,-254.158160,194.655709,70.780765
2,126.711308,440.116546,633.617782,-92.786686,415.049237,647.121676,30.376786,367.413509,680.116917,74.730245,383.127909,706.164210,-25.036592,380.784135,715.870919,-115.872377,379.479224,385.680527,141.441057,381.925426,380.369083,33.157112,356.419292,821.919269,36.820995,345.101893,878.118430,-103.015930,402.037941,962.845508,167.582394,362.444149,120.739823,-162.157043,369.955496,113.320283,125.132232,329.871839,92.464096,-118.204252,355.670547,85.087301,23.703624,379.822657,1007.966047,141.963124,455.634111,992.471071,209.515537,430.645469,91.624889,-205.271304,451.095246,87.863956,26.485229,395.282270,1059.156052,-67.148614,450.698825,1069.035347,91.384420,466.084123,1088.807574,243.761241,689.031996,89.415835,236.828846,177.980400,72.527238,-228.860240,703.987409,87.841639,-254.176589,194.595506,70.592213
3,126.551566,439.955263,633.560429,-92.916975,414.976223,647.096505,30.213818,367.246716,680.039958,74.616239,382.821197,706.142316,-25.143363,380.497887,715.848135,-116.017703,379.337665,385.663145,141.352251,381.686342,380.339964,32.998282,356.181282,821.902416,36.730481,344.844503,878.115338,-103.147439,401.981115,962.846318,167.588339,362.267624,120.719605,-162.191524,369.874168,113.278029,125.103086,329.775226,92.392526,-118.222567,355.562016,85.003052,23.637354,379.552372,1007.923530,141.753882,455.359021,992.618083,209.488409,430.625979,91.626035,-205.318942,450.895586,87.921710,26.549270,394.977449,1059.133346,-67.048956,450.396807,1069.148915,91.491057,465.765023,1088.726774,243.688972,689.018683,89.688392,236.830509,177.934183,72.297602,-228.817270,703.924653,88.042129,-254.193829,194.523341,70.395948
4,126.481204,439.677756,633.503530,-93.019707,414.902327,647.074984,30.114312,367.027388,679.997982,74.473071,382.676054,706.079702,-25.325981,380.433946,715.808511,-116.113589,379.147911,385.652486,141.263165,381.471626,380.321085,32.880537,355.963794,821.889801,36.629104,344.587917,878.106694,-103.268783,401.878597,962.845051,167.580988,362.122617,120.695303,-162.209332,369.753806,113.249966,125.062443,329.690292,92.314484,-118.254817,355.468780,84.910634,23.576443,379.276471,1007.893180,141.594426,455.029579,992.777507,209.383292,430.723285,91.592842,-205.350331,450.734698,87.936093,26.606615,394.675967,1059.100957,-66.952892,450.146919,1069.258320,91.615266,465.418790,1088.665503,243.669432,688.945031,89.917533,236.842744,177.863456,72.081583,-228.769188,703.844561,88.267531,-254.189929,194.447898,70.203603
5,126.440512,439.414731,633.457792,-93.105979,414.828640,647.048143,30.039081,366.844904,679.974330,74.374342,382.510964,706.031355,-25.479610,380.369508,715.789909,-116.171829,378.963183,385.641051,141.197335,381.264289,380.299894,32.774444,355.732639,821.883241,36.509311,344.375566,878.066363,-103.347616,401.768781,962.824147,167.559848,362.026273,120.660474,-162.218372,369.607724,113.219127,125.022667,329.619938,92.253113,-118.296762,355.376402,84.836027,23.495539,379.028123,1007.871944,141.493416,454.639638,992.931197,209.355850,430.704986,91.584483,-205.337386,450.689163,87.912159,26.655993,394.347944,1059.058800,-66.866606,449.929839,1069.369674,91.741215,465.067684,1088.590794,243.663802,688.870537,90.117634,236.850073,177.779275,71.885953,-228.714743,703.740019,88.531867,-254.193898,194.388460,70.023861
6,126.392895,439.148346,633.425764,-93.164257,414.766377,647.023543,29.970598,366.706793,679.972194,74.325132,382.244404,706.021296,-25.548601,380.170124,715.796929,-116.198144,378.780149,385.638882,141.165288,381.040894,380.264602,32.681975,355.454799,821.856156,36.377789,344.162587,878.005057,-103.398720,401.684862,962.797508,167.566244,361.869766,120.645255,-162.229078,369.496374,113.172990,125.004556,329.540014,92.197106,-118.325090,355.292747,84.769047,23.384262,378.806391,1007.850419,141.478121,454.200841,993.045015,209.406083,430.571082,91.600957,-205.324788,450.622686,87.941119,26.681763,394.011088,1059.028716,-66.764128,449.675221,1069.495301,91.879856,464.696261,1088.504199,243.667247,688.784921,90.335285,236.848696,177.711185,71.692578,-228.691336,703.693388,88.765037,-254.212173,194.339688,69.858201
7,126.348212,438.877590,633.383018,-93.188638,414.652757,647.000939,29.918145,366.530691,679.967937,74.296211,381.958866,706.007056,-25.618518,379.990551,715.790358,-116.201258,378.582024,385.640373,141.156935,380.794836,380.225894,32.594166,355.195629,821.810509,36.251285,343.896462,877.940787,-103.473591,401.585776,962.790361,167.482873,362.049215,120.560591,-162.240865,369.397260,113.139069,125.004247,329.476124,92.127035,-118.340349,355.180313,84.714413,23.290089,378.563465,1007.819018,141.544176,453.725368,993.126822,209.412266,430.588421,91.682273,-205.322479,450.559468,87.980682,26.687573,393.715352,1058.982774,-66.638556,449.449955,1069.617036,92.007375,464.320013,1088.400583,243.661788,688.684143,90.510077,236.847412,177.684333,71.524099,-228.713758,703.657366,88.932465,-254.199913,194.282195,69.717205
8,126.329780,438.620541,633.376846,-93.183337,414.479317,646.975219,29.895179,366.271988,679.934985,74.273593,381.685584,705.990377,-25.684999,379.820265,715.777114,-116.235849,378.439432,385.636414,141.154696,380.537316,380.179427,32.499262,354.969485,821.769260,36.111669,343.622260,877.842182,-103.564665,401.439897,962.795761,167.194268,362.976704,120.303413,-162.252332,369.311074,113.104409,124.997560,329.426585,92.061889,-118.353799,355.101583,84.679065,23.228343,378.292042,1007.768773,141.667928,453.233703,993.233788,209.347973,430.734372,91.723872,-205.273901,450.555098,87.965645,26.688352,393.462697,1058.928563,-66.543712,449.265804,1069.724912,92.104583,463.991360,1088.289356,243.670808,688.584475,90.623019,236.864206,177.656555,71.400746,-228.721286,703.610726,89.049655,-254.180009,194.229752,69.600590
9,126.314179,438.336640,633.395532,-93.168659,414.331483,646.947063,29.902733,365.994043,679.914753,74.258108,381.409320,705.989240,-25.712670,379.632532,715.774919,-116.262243,378.367078,385.617975,141.148055,380.285132,380.159143,32.427569,354.757162,821.736959,35.982233,343.390525,877.700772,-103.641521,401.282222,962.802199,167.323768,362.493395,120.390630,-162.272593,369.269508,113.065623,124.995131,329.402755,92.025800,-118.375696,355.060293,84.653364,23.160650,378.034850,1007.720540,141.832303,452.761673,993.359391,209.249759,430.750771,91.483270,-205.272719,450.495952,87.994092,26.708452,393.194620,1058.893390,-66.480674,449.071217,1069.847536,92.210380,463.673767,1088.210946,243.683632,688.538609,90.714335,236.871909,177.625986,71.305153,-228.721822,703.585610,89.150831,-254.192157,194.190517,69.513231
10,126.347485,437.949323,633.416141,-93.158684,414.214138,646.918747,29.905938,365.727952,679.914618,74.253091,381.115260,705.992126,-25.729680,379.426635,715.771001,-116.289242,378.331724,385.596318,141.162519,380.014631,380.163695,32.391886,354.545881,821.709285,35.896763,343.171012,877.568486,-103.703891,401.081635,962.811889,167.194268,362.976704,120.303413,-162.325333,369.267437,113.035945,125.006223,329.401591,92.022163,-118.391631,354.989262,84.639020,23.113542,377.776614,1007.690154,142.002378,452.393442,993.468290,209.376696,430.542172,91.760241,-205.308716,450.433763,88.038111,26.741521,392.900337,1058.885704,-66.393309,448.861566,1069.993292,92.340187,463.294311,1088.162850,243.682287,688.540513,90.772611,236.844928,177.620231,71.253405,-228.714398,703.546951,89.244511,-254.204345,194.169326,69.466795
