BLEUENN G 16
Date:,2012/11/24
Time:,11:22:20
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RTRO,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:RANK,,,Patient1:LSHO,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:RSHO,,,Patient1:LHEE,,,Patient1:C7,,,Patient1:LTOE,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:BALARD,,,Patient1:BALARG,,,Patient1:BALAVD,,,Patient1:BALAVG,,,Patient1:RTOE
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,29.332817,386.447906,681.780151,-95.099091,431.282654,647.532654,124.411079,458.655640,630.320374,73.104774,404.775848,706.871338,-26.792391,400.614838,717.146973,-116.856354,386.206726,386.834747,140.003784,388.724304,380.903564,27.872421,385.716431,824.891174,28.909212,378.028442,880.351807,166.721481,365.262451,120.997894,-106.268433,445.387329,971.232483,-161.905045,371.712067,114.478729,124.682556,331.005890,93.754654,151.183487,483.280792,974.964233,-118.217926,358.087769,86.693153,24.515173,413.969696,1005.518677,-205.664566,451.859070,89.364082,28.867306,418.371002,1053.868896,-55.184036,479.685608,1085.342529,105.826324,474.043579,1084.315308,236.409973,178.657516,74.614281,-254.553772,195.663437,72.913322,244.133942,689.669922,86.812813,-229.636734,704.014771,86.360916,,,
2,29.412483,386.411407,681.786133,-94.999313,431.212921,647.577271,124.521591,458.562286,630.322144,73.238754,404.698242,706.879028,-26.675383,400.550476,717.138367,-116.815598,386.221405,386.851593,140.024841,388.676514,380.869171,28.045820,385.714325,824.900085,29.036394,378.048645,880.326904,166.734863,365.265533,120.990211,-106.136490,445.433746,971.220520,-161.967972,371.677185,114.467140,124.709824,330.865875,93.694931,151.315277,483.435547,974.944946,-118.224220,357.994354,86.648163,24.657337,414.015991,1005.483521,-205.389847,452.100220,89.234375,29.017563,418.372559,1053.796387,-55.151417,479.578766,1085.304077,105.894272,474.043976,1084.320435,236.420288,178.633209,74.488838,-254.537140,195.647614,72.800438,244.115295,689.651550,86.917938,-229.113770,704.818054,85.772316,,,
3,29.503864,386.383057,681.824097,-94.904030,431.290161,647.571106,124.574051,458.573334,630.350281,73.339035,404.650909,706.928955,-26.554007,400.540131,717.168213,-116.784515,386.244904,386.859985,140.028244,388.671906,380.855530,28.147549,385.727631,824.942322,29.129917,378.142181,880.339478,166.918457,364.860291,121.132713,-106.015900,445.518127,971.237976,-162.016617,371.718384,114.451088,124.700226,330.844543,93.689041,151.454147,483.480988,974.951294,-118.264015,357.996063,86.615440,24.782366,414.078613,1005.457458,-205.353348,452.135864,89.256973,29.157366,418.354004,1053.735840,-55.054516,479.507050,1085.295532,105.956017,474.108398,1084.341553,236.425934,178.618561,74.470718,-254.532608,195.643448,72.780090,244.131226,689.638672,86.946808,-228.933029,705.106201,85.561081,,,
4,29.584042,386.395813,681.875977,-94.792084,431.381409,647.554382,124.628502,458.542572,630.399719,73.404671,404.660492,707.008972,-26.476894,400.555511,717.234558,-116.748917,386.289642,386.876617,140.041718,388.650757,380.880554,28.200031,385.746948,825.010071,29.216759,378.229248,880.390808,167.265167,364.073059,121.391273,-105.909813,445.631744,971.281372,-162.053345,371.800232,114.450241,124.686020,330.888611,93.731476,151.580887,483.489563,974.989136,-118.290565,358.016418,86.631340,24.876669,414.148163,1005.462280,-205.400040,452.095245,89.303398,29.289236,418.374634,1053.703003,-54.966824,479.448303,1085.302612,106.046974,474.141876,1084.391846,236.409988,178.645325,74.565498,-254.531830,195.668747,72.850830,244.141006,689.668457,86.853020,-228.910263,705.151672,85.463745,209.396561,431.297394,91.871178
5,29.626873,386.395996,681.920471,-94.674889,431.488098,647.562988,124.724037,458.443054,630.476807,73.449181,404.626862,707.082397,-26.451843,400.597351,717.270996,-116.687065,386.357574,386.897705,140.072235,388.645630,380.918274,28.245800,385.779907,825.082520,29.292845,378.268646,880.460083,167.460678,363.779785,121.533234,-105.801300,445.732483,971.342651,-162.082626,371.903015,114.480141,124.674721,330.974823,93.786331,151.667053,483.543396,975.051208,-118.298752,358.036469,86.646408,24.953806,414.233582,1005.485840,-205.384445,452.144287,89.291313,29.398029,418.449249,1053.695801,-54.903515,479.435699,1085.316284,106.187454,474.072571,1084.445313,236.425903,178.658676,74.756691,-254.526718,195.731995,72.990921,244.120758,689.731934,86.662834,-229.045258,704.912292,85.544373,209.404297,431.308105,91.878288
6,29.633816,386.387207,681.975342,-94.589516,431.615387,647.547913,124.820328,458.365173,630.584534,73.460831,404.550110,707.144653,-26.427101,400.667236,717.289673,-116.625389,386.466034,386.907654,140.114563,388.669403,380.951019,28.265532,385.849701,825.138245,29.331293,378.293884,880.534302,167.504669,363.933624,121.601814,-105.712090,445.869629,971.430847,-162.106445,372.019348,114.507050,124.661385,331.066620,93.860146,151.745026,483.584961,975.103027,-118.310738,358.071381,86.643196,25.015228,414.339874,1005.528992,-205.293289,452.318634,89.267990,29.486977,418.507629,1053.702881,-54.828743,479.445343,1085.346191,106.292946,474.068756,1084.502319,236.490875,178.651749,74.969391,-254.527939,195.802536,73.163696,244.107925,689.814758,86.451118,-229.392044,704.392456,85.850273,209.382828,431.393799,91.908463
7,29.611589,386.421783,682.028076,-94.534302,431.705872,647.495850,124.892021,458.327148,630.696594,73.448532,404.538483,707.210144,-26.430294,400.782196,717.324524,-116.590439,386.589966,386.930481,140.160538,388.679016,381.007080,28.253138,385.913147,825.217224,29.330194,378.344727,880.602539,167.575180,364.005432,121.709969,-105.672783,446.060364,971.531067,-162.123611,372.127991,114.504898,124.639000,331.141327,93.953575,151.826782,483.596863,975.149719,-118.346100,358.141602,86.649574,25.060156,414.447144,1005.584839,-205.240143,452.451996,89.311531,29.562984,418.557831,1053.735840,-54.754414,479.456207,1085.402588,106.348114,474.131775,1084.569458,236.517151,178.706238,75.152649,-254.527512,195.867935,73.346771,244.105392,689.918030,86.261948,-229.604385,704.166870,85.888168,209.324081,431.545013,91.945061
8,29.569302,386.494812,682.070313,-94.405563,432.143433,647.305969,124.941429,458.325836,630.804382,73.419418,404.568939,707.275757,-26.481941,400.951904,717.346313,-116.559074,386.704437,386.959442,140.203445,388.729889,381.066528,28.217079,385.959015,825.302368,29.299431,378.441040,880.662720,167.655869,364.004974,121.804932,-105.638741,446.259003,971.607056,-162.159195,372.270081,114.491463,124.630272,331.215729,94.030930,151.891647,483.572693,975.196045,-118.406418,358.260284,86.666611,25.102610,414.521729,1005.618530,-205.206863,452.540375,89.378723,29.618420,418.644348,1053.779663,-54.690334,479.510193,1085.456177,106.429489,474.141571,1084.612793,236.507523,178.773300,75.338142,-254.507523,195.922562,73.542046,244.093430,690.002075,86.097542,-229.607254,704.196594,85.694511,209.302490,431.630859,91.978180
9,29.533684,386.551117,682.110046,-94.190804,432.990234,646.989014,125.032074,458.272919,630.910400,73.372360,404.609253,707.339539,-26.532053,401.133850,717.344666,-116.512115,386.836487,386.965027,140.216080,388.839508,381.100616,28.146917,386.038818,825.346680,29.254038,378.544312,880.713501,167.693359,364.094543,121.867050,-105.600029,446.444153,971.662109,-162.195068,372.402161,114.500092,124.629791,331.279022,94.111557,151.952698,483.533203,975.233948,-118.429985,358.331696,86.701958,25.136827,414.582947,1005.643433,-205.193604,452.614288,89.417976,29.662615,418.718536,1053.816772,-54.612938,479.601013,1085.491333,106.481110,474.224457,1084.633667,236.517288,178.808289,75.523285,-254.490509,195.946884,73.725029,244.073486,690.065979,85.940514,-229.567001,704.186768,85.536232,209.306335,431.648499,92.029037
10,29.507805,386.627106,682.139648,-94.069595,433.550537,646.817810,125.101913,458.279633,630.977295,73.328087,404.694122,707.397949,-26.561111,401.293915,717.345337,-116.466812,386.951813,386.968872,140.218170,388.928436,381.112213,28.069641,386.162201,825.368469,29.196070,378.649597,880.744385,167.681442,364.294525,121.927490,-105.599121,446.672089,971.714600,-162.193283,372.484253,114.535683,124.599815,331.339447,94.223434,152.000122,483.517303,975.267029,-118.432739,358.355103,86.724510,25.133947,414.698090,1005.663818,-205.229309,452.630737,89.433136,29.698141,418.787537,1053.835449,-54.544750,479.721558,1085.521729,106.467690,474.385345,1084.651123,236.532822,178.857651,75.672134,-254.484711,195.960861,73.894791,244.056000,690.152466,85.750893,-229.543121,704.222046,85.369934,209.297623,431.666870,92.069580
