bleuenn-std-02
Date:,2012/11/24
Time:,11:05:17
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:RTRO,,,Patient1:L5,,,Patient1:RASI,,,Patient1:LASI,,,Patient1:LTRO,,,Patient1:T12,,,Patient1:RKNE,,,Patient1:LKNE,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:LBHD,,,Patient1:RBHD,,,Patient1:RANK,,,Patient1:RHEE,,,Patient1:LANK,,,Patient1:LHEE,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:RSHO,,,Patient1:C7
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,101.086670,133.589081,564.078552,2.616260,63.166035,616.718689,51.604931,78.142189,636.937439,-47.961304,75.131577,649.043823,-116.880119,117.762627,583.671326,9.419739,47.172119,750.231812,103.479050,81.129829,307.019958,-121.887596,76.067436,314.675323,11.721698,32.575729,804.025208,-115.883110,99.771004,914.373596,9.702977,61.076237,979.174927,-71.609825,123.324036,1014.386475,88.807350,108.846870,1018.535217,116.307098,62.861526,46.068340,64.488335,46.557941,21.140078,-137.737427,56.782955,41.049110,-91.564682,51.891602,14.256954,176.978027,107.257034,20.655346,-198.193329,120.142006,16.011690,,,,,,
2,101.111008,133.532440,564.087158,2.636283,63.046513,616.745605,51.659950,78.057564,636.950317,-48.147270,75.712822,649.107483,-116.777496,117.636230,583.655823,9.450764,47.143353,750.256897,103.527992,81.068718,307.010986,-121.864143,76.071136,314.663727,11.749542,32.515366,804.045349,-115.903603,99.791229,914.340881,9.690755,61.032394,979.189087,-71.606720,123.328506,1014.360840,88.810287,108.711586,1018.589844,116.338028,62.847073,46.010750,64.466377,46.582867,21.150187,-137.928268,56.683540,41.009693,-91.528343,51.895809,14.246690,176.971451,107.224991,20.650764,-198.387573,120.316315,15.865129,,,,,,
3,101.159676,133.419174,564.104370,2.669068,62.890572,616.761963,51.706650,77.947617,636.966797,-48.170570,75.835144,649.139160,-116.716095,117.557137,583.641235,9.479061,47.091221,750.275757,103.566940,81.016808,307.005859,-121.859688,76.068108,314.648132,11.776953,32.450996,804.091370,-115.911453,99.781090,914.310791,9.669374,60.996075,979.409302,-71.606178,123.347656,1014.323425,88.761864,108.717087,1018.645996,116.358276,62.826538,45.973537,64.463608,46.584530,21.151213,-138.114807,56.537781,40.988152,-91.583702,51.903854,14.245380,176.977112,107.216560,20.642569,-198.566574,120.469307,15.748851,,,,,,
4,101.208328,133.305969,564.121582,2.692312,62.790070,616.770630,51.748688,77.745903,636.631897,-48.117699,75.724136,649.152832,-116.680733,117.483139,583.629517,9.496620,47.002789,750.303772,103.608521,80.943153,307.017029,-121.819763,76.020424,314.643250,11.783599,32.398331,804.133606,-115.924347,99.761528,914.285583,9.671710,60.959671,979.628479,-71.624466,123.348808,1014.302063,88.724342,108.720421,1018.697388,116.341362,62.827164,45.959217,64.465660,46.573383,21.142132,-137.942734,56.697746,40.985428,-91.599770,51.895172,14.223833,176.983932,107.213264,20.642420,-198.400085,120.327240,15.876390,,,,,,
5,101.256950,133.192825,564.138733,2.731730,62.709278,616.782227,51.797672,77.553261,636.289551,-48.072487,75.600052,649.145752,-116.642212,117.364418,583.611511,9.519043,46.888424,750.342896,103.666374,80.868874,307.026703,-121.744965,75.919525,314.641907,11.764252,32.332596,804.171204,-115.932137,99.741554,914.267334,9.666423,60.941715,979.647522,-71.659660,123.313751,1014.299377,88.685829,108.682350,1018.742432,116.325089,62.835026,45.968143,64.485245,46.534687,21.134050,-137.949112,56.706547,40.964890,-91.579742,51.884029,14.206274,176.988983,107.228897,20.638720,-198.396149,120.315475,15.897052,,,,,,
6,101.281265,133.136246,564.147339,2.797535,62.546101,616.801636,51.846336,77.502502,636.649414,-48.028919,75.458145,649.123596,-116.590172,117.232674,583.600281,9.537430,46.773762,750.387085,103.725159,80.811249,307.017487,-121.690323,75.840561,314.636078,11.768032,32.244663,804.227661,-115.938324,99.722389,914.268555,9.608536,60.952084,979.858826,-71.690796,123.328270,1014.285217,88.636452,108.646416,1018.792175,116.340080,62.832527,45.979424,64.496017,46.521858,21.128365,-138.311890,56.405106,40.934204,-91.572098,51.878159,14.217153,176.991943,107.252899,20.638306,-198.714859,120.578644,15.683415,140.775497,107.854820,905.924805,8.435642,53.970085,934.388367
7,101.302422,133.084106,564.166443,2.850958,62.371601,616.809448,51.908504,77.433571,637.030518,-47.978001,75.331657,649.121704,-116.528252,117.116249,583.586182,9.541054,46.668484,750.434387,103.781548,80.762276,307.007294,-121.651558,75.747993,314.646149,11.781133,32.172153,804.286682,-115.943092,99.698456,914.288574,9.527466,60.935680,980.090881,-71.716225,123.372467,1014.257935,88.627785,108.566650,1018.852051,116.372719,62.815979,45.973221,64.491089,46.535118,21.124172,-138.494659,56.257504,40.919022,-91.585617,51.904266,14.216018,176.992676,107.246162,20.641155,-198.865051,120.688927,15.568230,140.749847,107.757607,905.977783,8.453026,53.913883,935.180908
8,101.338440,132.967926,564.206421,2.895771,62.231003,616.798584,51.967182,77.290970,637.070007,-47.918648,75.191574,649.135925,-116.469589,116.968605,583.561401,9.540828,46.566113,750.474854,103.844650,80.693192,307.014282,-121.618835,75.623703,314.667114,11.782023,32.102909,804.340149,-115.951630,99.669464,914.306274,9.492628,60.890396,980.127136,-71.744469,123.367798,1014.232666,88.626060,108.476456,1018.911621,116.402031,62.817795,45.963074,64.499367,46.520786,21.105921,-138.496307,56.258587,40.899197,-91.581772,51.921627,14.193297,177.003128,107.221527,20.645159,-198.858047,120.645615,15.570439,140.650513,107.870064,906.006287,8.469799,53.862343,935.459656
9,101.371338,132.835342,564.237732,2.937961,62.082951,616.794067,52.005486,77.156303,637.083435,-47.867306,75.034309,649.130798,-116.413223,116.818565,583.551025,9.550009,46.443851,750.506714,103.893646,80.624191,307.026794,-121.584076,75.526237,314.663300,11.783859,32.007263,804.390198,-115.967323,99.624680,914.315247,9.488838,60.842915,980.147278,-71.776955,123.313469,1014.221497,88.595665,108.414581,1018.971924,116.426910,62.825558,45.965561,64.505882,46.517010,21.083416,-138.491425,56.234928,40.889984,-91.551804,51.897820,14.168098,177.022339,107.231361,20.650871,-198.842270,120.608551,15.563603,140.468048,108.236862,906.007019,8.463104,53.805824,935.238220
10,101.416374,132.705872,564.265808,2.970251,61.950516,616.799500,52.040161,77.026527,637.089539,-47.819363,74.904053,649.125427,-116.365608,116.685715,583.554321,9.566109,46.323929,750.531677,103.921806,80.577995,307.030548,-121.547623,75.459610,314.631775,11.763955,31.921621,804.433716,-115.977440,99.562035,914.326233,9.462248,60.798035,980.184387,-71.795570,123.254890,1014.223267,88.541855,108.387260,1019.024292,116.452621,62.807640,45.964184,64.501442,46.538261,21.078197,-138.485168,56.186829,40.896988,-91.539383,51.878654,14.135488,177.011887,107.256004,20.646866,-198.839005,120.603722,15.551414,140.473801,108.288261,906.005676,8.403790,53.788891,934.781006
11,101.467255,132.590729,564.311340,3.001531,61.818657,616.806946,52.050266,76.916634,637.110535,-47.771145,74.795349,649.145142,-116.346169,116.546379,583.550720,9.576208,46.232296,750.559326,103.956772,80.537186,307.037628,-121.533508,75.422684,314.614807,11.755597,31.858240,804.479248,-115.972404,99.502327,914.340698,9.436193,60.769871,980.221558,-71.817993,123.216080,1014.212036,88.474937,108.378853,1019.076050,116.453880,62.787544,45.959675,64.503532,46.536163,21.082911,-138.493958,56.160004,40.883732,-91.546280,51.890079,14.132581,176.985214,107.255661,20.636816,-198.858002,120.632576,15.541821,140.673584,107.942215,906.015625,8.366591,53.753300,934.571533
12,101.533440,132.411514,564.358154,3.028375,61.648109,616.814758,52.056187,76.773170,637.128113,-47.745338,74.676895,649.155701,-116.338249,116.440338,583.525024,9.582450,46.134499,750.599182,104.004715,80.483612,307.058197,-121.527412,75.391235,314.622986,11.773379,31.748182,804.528137,-115.969589,99.427559,914.343628,9.452457,60.729565,980.261780,-71.855713,123.180740,1014.199890,88.456924,108.331566,1019.128296,116.449348,62.777649,45.946537,64.510887,46.511551,21.089270,-138.505692,56.161316,40.869656,-91.583099,51.894375,14.147100,176.982407,107.230026,20.634363,-198.860840,120.636909,15.551440,140.768448,107.696220,906.026367,8.377338,53.684299,934.583191
13,101.621162,132.154831,564.385925,3.044935,61.472069,616.815247,52.009125,76.781738,637.184998,-47.731377,74.521034,649.152344,-116.310860,116.329163,583.501282,9.585698,46.013050,750.638794,104.053879,80.391670,307.084503,-121.518547,75.359558,314.615448,11.773725,31.628572,804.581299,-115.981705,99.350220,914.346130,9.452073,60.650860,980.338684,-71.889626,123.125618,1014.200745,88.480705,108.237053,1019.180298,116.482132,62.752403,45.921471,64.510529,46.499992,21.081249,-138.500580,56.167259,40.862793,-91.598946,51.843277,14.152220,176.990585,107.209969,20.644320,-198.853638,120.621346,15.591658,140.754852,107.599487,906.033081,8.338459,53.647507,934.598206
