bleuenn-std-03
Date:,2012/11/24
Time:,11:05:45
Type:,General Capture
Description:,""
Notes:,""

TRAJECTORIES
100.000000,Hz
,Patient1:L5,,,Patient1:LTRO,,,Patient1:RASI,,,Patient1:LKNE,,,Patient1:RKNE,,,Patient1:T12,,,Patient1:T7,,,Patient1:LSHO,,,Patient1:BHD,,,Patient1:RANK,,,Patient1:LANK,,,Patient1:RHEE,,,Patient1:LHEE,,,Patient1:RBHD,,,Patient1:LBHD,,,Patient1:RTOE,,,Patient1:LTOE,,,Patient1:LASI,,,Patient1:RSHO,,,Patient1:C7,,,Patient1:BHD-1,,,Patient1:C7-1
Field #,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,-3.392641,49.794568,619.409032,-122.408910,105.491119,583.185474,45.731532,65.177934,639.651535,-127.224395,67.401567,313.863597,100.934563,69.628961,306.216175,-0.035467,50.938536,762.553794,-0.020916,45.689535,818.163823,-130.945569,120.642142,913.407860,-3.212541,82.311849,978.667049,120.320264,62.671405,45.609518,-143.614371,54.765547,40.041850,70.294528,41.744355,21.470649,-98.177694,47.727922,14.075139,75.652577,131.680503,1016.857394,-85.944229,138.320282,1018.562068,176.353031,115.453163,16.645957,-201.126659,122.801403,14.331408,,,,,,,,,,,,,,,
2,-3.392070,49.789211,619.385909,-122.448700,105.517488,583.180267,45.587544,65.610398,640.649490,-127.241881,67.431573,313.840449,100.881351,69.628961,306.201210,-0.027478,50.996091,762.520169,-0.018695,45.699209,818.153432,-130.951756,120.652422,913.364874,-3.207549,82.177848,978.621919,120.234624,62.786522,45.584205,-143.565149,54.760293,40.085705,70.307371,41.722503,21.449764,-98.113668,47.751466,14.052729,75.664033,131.397594,1016.866516,-85.993535,138.096426,1018.537297,176.417617,115.381819,16.653804,-201.131288,122.861587,14.347324,-54.682524,65.052608,652.095445,,,,,,,,,,,,
3,-3.412369,49.795937,619.371069,-122.467565,105.517357,583.189468,45.470584,65.899593,640.682609,-127.269009,67.416583,313.837392,100.868458,69.591479,306.192795,-0.019736,51.001939,762.506759,0.002031,45.741107,818.153071,-130.965105,120.718626,913.331196,-3.209780,82.088660,978.547395,120.263479,62.749056,45.620650,-143.535725,54.750553,40.129134,70.325105,41.689738,21.438384,-98.044059,47.623648,14.073944,75.678991,131.184160,1016.881142,-86.024137,137.888658,1018.502969,176.376073,115.407165,16.646027,-201.124951,122.910866,14.380165,-54.647064,64.916478,652.090260,,,,,,,,,,,,
4,-3.456764,49.806975,619.384925,-122.478655,105.509680,583.189952,45.577470,65.472560,639.928863,-127.303572,67.385775,313.844462,100.853450,69.540926,306.195535,-0.016880,51.012875,762.510858,0.047575,45.793784,818.150924,-130.980899,120.814629,913.280838,-3.187665,81.995254,978.442064,120.291449,62.709155,45.631028,-143.482617,54.747242,40.173659,70.322217,41.690373,21.428921,-97.996452,47.484861,14.117460,75.657621,131.050898,1016.897464,-86.045634,137.667130,1018.477278,176.331336,115.413555,16.632596,-201.103249,122.934453,14.417095,-53.353463,61.664101,652.696836,,,,,,,,,,,,
5,-3.485508,49.778959,619.414533,-122.521328,105.492680,583.198343,45.653436,65.123356,639.836632,-127.349672,67.365599,313.834029,100.804467,69.503988,306.194695,-0.003684,51.069876,762.512330,0.097696,45.814919,818.150415,-130.986603,120.854660,913.227946,-3.169003,81.919747,978.484550,120.269169,62.708272,45.591137,-143.436949,54.767796,40.186356,70.314780,41.684305,21.436051,-97.989920,47.491323,14.131752,75.629607,130.906708,1016.904945,-86.069617,137.424333,1018.455060,176.366867,115.353096,16.650334,-201.073071,122.965262,14.441743,-54.715071,64.865378,652.151777,,,,,,,,,,,,
6,-3.512266,49.727533,619.425261,-122.584764,105.473441,583.198339,45.594022,65.265498,640.858573,-127.429044,67.340121,313.809678,100.771631,69.478195,306.185026,0.028548,51.115786,762.517139,0.118562,45.852848,818.143020,-130.998618,120.857979,913.204269,-3.175882,81.885288,978.670754,120.262104,62.705457,45.574907,-143.594486,54.595914,40.249320,70.319445,41.639509,21.452018,-97.988663,47.507051,14.125029,75.622473,130.746520,1016.900582,-86.078529,137.198813,1018.423402,176.454094,115.271648,16.692334,-201.385276,122.496263,14.627330,-54.748243,64.858073,652.151633,123.417581,138.760307,913.129993,,,,,,,,,
7,-3.561784,49.697416,619.413711,-122.660738,105.447814,583.184663,45.531169,65.229687,640.849834,-127.516216,67.308016,313.800892,100.748946,69.435211,306.183405,0.014504,51.141813,762.531341,0.118253,45.919443,818.135656,-131.045851,120.863868,913.173422,-3.166405,81.834042,978.683281,120.277142,62.704092,45.581489,-143.936893,54.270397,40.351610,70.324128,41.614380,21.455501,-98.055222,47.674586,14.085254,75.591404,130.626832,1016.885467,-86.069448,137.012519,1018.411541,176.485162,115.280410,16.691484,-202.368245,120.978713,15.155384,-54.815723,64.844018,652.161385,124.359786,136.544203,914.216870,,,,,,,,,
8,-3.630424,49.673425,619.402688,-122.747728,105.401130,583.177097,45.456572,65.243737,640.817430,-127.565598,67.258028,313.797929,100.695725,69.419187,306.181824,-0.052285,51.167643,762.541305,0.126844,45.958181,818.142486,-131.087745,120.836778,913.136197,-3.136584,81.755883,978.564479,120.280054,62.684811,45.578295,-144.101841,54.133708,40.391556,70.324545,41.624368,21.451544,-98.092527,47.809430,14.042434,75.544760,130.526818,1016.867522,-86.056220,136.848888,1018.419472,176.441278,115.349151,16.651223,-202.365217,120.920379,15.163848,-54.881263,64.828490,652.181550,123.460592,138.935605,913.056403,-5.022631,82.045171,939.219915,,,,,,
9,-3.697935,49.636852,619.402383,-122.808688,105.330312,583.165356,45.408842,65.235318,640.819701,-127.594758,67.187772,313.792229,100.644685,69.403457,306.192436,-0.086527,51.168920,762.541928,0.132300,45.988479,818.137778,-131.066047,120.761039,913.144347,-3.122437,81.678169,978.477024,120.273869,62.668593,45.576037,-144.075531,54.138210,40.410134,70.317072,41.649369,21.446683,-98.072373,47.797770,14.033662,75.505970,130.451442,1016.852389,-86.020040,136.683858,1018.428443,176.390640,115.373813,16.623489,-202.343861,120.925635,15.191556,-54.945587,64.811865,652.197781,123.482506,138.895928,913.027478,-5.013899,82.020823,939.201466,,,,,,
10,-3.746395,49.595490,619.406766,-122.853941,105.263366,583.157359,45.364876,65.243430,640.826261,-127.625745,67.145100,313.782923,100.604788,69.352520,306.212802,-0.085732,51.158601,762.538111,0.133655,46.018063,818.118980,-131.017470,120.648487,913.186565,-3.120509,81.576184,978.405632,120.276588,62.664620,45.574170,-144.048972,54.140698,40.431423,70.309535,41.641668,21.450422,-98.057858,47.825641,14.051795,75.499451,130.331828,1016.848439,-85.987894,136.517651,1018.439945,176.379474,115.364553,16.651656,-202.298908,120.960141,15.193281,-54.992744,64.787914,652.210889,123.468673,138.931994,913.004851,-4.992063,81.996890,939.184919,,,,,,
